--- ABOUT ---
"Incorporated in 2007, Jupiter Life Line Hospitals Limited is a multi-specialty tertiary and quaternary healthcare provider in the Mumbai Metropolitan Area (MMR) and western region of India. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"8,800","1,342","1,625",44.5

Book Value,Dividend Yield,ROCE,ROE
236,0.07,15.4,13.6

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,242,243,263,273,291,289,335,333,337,353,394,365,388
Expenses +,191,190,202,211,228,223,257,256,257,275,301,282,299
Operating Profit,52,53,61,62,63,65,78,76,80,78,92,83,89
OPM %,21%,22%,23%,23%,22%,23%,23%,23%,24%,22%,23%,23%,23%
Other Income +,1,4,3,8,10,7,7,7,7,13,11,3,11
Interest,11,12,12,1,1,1,1,3,6,8,8,8,9
Depreciation,10,11,11,11,10,11,14,14,18,21,21,22,23
Profit before tax,32,34,41,58,62,60,70,67,63,62,74,57,68
Tax %,51%,-60%,19%,25%,27%,26%,26%,22%,28%,29%,23%,25%,26%
Net Profit +,16,54,34,44,45,45,52,52,45,44,57,42,50
EPS in Rs,2.79,9.55,5.14,6.66,6.87,6.78,7.88,7.94,6.89,6.69,8.75,6.49,7.66
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,463,486,733,893,"1,073","1,262","1,500"
Expenses +,379,419,580,691,831,965,"1,157"
Operating Profit,84,67,153,201,242,297,343
OPM %,18%,14%,21%,23%,23%,24%,23%
Other Income +,0,4,4,8,22,29,37
Interest,26,39,44,42,26,11,33
Depreciation,26,31,36,39,42,57,88
Profit before tax,33,2,77,129,195,258,260
Tax %,10%,248%,34%,43%,10%,25%,25%
Net Profit +,30,-2,51,73,177,194,194
EPS in Rs,5.83,-0.45,10.05,12.90,26.94,29.51,29.59
Dividend Payout %,0%,0%,0%,0%,4%,3%,3%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,51,51,51,57,66,66,66
Reserves,186,188,243,309,"1,103","1,291","1,479"
Borrowings +,272,426,495,469,0,393,584
Other Liabilities +,94,124,120,151,112,155,255
Total Liabilities,603,789,909,986,"1,281","1,905","2,383"
Fixed Assets +,435,630,684,720,718,977,"1,384"
CWIP,10,26,27,29,74,185,129
Investments,2,7,3,2,17,114,486
Other Assets +,156,126,195,235,473,628,384
Total Assets,603,789,909,986,"1,281","1,905","2,383"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,74,123,137,176,115,253,268
Cash from Investing Activity +,-43,-295,-84,-94,-246,-209,-442
Cash from Financing Activity +,-32,184,32,-51,128,301,136
Net Cash Flow,-1,12,85,31,-3,345,-38
Free Cash Flow,46,-118,46,100,29,-67,-234
CFO/OP,106%,198%,95%,97%,68%,108%,97%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,35,16,14,19,19,12,18
Inventory Days,64,48,39,44,41,38,49
Days Payable,268,217,157,164,120,163,121
Cash Conversion Cycle,-169,-152,-104,-101,-59,-113,-54
Working Capital Days,17,-7,-24,-24,-5,-20,97
ROCE %,,7%,17%,21%,22%,18%,15%

--- SHAREHOLDING PATTERN ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,40.91%,40.91%,40.91%,40.91%,40.91%,40.91%,40.91%,40.91%,40.91%,40.91%,40.91%
FIIs +,4.62%,3.96%,4.17%,6.06%,8.84%,10.04%,10.04%,9.77%,9.06%,8.48%,8.48%
DIIs +,12.69%,13.92%,14.16%,13.85%,13.46%,15.75%,15.64%,15.82%,16.97%,17.44%,17.01%
Public +,41.80%,41.19%,40.76%,39.18%,36.79%,33.31%,33.43%,33.51%,33.08%,33.17%,33.60%
No. of Shareholders,"54,782","39,348","35,107","35,797","34,081","33,914","33,956","34,192","34,361","33,620","32,985"

--- CAGR BOXES ---




