--- ABOUT ---
"Bajaj Finserv Ltd. is the holding company for the various financial services businesses under the Bajaj group. It serves millions of customers by providing solutions for asset acquisition through financing, asset protection through general insurance, family and income protection in the form of life and health insurance, and retirement and savings solutions. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,83,201","1,769","2,195 / 1,597",28.5

Book Value,Dividend Yield,ROCE,ROE
487,0.08,10.5,13.2

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"23,625","23,280","26,023","29,038","32,041","31,480","33,704","32,042","36,595","35,439","37,403","39,708","38,494"
Expenses +,"15,470","13,935","16,073","18,601","21,108","19,655","21,420","19,669","23,868","21,124","23,352","25,842","23,983"
Operating Profit,"8,154","9,345","9,950","10,438","10,933","11,825","12,283","12,373","12,728","14,315","14,050","13,866","14,511"
OPM %,35%,40%,38%,36%,34%,38%,36%,39%,35%,40%,38%,35%,38%
Other Income +,2,3,0,2,4,3,3,3,10,13,3,-378,25
Interest,"3,436","4,020","4,449","4,777","5,154","5,592","6,046","6,276","6,396","6,807","6,901","7,232","7,291"
Depreciation,181,202,209,232,257,267,275,288,339,317,327,330,317
Profit before tax,"4,540","5,125","5,292","5,431","5,527","5,968","5,966","5,812","6,002","7,204","6,825","5,926","6,928"
Tax %,27%,28%,29%,26%,26%,29%,30%,24%,21%,26%,30%,26%,25%
Net Profit +,"3,335","3,709","3,756","4,045","4,085","4,209","4,180","4,412","4,756","5,329","4,746","4,368","5,226"
EPS in Rs,11.11,12.20,12.09,13.52,13.28,13.39,13.07,13.97,15.14,17.46,14.04,13.95,15.86
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"11,335","20,533","24,507","32,862","42,605","54,351","60,592","68,406","82,072","110,382","133,822","150,504"
Expenses +,"5,823","13,795","15,794","22,074","27,569","36,094","40,950","46,951","52,204","69,497","84,298","93,761"
Operating Profit,"5,511","6,739","8,713","10,788","15,037","18,258","19,641","21,455","29,868","40,886","49,524","56,743"
OPM %,49%,33%,36%,33%,35%,34%,32%,31%,36%,37%,37%,38%
Other Income +,8,0,0,1,2,0,-7,8,1,-4,-18,-336
Interest,"2,230","2,877","3,716","4,531","6,657","9,500","9,274","9,629","12,380","18,607","24,587","28,232"
Depreciation,38,58,73,160,226,457,498,563,678,900,"1,170","1,291"
Profit before tax,"3,251","3,804","4,925","6,099","8,155","8,302","9,862","11,271","16,811","21,375","23,748","26,883"
Tax %,26%,27%,30%,32%,34%,28%,25%,26%,27%,27%,26%,27%
Net Profit +,"2,409","2,775","3,450","4,176","5,374","5,994","7,367","8,314","12,210","15,595","17,558","19,669"
EPS in Rs,10.62,11.71,14.21,16.65,20.23,21.17,28.09,28.63,40.29,51.07,55.57,61.24
Dividend Payout %,2%,1%,1%,1%,1%,2%,1%,1%,2%,2%,2%,2%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,80,80,80,80,80,80,80,80,159,159,160,160
Reserves,"11,009","13,519","16,071","20,403","23,660","31,222","35,750","40,167","46,248","60,169","72,236","77,755"
Borrowings +,"26,312","36,062","48,282","65,695","99,754","127,212","128,461","161,179","212,265","288,933","355,855","429,914"
