--- ABOUT ---
"Hero Moto Corp earlier also known as “Hero Honda” is one of India’s first motorcycle manufacturers. The company started in 1984 as a Technological collaboration with Honda, Japan. Before this collaboration, Hero was selling Cycles under the brand name, Hero Cycles. In 2011, Honda group sold its 26% stake in the company to the Munjals (promoters) and ended the JV. Post the termination of JV, the name of the company was changed to Hero Motocorp. [1] [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"99,544","4,975","6,390",17.1

Book Value,Dividend Yield,ROCE,ROE
"1,080",3.72,35.8,28.5

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"8,434","8,851","9,533","9,788","9,617","10,211","10,483","10,260","9,970","9,728","12,218","12,487","12,978"
Expenses +,"7,345","7,734","8,174","8,403","8,298","8,804","9,033","8,844","8,529","8,315","10,452","10,735","11,109"
Operating Profit,"1,089","1,117","1,360","1,385","1,319","1,407","1,450","1,416","1,441","1,413","1,766","1,752","1,870"
OPM %,13%,13%,14%,14%,14%,14%,14%,14%,14%,15%,14%,14%,14%
Other Income +,238,66,213,288,177,225,239,306,345,939,240,179,210
Interest,19,21,25,23,8,19,18,17,17,21,19,20,19
Depreciation,180,180,187,194,197,205,206,209,204,206,210,219,220
Profit before tax,"1,128",982,"1,360","1,456","1,292","1,408","1,464","1,497","1,565","2,126","1,777","1,692","1,841"
Tax %,28%,29%,26%,25%,27%,27%,27%,26%,25%,20%,26%,25%,20%
Net Profit +,811,701,"1,007","1,091",943,"1,032","1,066","1,108","1,169","1,706","1,321","1,275","1,474"
EPS in Rs,40.29,35.53,50.35,54.70,46.77,52.31,53.19,55.38,58.06,85.26,65.42,63.35,72.97
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"27,538","28,457","28,610","32,458","33,971","29,254","30,959","29,551","34,158","37,789","40,923","47,411"
Expenses +,"24,018","24,033","24,025","27,124","28,946","25,184","26,902","26,295","30,060","32,554","35,135","40,366"
Operating Profit,"3,520","4,424","4,585","5,334","5,025","4,070","4,058","3,256","4,099","5,235","5,789","7,045"
OPM %,13%,16%,16%,16%,15%,14%,13%,11%,12%,14%,14%,15%
Other Income +,325,421,830,564,741,"1,434",553,545,567,689,"1,040","1,324"
Interest,12,15,27,31,37,47,46,53,105,76,71,78
Depreciation,540,443,502,575,624,846,715,690,697,757,825,855
Profit before tax,"3,292","4,387","4,885","5,292","5,104","4,611","3,849","3,058","3,864","5,090","5,934","7,436"
Tax %,29%,29%,27%,30%,32%,21%,24%,24%,28%,26%,26%,22%
Net Profit +,"2,364","3,112","3,546","3,722","3,466","3,659","2,936","2,329","2,800","3,742","4,376","5,776"
EPS in Rs,118.42,157.34,179.49,186.29,172.44,182.14,146.05,115.95,140.61,187.31,218.91,286.96
Dividend Payout %,51%,46%,47%,51%,50%,49%,72%,82%,71%,75%,75%,64%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,40,40,40,40,40,40,40,40,40,40,40,40
Reserves,"6,500","8,794","10,276","11,932","13,080","14,366","15,376","15,807","16,616","17,659","19,232","21,571"
Borrowings +,100,232,261,228,312,453,584,605,568,606,700,779
Other Liabilities +,"4,014","3,829","4,736","5,197","5,072","4,815","7,096","6,027","6,694","7,847","8,418","11,063"
