--- ABOUT ---
"Tube Investments of India Limited (TII) is one of India’s leading manufacturers of a wide range of products for major industries such as Automotive, Railway, Construction, Mining, Agriculture, etc. The Company’s 3 main verticals are Engineering, Metal Formed Products and Bicycles. In line with its growth strategies, the Company has forayed into TMT bars and Truck Body Building business and is additionally exploring opportunities in optic lens and other vision systems for the Auto industry. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"63,597","3,286","3,420",96.6

Book Value,Dividend Yield,ROCE,ROE
400,0.11,17.0,9.91

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"3,778","3,898","4,306","4,197","4,490","4,578","4,925","4,812","5,150","5,309","5,523","5,801","6,215"
Expenses +,"3,288","3,431","3,744","3,728","4,039","4,047","4,434","4,321","4,813","4,763","4,978","5,216","5,632"
Operating Profit,489,467,562,469,451,531,490,491,337,546,544,585,583
OPM %,13%,12%,13%,11%,10%,12%,10%,10%,7%,10%,10%,10%,9%
Other Income +,188,42,59,609,77,62,71,77,150,72,93,49,108
Interest,11,11,13,13,15,16,16,15,16,17,14,15,16
Depreciation,124,108,112,119,115,110,119,127,137,152,164,173,175
Profit before tax,542,390,496,946,398,467,426,426,334,449,459,445,500
Tax %,12%,27%,30%,12%,31%,32%,30%,34%,53%,32%,34%,37%,53%
Net Profit +,477,284,346,828,274,317,299,280,158,303,302,279,234
EPS in Rs,16.14,11.14,13.77,27.58,9.88,11.73,10.69,10.01,2.40,10.28,9.65,8.57,4.41
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,0,"4,479","5,000","5,773","4,750","6,083","12,447","14,964","16,890","19,465","22,847"
Expenses +,0,"4,073","4,626","5,240","4,169","5,443","10,997","13,081","14,921","17,595","20,590"
Operating Profit,0,406,374,533,582,641,"1,450","1,883","1,969","1,870","2,258"
OPM %,,9%,7%,9%,12%,11%,12%,13%,12%,10%,10%
Other Income +,0,41,55,62,40,26,147,319,787,359,321
Interest,0,77,62,56,34,52,99,58,73,83,62
Depreciation,0,149,154,162,185,251,347,396,465,492,664
Profit before tax,0,221,214,378,403,365,"1,152","1,748","2,218","1,653","1,852"
Tax %,,21%,27%,34%,22%,22%,14%,24%,22%,36%,40%
Net Profit +,0,174,156,251,313,286,991,"1,325","1,723","1,054","1,118"
EPS in Rs,,,7.86,12.81,16.31,14.28,39.85,49.48,62.08,34.82,32.90
Dividend Payout %,,0%,17%,20%,21%,25%,1%,7%,6%,10%,11%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.11,19,19,19,19,19,19,19,19,19,19
Reserves,-0,"1,169","1,254","1,457","1,715","2,293","3,052","3,931","5,080","5,516","7,732"
Borrowings +,0,851,776,611,414,"1,972",871,726,896,703,754
Other Liabilities +,0,"1,097","1,263","1,263",932,"4,349","4,932","5,583","7,109","9,640","12,981"
Total Liabilities,0,"3,135","3,312","3,349","3,080","8,634","8,874","10,260","13,105","15,879","21,487"
Fixed Assets +,0,"1,306","1,358","1,429","1,515","3,426","3,324","3,588","4,417","5,210","6,321"
CWIP,0,34,90,69,58,152,128,191,381,770,806
Investments,0,202,134,132,186,369,542,729,"1,370",931,"1,024"
Other Assets +,0,"1,593","1,730","1,719","1,321","4,687","4,880","5,752","6,938","8,969","13,336"
Total Assets,0,"3,135","3,312","3,349","3,080","8,634","8,874","10,260","13,105","15,879","21,487"

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-0,383,409,493,596,257,896,"1,386",675,"1,213","1,161"
Cash from Investing Activity +,0,316,-181,-196,-246,-80,-79,-850,"-1,657","-1,615","-3,953"
Cash from Financing Activity +,0,-685,-291,-280,-284,304,-921,-75,645,522,"2,668"
Net Cash Flow,0,14,-63,17,66,481,-104,461,-336,120,-124
Free Cash Flow,-0,227,182,310,377,112,658,983,-148,7,-266
CFO/OP,,104%,128%,115%,123%,56%,70%,87%,48%,90%,86%

--- RATIOS ---
