--- ABOUT ---
"Incorporated in December 2014, Awfis Space Solutions Limited is a workspace solution provider in India. [1] Awfis Space Solutions provides a wide spectrum of flexible workspace solutions ranging from individual flexible desk needs to customised office spaces for startups, small and medium enterprises as well as for large corporates and multi-national corporations. ICICI Securities Limited, Axis Capital Limited, IIFL Securities Limited, and Emkay Global Financial Services Limited are the book-running lead managers to the public issue."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,176",304,672,30.7

Book Value,Dividend Yield,ROCE,ROE
77.2,0.00,13.2,14.0

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,160,188,208,221,232,258,292,318,340,335,367,382,410
Expenses +,112,137,148,153,165,179,192,210,224,208,235,243,258
Operating Profit,48,51,60,67,67,79,100,107,116,127,132,139,152
OPM %,30%,27%,29%,31%,29%,31%,34%,34%,34%,38%,36%,36%,37%
Other Income +,5,5,7,5,9,10,34,15,20,18,26,29,19
Interest,21,21,23,25,24,28,30,35,43,46,47,47,46
Depreciation,46,43,48,54,51,58,65,72,81,89,95,99,101
Profit before tax,-14,-8,-4,-6,1,3,39,15,12,10,16,22,24
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,7%,4%,2%,2%,1%
Net Profit +,-14,-8,-4,-6,1,3,39,15,11,10,16,22,23
EPS in Rs,,,,,,0.40,5.51,2.14,1.58,1.40,2.23,3.03,3.25
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,154,226,178,257,545,849,"1,208","1,493"
Expenses +,187,223,125,189,388,603,801,944
Operating Profit,-33,3,53,68,157,246,407,550
OPM %,-22%,2%,30%,27%,29%,29%,34%,37%
Other Income +,7,-9,38,22,19,25,74,93
Interest,5,9,47,49,73,93,136,186
Depreciation,31,54,87,98,150,196,276,384
Profit before tax,-62,-68,-43,-57,-47,-18,69,72
Tax %,0%,0%,0%,0%,0%,0%,1%,2%
Net Profit +,-62,-68,-43,-57,-47,-18,68,71
EPS in Rs,,,,,,,9.56,9.90
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,30,30,30,30,30,19,71,72
Reserves,-67,-112,-19,-75,-56,-113,388,481
Borrowings +,139,248,401,437,695,"1,079","1,413","1,501"
Other Liabilities +,94,111,96,167,261,413,635,857
Total Liabilities,197,277,509,560,931,"1,398","2,507","2,910"
Fixed Assets +,66,96,300,340,653,916,"1,580","1,701"
CWIP,4,1,0,9,1,9,18,12
Investments,32,58,42,16,0,0,0,0
Other Assets +,95,121,166,194,277,473,909,"1,196"
Total Assets,197,277,509,560,931,"1,398","2,507","2,910"

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-11,-8,57,83,181,229,363,616
Cash from Investing Activity +,-38,-110,-38,-7,-156,-163,-203,-220
Cash from Financing Activity +,62,113,-17,-80,-28,-65,-124,-380
Net Cash Flow,12,-5,3,-4,-3,2,36,16
Free Cash Flow,-54,-93,21,14,36,84,163,406
CFO/OP,2%,22%,72%,131%,124%,102%,90%,119%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,9,9,31,44,32,32,36,34
Inventory Days,,,,,,,,
Days Payable,,,,,,,,
Cash Conversion Cycle,9,9,31,44,32,32,36,34
Working Capital Days,-110,-74,-86,-160,-107,-68,-88,-98
ROCE %,,-37%,-0%,-2%,5%,9%,13%,13%

--- SHAREHOLDING PATTERN ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,28.56%,28.24%,20.44%,20.40%,20.31%,17.01%,17.01%,17.00%
FIIs +,22.54%,20.66%,21.07%,19.33%,21.45%,25.04%,27.34%,26.35%
DIIs +,13.54%,20.81%,29.37%,33.97%,37.63%,41.18%,39.56%,39.52%
Public +,35.36%,30.28%,29.12%,26.29%,20.62%,16.77%,16.09%,17.12%
No. of Shareholders,"22,980","36,589","38,910","39,122","42,515","45,114","47,467","48,389"

--- CAGR BOXES ---




