--- ABOUT ---
"Incorporated in May 1996, Hyundai Motor India Limited is a part of the Hyundai Motor Group, which is the third largest auto original equipment manufacturer in the world based on passenger vehicle sales. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,60,331","1,973","2,890 / 1,658",29.5

Book Value,Dividend Yield,ROCE,ROE
246,1.06,38.4,29.9

Face Value
10.0

--- QUARTERLY RESULTS ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"16,624","18,660","16,875","17,671","17,344","17,260","16,648","17,940","16,413","17,461","17,973","18,916"
Expenses +,"14,626","16,220","14,701","15,149","15,004","15,055","14,772","15,408","14,228","15,032","15,955","16,950"
Operating Profit,"1,997","2,440","2,173","2,522","2,340","2,205","1,876","2,533","2,185","2,429","2,018","1,966"
OPM %,12%,13%,13%,14%,13%,13%,11%,14%,13%,14%,11%,10%
Other Income +,388,383,369,333,224,192,244,210,215,231,244,259
Interest,37,35,49,37,32,29,30,36,25,17,27,38
Depreciation,560,557,534,558,529,519,527,530,528,518,569,584
Profit before tax,"1,788","2,232","1,960","2,260","2,003","1,850","1,563","2,175","1,847","2,126","1,666","1,604"
Tax %,26%,27%,27%,26%,26%,26%,26%,26%,26%,26%,26%,22%
Net Profit +,"1,329","1,628","1,425","1,677","1,490","1,375","1,161","1,614","1,369","1,572","1,234","1,256"
EPS in Rs,,,,,18.33,16.93,14.29,19.87,16.85,19.35,15.19,15.45
Raw PDF,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"40,972","47,378","60,308","69,829","69,193","70,763"
Expenses +,"36,724","41,887","52,753","60,750","60,277","62,165"
Operating Profit,"4,249","5,491","7,554","9,079","8,915","8,598"
OPM %,10%,12%,13%,13%,13%,12%
Other Income +,430,582,"1,124","1,527",908,949
Interest,165,132,142,158,127,106
Depreciation,"1,973","2,170","2,190","2,208","2,105","2,198"
Profit before tax,"2,540","3,772","6,346","8,240","7,591","7,243"
Tax %,26%,23%,26%,26%,26%,25%
Net Profit +,"1,881","2,902","4,709","6,060","5,640","5,432"
EPS in Rs,,,,,69.41,66.85
Dividend Payout %,72%,51%,99%,18%,30%,31%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,813,813,813,813,813,813
Reserves,"14,499","16,044","19,242","9,853","15,484","19,202"
Borrowings +,"1,354","1,178","1,189",833,850,"1,098"
Other Liabilities +,"10,065","10,324","13,329","14,850","12,951","13,292"
Total Liabilities,"26,731","28,358","34,573","26,349","30,097","34,404"
Fixed Assets +,"7,288","6,671","6,150","7,614","7,105","13,070"
CWIP,818,529,"1,337",653,"4,718",725
Investments,0,0,0,0,0,7
Other Assets +,"18,625","21,158","27,086","18,082","18,274","20,602"
Total Assets,"26,731","28,358","34,573","26,349","30,097","34,404"

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"5,423","5,138","6,564","9,252","4,345","7,321"
Cash from Investing Activity +,"-2,224",-910,"-1,383","-10,090",-410,"-1,941"
Cash from Financing Activity +,143,"-1,662","-1,579","-15,930",-63,"-1,591"
Net Cash Flow,"3,342","2,566","3,602","-16,768","3,872","3,789"
Free Cash Flow,"2,844","3,885","4,315","6,020",-948,"3,070"
CFO/OP,149%,108%,115%,127%,71%,103%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,22,17,18,13,13,11
Inventory Days,30,29,28,23,25,26
Days Payable,71,55,60,53,52,52
Cash Conversion Cycle,-19,-9,-15,-16,-14,-15
Working Capital Days,-29,-25,-27,-31,-20,-20
ROCE %,,23%,33%,51%,54%,38%

--- SHAREHOLDING PATTERN ---
,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,82.50%,82.50%,82.50%,82.50%,82.50%,82.50%
FIIs +,6.70%,7.17%,7.08%,7.34%,6.43%,5.43%
DIIs +,7.13%,7.00%,7.75%,7.73%,8.59%,9.71%
Public +,3.67%,3.32%,2.66%,2.42%,2.48%,2.37%
No. of Shareholders,"12,62,367","11,51,436","9,26,594","8,15,655","8,08,360","7,68,407"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,%
5 Years:,12%
3 Years:,5%
TTM:,2%

Compounded Profit Growth
10 Years:,%
5 Years:,24%
3 Years:,5%
TTM:,-4%

Stock Price CAGR
10 Years:,%
5 Years:,%
3 Years:,%
1 Year:,-2%

Return on Equity
10 Years:,%
5 Years:,30%
3 Years:,36%
Last Year:,30%

