--- ABOUT ---
"VIP Industries is engaged interalia, in the business of manufacturing and marketing of luggage, bags and accessories."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,510",318,492,

Book Value,Dividend Yield,ROCE,ROE
20.4,0.00,-28.9,-91.8

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,451,636,546,546,516,639,544,501,494,561,406,454,436
Expenses +,386,556,493,494,508,590,546,472,488,537,513,531,518
Operating Profit,64,81,53,52,8,49,-2,29,6,25,-106,-77,-82
OPM %,14%,13%,10%,10%,2%,8%,-0%,6%,1%,4%,-26%,-17%,-19%
Other Income +,-43,28,3,3,4,2,6,2,8,7,15,75,4
Interest,8,11,12,15,17,18,20,18,17,17,18,16,20
Depreciation,20,21,24,27,28,29,30,30,30,32,33,32,31
Profit before tax,-6,77,19,13,-33,4,-46,-17,-33,-17,-142,-50,-129
Tax %,-34%,25%,31%,46%,-28%,-9%,-28%,-26%,-16%,-23%,1%,5%,0%
Net Profit +,-4,58,13,7,-24,4,-33,-12,-27,-13,-143,-53,-129
EPS in Rs,-0.30,4.08,0.94,0.50,-1.68,0.28,-2.33,-0.87,-1.93,-0.92,-10.08,-3.72,-9.07
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,017","1,192","1,252","1,410","1,785","1,714",619,"1,290","2,082","2,245","2,178","1,858"
Expenses +,938,"1,082","1,117","1,214","1,558","1,418",683,"1,143","1,765","2,047","2,090","2,099"
Operating Profit,79,110,134,196,227,296,-64,147,317,198,88,-241
OPM %,8%,9%,11%,14%,13%,17%,-10%,11%,15%,9%,4%,-13%
Other Income +,7,3,7,9,8,-36,48,36,-16,37,19,101
Interest,3,3,3,2,4,25,31,26,31,59,79,70
Depreciation,18,14,14,13,17,87,78,70,74,99,119,127
Profit before tax,65,95,126,190,215,148,-125,86,197,77,-91,-338
Tax %,29%,30%,32%,33%,32%,25%,-22%,22%,22%,29%,-25%,-0%
Net Profit +,47,66,85,127,145,112,-97,67,152,54,-69,-338
EPS in Rs,3.30,4.70,6.03,8.97,10.28,7.91,-6.90,4.73,10.75,3.83,-4.84,-23.79
Dividend Payout %,45%,43%,40%,33%,31%,40%,0%,53%,42%,52%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,28,28,28,28,28,28,28,28,28,28,28,28
Reserves,277,311,380,461,553,582,489,531,613,650,588,261
Borrowings +,31,14,0,0,86,269,353,298,352,871,751,738
Other Liabilities +,163,231,201,284,404,364,223,371,421,517,489,577
Total Liabilities,499,585,609,773,"1,071","1,243","1,094","1,229","1,415","2,067","1,856","1,604"
Fixed Assets +,71,67,61,77,117,371,288,265,309,532,507,507
CWIP,1,1,1,3,6,3,2,7,15,14,18,15
Investments,0,0,68,72,1,41,141,42,23,3,6,73
Other Assets +,427,517,479,621,948,829,662,915,"1,067","1,518","1,326","1,009"
Total Assets,499,585,609,773,"1,071","1,243","1,094","1,229","1,415","2,067","1,856","1,604"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,14,53,126,85,-56,292,85,-24,175,-132,292,181
Cash from Investing Activity +,-3,-8,-73,-29,16,-85,-145,146,-84,-76,-47,-48
Cash from Financing Activity +,-14,-45,-51,-44,31,-211,74,-126,-75,218,-251,-139
Net Cash Flow,-3,0,2,13,-9,-4,14,-3,16,10,-5,-6
Free Cash Flow,9,45,118,55,-115,248,102,-58,69,-231,251,205
CFO/OP,44%,73%,123%,76%,7%,112%,-137%,-10%,72%,-53%,337%,-76%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,40,46,35,46,61,57,88,62,45,53,62,53
Inventory Days,145,158,153,168,219,208,311,305,217,325,222,146
Days Payable,76,89,78,113,132,135,159,166,112,145,123,138
Cash Conversion Cycle,109,115,109,101,148,130,240,201,150,234,161,60
Working Capital Days,71,74,73,76,85,72,62,91,57,48,36,-21
ROCE %,20%,28%,34%,43%,38%,29%,-12%,13%,28%,8%,-2%,-29%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,51.30%,51.23%,51.77%,51.76%,51.75%,51.74%,51.74%,51.74%,51.74%,49.74%,42.35%,42.35%
FIIs +,8.95%,7.76%,7.49%,8.07%,7.32%,7.82%,7.43%,7.68%,7.27%,6.95%,6.73%,7.06%
DIIs +,20.82%,14.70%,12.84%,12.68%,13.76%,12.28%,13.31%,12.75%,13.78%,16.06%,17.42%,16.87%
Public +,18.94%,26.32%,27.91%,27.50%,27.18%,28.19%,27.54%,27.86%,27.22%,27.27%,33.51%,33.74%
No. of Shareholders,"1,11,020","1,15,246","1,28,729","1,40,875","1,42,146","1,39,125","1,40,689","1,41,217","1,37,162","1,29,330","1,27,663","1,22,978"

--- CAGR BOXES ---




