--- ABOUT ---
"Navin Fluorine International Ltd is primary engaged in producing refrigeration gases, inorganic fluorides, specialty organofluorines and offers contract research and manufacturing services. [1] Its portfolio includes 50+ fluorinated compounds developed over the years. [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"38,439","7,494","7,573",57.5

Book Value,Dividend Yield,ROCE,ROE
775,0.20,21.4,20.3

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,697,491,472,500,602,524,519,606,701,725,758,892,938
Expenses +,495,377,373,424,492,423,411,459,522,519,512,585,617
Operating Profit,202,114,98,76,110,100,107,147,179,207,246,308,321
OPM %,29%,23%,21%,15%,18%,19%,21%,24%,26%,29%,32%,34%,34%
Other Income +,4,8,23,64,13,10,11,10,12,14,18,-5,31
Interest,14,19,20,18,17,16,14,20,28,30,30,28,29
Depreciation,8,21,24,25,26,27,28,30,35,35,37,36,41
Profit before tax,184,82,77,97,79,68,77,108,127,155,198,238,282
Tax %,26%,25%,22%,20%,11%,25%,23%,23%,25%,24%,25%,22%,25%
Net Profit +,136,62,61,78,70,51,59,84,95,117,148,185,213
EPS in Rs,27.50,12.41,12.22,15.74,14.19,10.32,11.86,16.86,19.15,23.62,28.96,36.18,41.48
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,592,680,742,913,996,"1,062","1,179","1,453","2,077","2,065","2,349","3,314"
Expenses +,519,561,582,693,777,794,870,"1,098","1,527","1,666","1,816","2,232"
Operating Profit,72,118,159,220,219,268,309,356,550,399,534,"1,082"
OPM %,12%,17%,21%,24%,22%,25%,26%,24%,26%,19%,23%,33%
Other Income +,29,23,55,88,34,29,94,38,36,107,44,59
Interest,3,4,3,1,1,2,2,2,28,75,78,118
Depreciation,20,22,30,40,28,37,44,48,63,96,119,149
Profit before tax,78,116,182,266,224,258,358,344,496,336,380,873
Tax %,26%,28%,25%,32%,34%,-56%,31%,24%,24%,19%,24%,24%
Net Profit +,58,84,137,180,149,409,258,263,375,270,289,664
EPS in Rs,11.18,17.08,27.88,36.43,30.15,82.57,52.02,53.09,75.68,54.56,58.19,129.46
Dividend Payout %,29%,25%,23%,27%,26%,13%,21%,21%,16%,27%,12%,12%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,10,10,10,10,10,10,10,10,10,10,10
Reserves,578,636,825,974,"1,063","1,402","1,624","1,834","2,175","2,373","2,616","3,964"
Borrowings +,61,82,19,13,4,1,25,121,861,"1,368","1,466","1,272"
Other Liabilities +,203,228,324,259,231,215,239,420,484,626,738,"1,133"
Total Liabilities,852,955,"1,177","1,256","1,307","1,629","1,898","2,385","3,529","4,377","4,830","6,379"
Fixed Assets +,274,375,561,428,430,529,540,556,"1,646","1,875","2,736","3,324"
CWIP,60,20,17,20,39,39,95,742,279,711,355,143
Investments,171,170,239,428,427,195,99,118,44,495,480,"1,229"
Other Assets +,346,390,360,380,410,866,"1,163",969,"1,561","1,296","1,259","1,683"
Total Assets,852,955,"1,177","1,256","1,307","1,629","1,898","2,385","3,529","4,377","4,830","6,379"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,1,76,92,169,90,157,237,75,-64,750,571,894
Cash from Investing Activity +,3,-53,-16,-136,-24,85,-237,-172,-656,"-1,094",-511,"-1,235"
Cash from Financing Activity +,-21,-17,-67,-39,-68,-81,-45,42,658,336,-47,344
Net Cash Flow,-17,6,10,-6,-3,161,-45,-56,-61,-8,13,3
Free Cash Flow,-61,58,-84,121,29,59,147,-501,-819,72,4,404
CFO/OP,28%,87%,78%,100%,74%,76%,71%,43%,8%,196%,122%,83%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,74,81,68,62,63,75,88,90,99,91,90,83
Inventory Days,96,89,136,110,91,127,129,149,197,150,117,118
Days Payable,113,112,94,92,58,79,77,85,103,122,118,140
Cash Conversion Cycle,57,57,110,80,96,123,140,154,193,119,89,61
Working Capital Days,39,37,4,43,58,88,113,109,140,45,25,178
ROCE %,11%,17%,22%,29%,21%,21%,22%,19%,20%,11%,12%,21%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,28.80%,28.80%,28.80%,28.80%,28.80%,28.43%,28.43%,28.43%,28.01%,27.11%,27.11%,27.10%
FIIs +,18.50%,19.20%,15.92%,15.57%,18.02%,18.23%,18.55%,20.16%,21.55%,22.15%,23.74%,23.78%
DIIs +,25.97%,26.01%,28.92%,28.60%,27.29%,28.18%,28.46%,30.04%,28.70%,29.57%,28.09%,27.61%
Public +,26.72%,25.98%,26.34%,27.00%,25.89%,25.15%,24.55%,21.37%,21.72%,21.16%,21.06%,21.49%
No. of Shareholders,"1,49,582","1,47,191","1,72,816","1,82,759","1,71,968","1,65,231","1,59,041","1,39,007","1,38,398","1,37,981","1,37,798","1,43,987"

--- CAGR BOXES ---




