--- ABOUT ---
"ACC Limited (incorporated in 1936), a member of the Adani Group, is principally engaged in the business of manufacturing and selling of Cement and Ready Mix Concrete.  The Company has manufacturing facilities across India and caters mainly to the domestic market. [1] [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"25,225","1,343","2,029",11.9

Book Value,Dividend Yield,ROCE,ROE
"1,094",0.56,11.2,10.9

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"4,791","5,201","4,435","4,914","5,409","5,199","4,634","5,972","6,115","6,087","6,005","6,483","7,146"
Expenses +,"4,322","4,430","3,885","4,010","4,572","4,520","4,198","4,856","5,284","5,309","5,159","5,783","6,520"
Operating Profit,469,771,549,905,837,679,436,"1,116",830,778,846,700,626
OPM %,10%,15%,12%,18%,15%,13%,9%,19%,14%,13%,14%,11%,9%
Other Income +,55,80,212,94,350,73,124,649,330,70,225,91,50
Interest,15,25,29,34,67,33,33,28,14,30,29,26,27
Depreciation,177,200,213,235,237,235,242,260,265,255,279,306,279
Profit before tax,331,626,519,729,883,484,284,"1,476",882,563,763,460,370
Tax %,29%,25%,25%,26%,-7%,26%,30%,26%,15%,33%,-47%,12%,36%
Net Profit +,236,466,388,538,943,360,200,"1,092",751,375,"1,119",404,238
EPS in Rs,12.55,24.82,20.65,28.63,50.23,19.15,10.63,58.14,39.99,19.99,59.60,21.52,12.69
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023 15m,Mar 2024,Mar 2025,Mar 2026
Sales +,"11,646","11,706","10,990","13,285","14,802","15,658","13,786","16,152","22,210","19,959","21,920","25,962"
Expenses +,"10,116","10,123","9,532","11,370","12,754","13,245","11,431","13,154","20,285","16,897","18,859","23,004"
Operating Profit,"1,529","1,583","1,458","1,915","2,048","2,413","2,355","2,998","1,925","3,062","3,061","2,958"
OPM %,13%,14%,13%,14%,14%,15%,17%,19%,9%,15%,14%,11%
Other Income +,241,-90,115,137,153,332,50,164,196,735,"1,175",429
Interest,83,65,79,99,88,86,57,55,77,155,108,112
Depreciation,568,663,609,644,603,606,639,601,841,883,"1,001","1,118"
Profit before tax,"1,120",766,885,"1,310","1,510","2,053","1,709","2,506","1,203","2,759","3,127","2,157"
Tax %,-3%,25%,26%,29%,-1%,33%,16%,26%,26%,15%,23%,1%
Net Profit +,"1,162",587,658,925,"1,521","1,378","1,430","1,863",885,"2,337","2,402","2,137"
EPS in Rs,61.88,31.30,35.06,49.23,80.97,73.35,76.16,99.21,47.13,124.42,127.92,113.80
Dividend Payout %,55%,54%,49%,53%,17%,19%,18%,59%,20%,6%,6%,7%

--- BALANCE SHEET ---
,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,188,188,188,188,188,188,188,188,188,188,188,188
