--- ABOUT ---
"Nuvoco Vista Corporation Ltd (NVCL) , is one of the largest cement companies and concrete manufacturers in India with a consolidated capacity of 25 MMTPA. It offers a diversified range of products such as cement, Ready-mix Concrete (RMX), and modern building materials i.e. adhesives, wall putty, dry plaster, cover blocks, and more. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"11,170",313,478,28.6

Book Value,Dividend Yield,ROCE,ROE
286,0.00,7.07,4.05

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"2,928","2,806","2,573","2,421","2,933","2,636","2,269","2,409","3,042","2,873","2,458","2,701","3,307"
Expenses +,"2,548","2,413","2,243","2,011","2,443","2,293","2,050","2,151","2,491","2,354","2,091","2,318","2,719"
Operating Profit,380,393,330,410,491,343,219,258,552,519,367,384,588
OPM %,13%,14%,13%,17%,17%,13%,10%,11%,18%,18%,15%,14%,18%
Other Income +,-403,9,6,11,7,5,10,0,4,15,4,3,-46
Interest,137,135,140,133,125,127,132,126,113,117,102,99,81
Depreciation,239,244,226,231,218,216,215,217,220,215,218,223,228
Profit before tax,-399,24,-30,57,155,5,-118,-85,224,202,51,65,233
Tax %,-150%,39%,-105%,45%,35%,44%,-28%,-28%,26%,34%,29%,24%,40%
Net Profit +,201,14,2,31,100,3,-85,-61,166,133,36,49,141
EPS in Rs,5.63,0.40,0.04,0.87,2.81,0.08,-2.38,-1.72,4.63,3.73,1.02,1.37,3.94
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"5,157","6,094","7,052","6,793","7,489","9,318","10,586","10,733","10,357","11,338"
Expenses +,"4,429","5,105","6,134","5,493","6,028","7,814","9,375","9,109","8,984","9,481"
Operating Profit,728,989,918,"1,301","1,460","1,504","1,211","1,624","1,373","1,857"
OPM %,14%,16%,13%,19%,20%,16%,11%,15%,13%,16%
Other Income +,11,54,54,33,34,35,-393,33,19,-24
Interest,231,425,457,419,664,570,512,533,496,398
Depreciation,313,392,498,528,794,918,951,919,869,884
Profit before tax,196,226,17,387,36,51,-645,206,27,551
Tax %,16%,30%,260%,36%,171%,37%,-102%,28%,18%,35%
Net Profit +,166,158,-26,249,-26,32,16,147,22,360
EPS in Rs,3.63,10.54,-1.32,10.28,-0.82,0.90,0.44,4.13,0.61,10.06
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,150,150,200,242,315,357,357,357,357,357
Reserves,"3,799","3,967","4,788","5,037","7,009","8,464","8,482","8,626","8,645","9,872"
Borrowings +,"4,314","4,369","4,683","4,513","7,792","5,575","4,785","4,404","4,074","4,916"
Other Liabilities +,"3,022","3,133","3,590","3,652","4,792","5,218","5,364","5,323","5,082","5,154"
Total Liabilities,"11,285","11,619","13,262","13,444","19,907","19,615","18,988","18,710","18,158","20,299"
Fixed Assets +,"8,916","8,690","9,895","9,970","15,042","15,409","14,962","15,027","14,702","14,686"
CWIP,143,144,605,647,"1,240",399,596,488,387,"2,474"
Investments,412,844,456,0,384,186,0,1,1,1
Other Assets +,"1,814","1,942","2,306","2,827","3,241","3,621","3,430","3,194","3,067","3,137"
Total Assets,"11,285","11,619","13,262","13,444","19,907","19,615","18,988","18,710","18,158","20,299"

--- CASH FLOW ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,922,951,860,"1,025","1,717","1,221","1,711","1,593","1,329","1,485"
Cash from Investing Activity +,-513,-602,-149,-310,"-2,898",-190,-260,-573,-337,"-2,500"
Cash from Financing Activity +,-503,-387,-647,-559,"1,420","-1,420","-1,362","-1,114",-913,927
Net Cash Flow,-94,-38,65,156,239,-390,89,-95,79,-89
Free Cash Flow,781,734,279,455,"1,170",811,"1,260","1,011",978,775
CFO/OP,135%,105%,96%,86%,120%,86%,143%,101%,97%,84%

--- RATIOS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,31,25,26,27,22,22,21,20,23,24
Inventory Days,114,125,148,179,215,283,215,177,135,128
Days Payable,234,193,193,233,263,316,348,315,281,282
Cash Conversion Cycle,-88,-44,-20,-27,-26,-11,-113,-118,-123,-130
Working Capital Days,-41,-113,-102,-115,-161,-88,-102,-102,-111,-98
ROCE %,,7%,5%,8%,6%,4%,2%,5%,4%,7%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
