--- ABOUT ---
"Incorporated in 2017, Groww is a Bengaluru-based fintech company that provides retail investors direct-to-customer digital investment platform, providing multiple financial products and services. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,25,390",200,227,60.2

Book Value,Dividend Yield,ROCE,ROE
15.4,0.00,37.3,28.8

Face Value
2.00

--- QUARTERLY RESULTS ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,125",975,801,904,"1,019","1,216","1,505"
Expenses +,575,-40,413,422,415,496,567
Operating Profit,550,"1,014",388,483,603,720,938
OPM %,49%,104%,48%,53%,59%,59%,62%
Other Income +,35,30,49,44,52,45,30
Interest,9,16,16,16,11,10,8
Depreciation,6,7,7,7,7,9,24
Profit before tax,570,"1,022",414,503,638,745,936
Tax %,26%,26%,25%,25%,26%,27%,27%
Net Profit +,420,757,309,378,471,547,686
EPS in Rs,13.51,20.71,1.69,1.81,0.79,0.89,1.09
Raw PDF,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,427,"1,142","2,794","4,061","4,645"
Expenses +,661,743,"2,050","1,531","1,901"
Operating Profit,-233,399,743,"2,530","2,744"
OPM %,-55%,35%,27%,62%,59%
Other Income +,0,119,"-1,337",0,171
Interest,0,2,4,43,46
Depreciation,3,12,20,25,48
Profit before tax,-236,504,-618,"2,464","2,821"
Tax %,1%,9%,30%,26%,26%
Net Profit +,-239,458,-805,"1,824","2,083"
EPS in Rs,"-2,144.93",67.20,-118.20,9.98,3.32
Dividend Payout %,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.11,21,21,366,"1,248"
Reserves,"2,706","3,252","2,478","4,446","8,404"
Borrowings +,0,75,91,610,292
Other Liabilities +,"1,291","1,460","5,428","4,654","8,597"
Total Liabilities,"3,997","4,808","8,018","10,076","18,541"
Fixed Assets +,286,321,396,402,253
CWIP,0,0,0,0,"1,239"
Investments,280,"1,252","1,448","1,907","2,638"
Other Assets +,"3,431","3,235","6,174","7,767","14,412"
Total Assets,"3,997","4,808","8,018","10,076","18,541"

--- CASH FLOW ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-349,548,885,-962,-21
Cash from Investing Activity +,"-1,512",-363,-910,140,"-1,351"
Cash from Financing Activity +,"1,874",-5,4,876,"2,175"
Net Cash Flow,14,179,-21,53,804
Free Cash Flow,-357,537,878,-979,-33
CFO/OP,144%,150%,157%,37%,26%

--- RATIOS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,12,12,9,9,22
Inventory Days,,,,,
Days Payable,,,,,
Cash Conversion Cycle,12,12,9,9,22
Working Capital Days,-961,-2,-434,-162,-526
ROCE %,,16%,24%,63%,37%

--- SHAREHOLDING PATTERN ---
,Dec 2025,Mar 2026
Promoters +,27.81%,27.38%
FIIs +,3.13%,2.51%
DIIs +,4.92%,5.92%
Public +,64.13%,62.88%
Others +,0.00%,1.31%
No. of Shareholders,"7,71,434","7,06,904"

--- CAGR BOXES ---




