--- ABOUT ---
"Incorporated in 2005, AGI Infra Ltd is in the business of Real Estate and Construction Services [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,696",376,434,49.5

Book Value,Dividend Yield,ROCE,ROE
37.2,0.03,20.1,25.0

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,66,69,71,73,80,73,78,91,83,92,85,88,88
Expenses +,54,51,51,54,61,51,51,63,68,61,52,50,67
Operating Profit,12,17,20,19,19,22,27,29,16,30,34,38,21
OPM %,19%,25%,29%,26%,23%,30%,34%,31%,19%,33%,39%,43%,24%
Other Income +,2,1,2,2,4,2,2,3,6,2,2,2,4
Interest,1,1,1,2,3,3,3,3,4,3,4,4,4
Depreciation,2,2,3,2,6,3,5,5,5,5,5,5,7
Profit before tax,12,16,18,18,14,18,21,23,12,24,27,31,14
Tax %,-13%,18%,18%,17%,33%,18%,17%,17%,-27%,18%,17%,16%,-93%
Net Profit +,13,13,14,15,9,14,17,19,16,20,22,26,27
EPS in Rs,1.09,1.09,1.19,1.22,0.76,1.18,1.43,1.56,1.29,1.64,1.80,2.14,2.14
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,61,146,121,81,91,110,197,240,292,325,353
Expenses +,48,129,96,57,58,78,148,181,216,231,230
Operating Profit,12,17,25,24,33,33,49,59,76,93,123
OPM %,20%,11%,21%,30%,36%,30%,25%,24%,26%,29%,35%
Other Income +,0,0,1,0,2,2,3,6,9,13,10
Interest,5,7,8,8,13,11,5,5,8,13,15
Depreciation,2,2,3,4,4,4,4,6,12,18,22
Profit before tax,6,8,15,12,18,20,44,54,66,74,96
Tax %,33%,34%,23%,20%,17%,16%,17%,11%,21%,10%,1%
Net Profit +,4,5,12,9,15,17,36,48,52,67,95
EPS in Rs,0.38,0.51,1.14,0.91,1.47,1.38,2.98,3.94,4.26,5.45,7.59
Dividend Payout %,0%,0%,9%,0%,3%,4%,3%,3%,2%,2%,3%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,10,10,10,10,12,12,12,12,12,12
Reserves,22,27,38,45,58,78,114,160,212,283,452
Borrowings +,41,54,92,114,105,52,42,49,138,137,186
Other Liabilities +,80,29,51,128,227,345,442,538,717,764,928
Total Liabilities,153,120,191,297,400,488,610,759,"1,080","1,196","1,578"
Fixed Assets +,8,12,16,25,29,48,121,171,251,275,280
CWIP,0,0,0,0,0,0,0,0,0,0,0
Investments,2,2,23,19,17,0,0,0,0,0,0
Other Assets +,142,105,153,254,354,440,488,589,828,921,"1,298"
Total Assets,153,120,191,297,400,488,610,759,"1,080","1,196","1,578"

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-5,1,8,-9,31,62,106,106,61,-20,-32
Cash from Investing Activity +,-6,-6,-27,-9,-7,-5,-76,-77,-88,-39,-25
Cash from Financing Activity +,5,7,30,14,-22,-54,-16,-16,81,-14,128
Net Cash Flow,-6,1,11,-4,2,4,14,14,55,-73,71
Free Cash Flow,-10,-5,1,-22,28,53,68,68,28,-68,-52
CFO/OP,-23%,19%,45%,-26%,104%,201%,232%,194%,95%,-7%,-15%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,11,8,9,55,19,20,5,4,4,4,4
Inventory Days,"1,402",308,684,"2,711","5,336","3,122",,,"1,447","1,729","2,337"
Days Payable,90,24,53,212,201,146,,,23,35,56
Cash Conversion Cycle,"1,323",292,641,"2,553","5,154","2,996",5,4,"1,428","1,698","2,286"
Working Capital Days,355,144,191,387,284,127,-9,-32,-99,87,211
ROCE %,,18%,20%,13%,18%,20%,31%,30%,25%,22%,20%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,72.95%,72.95%,72.95%,72.95%,72.95%,72.95%,72.95%,72.95%,72.95%,72.95%,72.95%,71.29%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,1.21%,0.56%,0.12%,1.78%,0.83%,3.98%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.02%,0.02%,0.03%,0.03%,0.02%,0.01%
Public +,27.06%,27.05%,27.06%,27.05%,27.05%,27.01%,25.83%,26.47%,26.91%,25.25%,26.21%,24.71%
No. of Shareholders,"1,443","1,550","1,714","2,772","2,909","3,205","3,620","4,573","6,119","6,857","8,942","9,169"

--- CAGR BOXES ---




