--- ABOUT ---
"Incorporated in 2007, Le Travenues  Technology Ltd is running online platforms to provide information and booking services for the travel industry. It also provides software development & maintenance  services to its customer [1] [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"8,324",190,339,112

Book Value,Dividend Yield,ROCE,ROE
46.8,0.00,6.80,5.54

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,137,157,164,171,165,182,206,242,284,314,283,320,308
Expenses +,124,147,164,155,152,167,190,222,263,291,288,296,288
Operating Profit,13,10,0,15,13,15,16,19,21,23,-5,24,20
OPM %,10%,6%,0%,9%,8%,8%,8%,8%,8%,7%,-2%,7%,6%
Other Income +,-4,2,32,2,3,6,5,5,6,7,5,14,19
Interest,0,1,1,1,0,1,1,1,1,1,1,1,1
Depreciation,3,3,4,3,3,2,2,3,3,3,3,4,4
Profit before tax,6,8,26,14,13,18,18,21,24,26,-4,32,34
Tax %,24%,-1%,-2%,-120%,41%,18%,29%,28%,30%,28%,-12%,26%,5%
Net Profit +,5,8,27,31,7,15,13,16,17,19,-3,24,32
EPS in Rs,0.12,0.24,0.75,0.81,0.24,0.38,0.34,0.40,0.43,0.49,-0.08,0.55,0.73
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,40,112,136,380,501,656,914,"1,228"
Expenses +,94,136,132,392,473,618,842,"1,166"
Operating Profit,-54,-24,3,-12,29,38,72,62
OPM %,-134%,-22%,2%,-3%,6%,6%,8%,5%
Other Income +,2,1,3,5,4,39,23,45
Interest,2,1,2,3,1,3,2,3
Depreciation,4,2,2,8,11,13,10,15
Profit before tax,-57,-27,3,-18,21,61,82,89
Tax %,0%,0%,-179%,20%,-13%,-20%,26%,19%
Net Profit +,-57,-27,8,-21,23,73,60,71
EPS in Rs,"-1,330.01",-616.97,174.59,-0.66,0.58,2.03,1.54,1.65
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.04,0.04,0.04,37,37,37,39,44
Reserves,-199,-225,30,306,337,409,595,"2,003"
Borrowings +,224,240,15,7,10,46,40,44
Other Liabilities +,36,55,136,188,200,140,231,451
Total Liabilities,60,70,181,538,583,632,904,"2,541"
Fixed Assets +,8,6,100,289,292,271,286,528
CWIP,0,0,0,0,8,0,0,0
Investments,6,12,2,40,48,86,119,546
Other Assets +,46,52,79,209,236,276,498,"1,468"
Total Assets,60,70,181,538,583,632,904,"2,541"

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-42,34,-15,-34,31,43,122,196
Cash from Investing Activity +,48,-5,-10,-222,22,-45,-203,"-1,211"
Cash from Financing Activity +,-1,-2,14,258,-2,-46,104,"1,287"
Net Cash Flow,5,27,-12,2,51,-48,23,271
Free Cash Flow,-43,33,-15,-36,25,36,118,175
CFO/OP,77%,-148%,-442%,227%,127%,112%,179%,327%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,199,14,71,8,9,15,15,14
Inventory Days,,,,,,,,
Days Payable,,,,,,,,
Cash Conversion Cycle,199,14,71,8,9,15,15,14
Working Capital Days,-49,-123,-179,-46,-34,-23,-25,102
ROCE %,,-126%,13%,-8%,8%,7%,13%,7%

--- SHAREHOLDING PATTERN ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
FIIs +,58.18%,59.83%,61.07%,59.48%,59.90%,59.64%,63.70%,64.19%
DIIs +,9.94%,8.50%,8.19%,9.74%,10.94%,9.37%,9.32%,10.10%
Public +,31.88%,31.66%,30.74%,30.77%,29.16%,30.99%,27.01%,25.71%
No. of Shareholders,"1,03,237","99,684","84,954","88,925","77,903","87,104","87,020","81,179"

--- CAGR BOXES ---




