--- ABOUT ---
"Lumax Industries Limited is the flagship company of the DK Jain Group. It was founded as a trading company in 1945 and today it has evolved as market leader of automobile lighting in the Indian automotive industry. In 1984, company entered into a technical collaboration with Stanley Electric Co. Ltd., Japan (SECL), which currently holds around 37.5% equity stake in the company. Other 37.5% is held by Indian promoters (D.K. Jain and family). Company has 29 manufacturing facilities across 7 states in India. [1] [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,936","5,280","6,970",26.5

Book Value,Dividend Yield,ROCE,ROE
982,0.66,17.7,22.0

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,608,618,644,632,743,766,812,887,923,923,"1,009","1,053","1,200"
Expenses +,559,567,589,573,677,708,752,817,844,841,920,942,"1,076"
Operating Profit,49,51,55,58,66,58,60,70,79,82,89,111,124
OPM %,8%,8%,9%,9%,9%,8%,7%,8%,9%,9%,9%,11%,10%
Other Income +,14,14,15,13,28,31,22,18,25,16,14,1,11
Interest,9,10,11,13,15,16,19,19,18,18,19,19,18
Depreciation,21,21,21,24,27,26,26,27,33,32,37,38,45
Profit before tax,33,34,38,35,52,46,37,42,53,48,47,55,72
Tax %,38%,32%,31%,27%,31%,26%,23%,19%,18%,25%,24%,15%,25%
Net Profit +,21,23,26,26,36,34,28,33,44,36,36,47,54
EPS in Rs,22.20,24.73,28.08,27.37,38.59,36.57,30.25,35.82,47.04,38.72,38.13,49.80,57.88
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,252","1,271","1,649","1,851","1,602","1,426","1,751","2,320","2,637","3,400","4,184"
Expenses +,"1,164","1,170","1,515","1,698","1,443","1,326","1,616","2,112","2,405","3,120","3,779"
Operating Profit,89,101,135,154,158,100,135,208,231,280,405
OPM %,7%,8%,8%,8%,10%,7%,8%,9%,9%,8%,10%
Other Income +,4,17,19,57,19,27,3,51,70,84,43
Interest,13,11,8,16,22,29,22,30,49,73,74
Depreciation,38,41,48,60,64,65,64,80,93,113,152
Profit before tax,41,65,98,134,92,33,53,149,159,178,223
Tax %,10%,16%,27%,23%,22%,45%,23%,31%,30%,21%,22%
Net Profit +,52,54,71,104,72,18,41,103,111,140,172
EPS in Rs,55.66,58.16,76.34,111.03,76.92,19.42,43.56,110.27,118.77,149.67,184.51
Dividend Payout %,22%,25%,30%,32%,31%,36%,31%,24%,29%,23%,30%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,9,9,9,9,9,9,9,9,9,9,9
Reserves,259,300,353,426,437,451,482,574,662,765,908
Borrowings +,127,92,104,140,347,338,401,431,723,888,973
Other Liabilities +,463,478,751,615,490,564,654,852,"1,207","1,199","1,544"
Total Liabilities,859,880,"1,217","1,190","1,283","1,362","1,546","1,866","2,601","2,861","3,435"
Fixed Assets +,408,419,518,549,653,627,711,749,968,"1,106","1,434"
CWIP,17,20,34,50,32,47,48,43,178,212,105
Investments,69,79,88,81,90,92,102,147,179,246,278
Other Assets +,365,362,577,510,508,596,685,927,"1,276","1,297","1,619"
Total Assets,859,880,"1,217","1,190","1,283","1,362","1,546","1,866","2,601","2,861","3,435"

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,81,100,140,104,103,76,108,108,133,212,373
Cash from Investing Activity +,-37,-62,-128,-97,-194,-31,-129,-90,-245,-293,-265
Cash from Financing Activity +,-59,-39,-11,-6,96,-51,34,-26,137,59,-92
Net Cash Flow,-15,-2,1,1,6,-5,13,-8,24,-22,16
Free Cash Flow,43,37,8,-8,-63,14,-21,19,-124,-110,86
CFO/OP,101%,110%,117%,89%,75%,72%,87%,64%,64%,81%,104%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,53,55,70,44,39,55,48,48,48,50,55
Inventory Days,45,52,57,61,75,94,91,96,129,92,90
Days Payable,135,146,180,114,131,159,163,141,154,147,145
Cash Conversion Cycle,-36,-39,-53,-9,-17,-9,-24,3,22,-6,0
Working Capital Days,-58,-54,-57,-49,-78,-75,-60,-38,-49,-44,-45
ROCE %,,19%,24%,22%,17%,8%,11%,19%,17%,16%,18%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,1.12%,1.15%,1.12%,1.09%,1.17%,1.18%,0.92%,0.97%,1.18%,1.13%,1.38%,1.63%
DIIs +,1.03%,1.27%,1.42%,1.46%,1.57%,3.56%,4.94%,5.63%,5.75%,5.98%,5.71%,6.07%
Public +,22.84%,22.57%,22.45%,22.44%,22.25%,20.27%,19.13%,18.39%,18.07%,17.89%,17.91%,17.30%
No. of Shareholders,"19,410","19,742","19,395","19,329","19,999","18,884","18,814","18,660","19,623","21,486","22,371","23,690"

--- CAGR BOXES ---




