--- ABOUT ---
"C E Info Systems Limited (“MapmyIndia”) was incorporated on February 17, 1995. The company is a data and technology products and platforms company, offering proprietary digital maps as a service (“MaaS”), software as a service (“SaaS”), and platform as a service (“PaaS”). They are India’s leading provider of advanced digital maps, geospatial software, and location-based IoT technologies. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,870",889,"2,000",36.3

Book Value,Dividend Yield,ROCE,ROE
165,0.39,22.0,15.8

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,72,89,91,92,107,101,104,115,144,122,114,94,145
Expenses +,44,52,51,57,67,59,67,73,88,67,87,69,82
Operating Profit,29,37,40,35,40,42,37,41,55,54,26,25,64
OPM %,40%,42%,44%,38%,37%,42%,36%,36%,38%,45%,23%,26%,44%
Other Income +,10,8,8,12,12,10,10,9,23,14,10,11,18
Interest,1,1,1,1,1,1,1,1,1,1,0,0,0
Depreciation,4,3,4,4,4,5,6,5,4,7,8,8,8
Profit before tax,34,42,44,42,47,47,41,44,74,60,28,27,73
Tax %,18%,24%,25%,26%,19%,24%,25%,27%,33%,24%,35%,31%,30%
Net Profit +,28,32,33,31,38,36,30,32,49,46,19,19,51
EPS in Rs,5.22,6.00,6.11,5.69,7.02,6.62,5.58,5.96,8.93,8.47,3.38,3.43,9.27
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,135,149,152,200,281,379,463,474
Expenses +,110,119,101,114,164,225,287,305
Operating Profit,26,29,51,86,118,155,176,169
OPM %,19%,20%,34%,43%,42%,41%,38%,36%
Other Income +,28,15,40,42,34,38,52,52
Interest,3,3,3,2,3,3,3,2
Depreciation,9,10,10,8,10,15,20,30
Profit before tax,42,32,79,117,139,175,206,189
Tax %,20%,27%,24%,26%,23%,23%,28%,29%
Net Profit +,34,23,60,87,108,134,148,134
EPS in Rs,87.59,60.53,156.07,16.34,19.99,24.77,27.05,24.50
Dividend Payout %,0%,0%,0%,12%,25%,14%,13%,14%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,4,4,4,11,11,11,11,11
Reserves,152,165,225,435,531,648,780,894
Borrowings +,154,151,149,19,29,26,30,7
Other Liabilities +,30,39,50,53,101,109,123,124
Total Liabilities,340,358,428,518,673,794,944,"1,036"
Fixed Assets +,44,41,33,43,49,61,90,105
CWIP,0,0,0,0,7,10,1,0
Investments,201,199,269,296,362,409,489,517
Other Assets +,95,119,126,178,254,313,364,414
Total Assets,340,358,428,518,673,794,944,"1,036"

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,27,27,82,29,90,76,113,93
Cash from Investing Activity +,-19,-1,-58,-11,-63,-59,-102,-48
Cash from Financing Activity +,-4,-19,-6,-11,8,-19,-17,-53
Net Cash Flow,3,7,19,7,36,-3,-6,-7
Free Cash Flow,23,21,80,25,67,45,73,59
CFO/OP,169%,133%,189%,75%,112%,72%,89%,87%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,64,76,68,79,76,101,105,136
Inventory Days,86,119,74,191,140,71,120,106
Days Payable,82,152,99,120,99,144,194,378
Cash Conversion Cycle,69,44,43,150,116,28,31,-136
Working Capital Days,25,31,-6,62,-1,32,48,283
ROCE %,,10%,19%,21%,25%,26%,24%,22%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,53.31%,52.93%,52.91%,52.91%,51.98%,51.67%,51.67%,51.65%,51.65%,51.36%,51.36%,51.41%
FIIs +,4.02%,5.74%,5.98%,6.73%,6.41%,6.44%,4.66%,4.44%,5.36%,4.63%,3.90%,3.15%
DIIs +,6.93%,5.79%,4.29%,4.73%,5.76%,5.76%,7.14%,8.91%,12.06%,13.07%,13.95%,14.31%
Public +,35.74%,35.53%,36.82%,35.64%,35.85%,36.14%,36.54%,35.01%,30.93%,30.94%,30.78%,31.12%
No. of Shareholders,"1,47,248","1,35,820","1,62,163","1,55,675","1,59,382","1,62,409","1,66,270","1,56,853","1,54,742","1,49,530","1,47,041","1,42,309"

--- CAGR BOXES ---




