--- ABOUT ---
"Vedanta Ltd is a diversified natural resource group engaged in exploring, extracting and processing minerals and oil & gas. The group engages in the exploration, production and sale of zinc, lead, silver, copper, aluminium, iron ore and oil & gas. It has presence across India, South Africa, Namibia, Ireland, Liberia & UAE. Its other businesses includes commercial power generation, steel manufacturing & port operations in India and manufacturing of glass substrate in South Korea and Taiwan. [1] Presently, India accounts for ~65% of total revenues, followed by Malaysia (9%), China (3%), UAE (1%) and others (22%). [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,17,624",301,361,13.6

Book Value,Dividend Yield,ROCE,ROE
127,14.5,16.5,19.0

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"37,930","33,733","38,945","35,541","35,509","35,764","37,634","17,063","16,686","37,824","18,747","21,337","24,609"
Expenses +,"28,471","27,313","27,466","27,010","26,741","25,819","27,806","12,050","11,440","27,906","13,832","14,816","17,050"
Operating Profit,"9,459","6,420","11,479","8,531","8,768","9,945","9,828","5,013","5,246","9,918","4,915","6,521","7,559"
OPM %,25%,19%,29%,24%,25%,28%,26%,29%,31%,26%,26%,31%,31%
Other Income +,-631,"2,326","1,863",779,385,934,"3,168","3,202","2,771",985,"1,248","4,426","5,520"
Interest,"1,805","2,110","2,523","2,417","2,415","2,222","2,667","1,073","1,071","2,026","1,033",547,737
Depreciation,"2,765","2,550","2,642","2,788","2,743","2,731","2,696","1,238","1,191","2,824","1,303","1,239","1,332"
Profit before tax,"4,258","4,086","8,177","4,105","3,995","5,926","7,633","5,904","5,755","6,053","3,827","9,161","11,010"
Tax %,26%,19%,111%,30%,43%,14%,27%,17%,14%,26%,9%,15%,15%
Net Profit +,"3,132","3,308",-915,"2,868","2,275","5,095","5,603","4,876","4,961","4,457","3,479","7,807","9,352"
EPS in Rs,5.06,7.10,-4.80,5.42,3.68,9.70,11.13,9.07,8.91,8.14,4.60,14.60,17.13
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"73,710","64,262","72,225","91,866","92,048","84,447","88,021","132,732","147,308","143,727","152,968","78,437"
Expenses +,"51,595","82,741","50,849","66,989","68,877","63,704","60,703","87,908","112,877","108,415","110,625","55,254"
Operating Profit,"22,114","-18,479","21,376","24,877","23,171","20,743","27,318","44,824","34,431","35,312","42,343","23,183"
OPM %,30%,-29%,30%,27%,25%,25%,31%,34%,23%,25%,28%,30%
Other Income +,"-19,222","4,290","4,423","6,087","4,270","-14,932","2,743","1,832","2,625","5,241","5,544","14,186"
Interest,"5,659","5,778","5,855","5,112","5,689","4,977","5,210","4,797","6,225","9,465","9,914","2,817"
Depreciation,"7,159","8,572","6,292","6,283","8,192","9,093","7,638","8,895","10,555","10,723","11,096","4,810"
Profit before tax,"-9,925","-28,540","13,652","19,569","13,560","-8,259","17,213","32,964","20,276","20,365","26,877","29,742"
Tax %,15%,-37%,17%,30%,28%,-43%,13%,28%,28%,63%,24%,16%
Net Profit +,"-11,369","-17,862","11,316","13,692","9,698","-4,744","15,032","23,710","14,503","7,539","20,535","25,096"
EPS in Rs,-52.77,-41.39,23.47,27.82,19.01,-17.93,31.21,50.58,28.45,11.40,38.33,44.47
Dividend Payout %,-8%,-8%,83%,76%,99%,-22%,30%,89%,357%,259%,113%,101%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,296,296,297,372,372,372,372,372,372,372,391,391
Reserves,"53,579","43,743","60,128","62,940","61,925","54,263","61,906","65,011","39,051","30,350","40,821","49,261"
Borrowings +,"77,752","67,778","71,569","58,159","66,226","59,187","57,669","53,583","80,329","87,706","91,479","27,844"
Other Liabilities +,"58,654","80,163","64,952","58,896","70,045","66,915","63,549","74,981","69,703","69,690","67,249","155,741"
Total Liabilities,"190,281","191,980","196,946","180,367","198,568","180,737","183,496","193,947","189,455","188,118","199,940","233,237"
