--- ABOUT ---
"Incorporated in 1998, India Shelter Finance Corporation Limited is engaged in the business of housing finance. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"8,533",784,"1,012",17.0

Book Value,Dividend Yield,ROCE,ROE
294,1.27,12.8,17.0

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue +,170,182,204,209,235,252,283,304,327,361,369,390,408
Interest,56,68,72,74,75,77,85,92,102,106,110,114,115
Expenses +,51,57,59,61,67,73,79,85,83,97,98,113,110
Financing Profit,63,57,73,74,93,102,119,127,142,158,161,163,183
Financing Margin %,37%,31%,36%,35%,40%,40%,42%,42%,44%,44%,44%,42%,45%
Other Income +,8,6,7,10,10,9,1,0,0,0,0,0,0
Depreciation,2,2,2,2,3,3,3,3,3,3,3,3,3
Profit before tax,68,61,77,81,100,108,117,124,140,155,158,160,180
Tax %,22%,23%,22%,23%,22%,23%,23%,23%,23%,23%,23%,22%,24%
Net Profit +,53,47,60,62,78,84,90,96,108,119,122,124,138
EPS in Rs,12.10,10.73,6.69,5.82,7.28,7.79,8.39,8.92,10.02,11.07,11.26,11.42,12.65
Gross NPA %,1.13%,1.09%,,1.20%,0.97%,1.14%,1.24%,1.25%,0.99%,1.24%,1.25%,1.54%,1.25%
Net NPA %,0.85%,0.80%,,0.90%,0.73%,0.86%,0.94%,0.94%,0.75%,0.95%,0.94%,1.16%,0.93%
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue +,317,448,585,830,"1,166","1,528"
Interest,106,149,211,289,356,445
Expenses +,99,138,185,243,319,418
Financing Profit,112,162,189,298,491,665
Financing Margin %,35%,36%,32%,36%,42%,44%
Other Income +,6,12,21,32,10,0
Depreciation,5,7,8,10,12,12
Profit before tax,113,167,202,319,489,653
Tax %,23%,23%,23%,22%,23%,23%
Net Profit +,87,128,155,248,378,503
EPS in Rs,20.33,29.39,35.41,23.13,35.02,46.26
Dividend Payout %,0%,0%,0%,0%,14%,22%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,43,44,44,54,54,54
Reserves,894,"1,032","1,197","2,245","2,655","3,144"
Borrowing,"1,491","2,070","2,989","3,415","4,969","6,246"
Other Liabilities +,34,75,66,80,70,171
Total Liabilities,"2,463","3,221","4,296","5,794","7,748","9,615"
Fixed Assets +,15,17,24,30,29,29
CWIP,0,0,0,0,0,0
Investments,0,175,47,158,315,395
Other Assets +,"2,448","3,029","4,224","5,607","7,403","9,191"
Total Assets,"2,463","3,221","4,296","5,794","7,748","9,615"

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-421,-495,-852,"-1,232","-1,435","-1,185"
Cash from Investing Activity +,77,-186,162,-236,-61,-105
Cash from Financing Activity +,560,592,907,"1,220","1,566","1,238"
Net Cash Flow,216,-89,217,-249,70,-53
Free Cash Flow,-423,-500,-858,"-1,238","-1,443","-1,196"
CFO/OP,-183%,-151%,-201%,-197%,-157%,-95%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
ROE %,9%,13%,13%,14%,15%,17%

--- SHAREHOLDING PATTERN ---
,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,48.30%,48.30%,48.23%,48.14%,48.00%,47.92%,47.91%,47.71%,47.60%,47.53%
FIIs +,5.84%,5.28%,5.16%,5.77%,6.23%,6.93%,7.96%,8.02%,7.48%,6.87%
DIIs +,12.61%,16.09%,17.53%,21.87%,20.66%,18.52%,17.67%,21.00%,20.72%,21.39%
Public +,33.24%,30.32%,29.09%,24.22%,25.09%,26.64%,26.46%,23.27%,24.20%,24.21%
No. of Shareholders,"1,14,300","64,293","54,929","52,748","53,706","55,264","65,803","65,949","62,619","59,100"

--- CAGR BOXES ---




