--- ABOUT ---
"Incorporated in September 2012, Standard Engineering Technology is a manufacturer of engineering equipment for the pharmaceutical and chemical sectors in India. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,713",186,204 / 105,46.4

Book Value,Dividend Yield,ROCE,ROE
39.5,0.00,14.7,10.7

Face Value
10.0

--- QUARTERLY RESULTS ---
,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,138,201,142,165,140,166,173,183,192,227
Expenses +,115,170,118,132,114,143,144,154,162,195
Operating Profit,23,32,24,34,26,24,30,29,29,32
OPM %,17%,16%,17%,20%,19%,14%,17%,16%,15%,14%
Other Income +,0,5,2,3,3,5,5,5,4,4
Interest,3,4,4,4,4,3,3,2,3,3
Depreciation,3,2,2,3,3,3,4,4,4,4
Profit before tax,17,31,20,29,22,22,28,28,26,29
Tax %,27%,22%,25%,29%,26%,26%,26%,26%,23%,26%
Net Profit +,12,24,15,21,16,16,21,20,20,21
EPS in Rs,6.65,12.78,0.81,1.07,0.81,0.76,1.05,1.01,0.96,0.99
Raw PDF,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,240,498,544,614,774
Expenses +,200,412,449,506,655
Operating Profit,40,86,95,107,119
OPM %,17%,17%,17%,18%,15%
Other Income +,1,2,6,12,19
Interest,4,9,12,15,11
Depreciation,4,8,9,11,16
Profit before tax,34,72,80,94,111
Tax %,26%,26%,25%,27%,25%
Net Profit +,25,53,60,69,83
EPS in Rs,16.44,33.84,32.14,3.23,4.01
Dividend Payout %,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,15,16,18,199,199
Reserves,54,140,389,507,589
Borrowings +,70,82,129,68,83
Other Liabilities +,159,110,129,184,382
Total Liabilities,298,348,665,958,"1,254"
Fixed Assets +,52,75,96,136,183
CWIP,1,3,4,8,27
Investments,0,0,0,0,0
Other Assets +,245,269,565,814,"1,045"
Total Assets,298,348,665,958,"1,254"

--- CASH FLOW ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-7,2,-65,5,45
Cash from Investing Activity +,-30,-29,-157,-160,-38
Cash from Financing Activity +,37,33,232,141,-2
Net Cash Flow,0,5,10,-14,6
Free Cash Flow,-12,-28,-99,-23,-16
CFO/OP,3%,26%,-49%,26%,58%

--- RATIOS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,125,67,104,127,120
Inventory Days,399,183,258,296,386
Days Payable,198,96,102,115,171
Cash Conversion Cycle,326,154,260,309,335
Working Capital Days,53,66,178,272,226
ROCE %,,43%,24%,16%,15%

--- SHAREHOLDING PATTERN ---
,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,60.41%,60.41%,60.41%,60.47%,60.47%
FIIs +,2.63%,2.45%,2.72%,2.54%,2.43%
DIIs +,2.21%,0.98%,1.10%,0.77%,0.35%
Public +,34.76%,36.16%,35.79%,36.24%,36.76%
No. of Shareholders,"67,159","58,957","52,934","53,070","51,209"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,%
5 Years:,%
3 Years:,16%
TTM:,26%

Compounded Profit Growth
10 Years:,%
5 Years:,%
3 Years:,14%
TTM:,24%

Stock Price CAGR
10 Years:,%
5 Years:,%
3 Years:,%
1 Year:,10%

Return on Equity
10 Years:,%
5 Years:,16%
3 Years:,13%
Last Year:,11%

