--- ABOUT ---
"Caplin Point Laboratories Ltd is engaged in the manufacturing and sourcing of APIs, finished formulations, R&D, clinical research with presence in Latin America, Africa, USA and other nations. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"19,030","2,504","2,560 / 1,500",29.7

Book Value,Dividend Yield,ROCE,ROE
472,0.24,24.6,20.6

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,389,395,410,436,453,459,483,493,502,510,534,543,600
Expenses +,265,269,273,293,308,307,318,331,334,332,345,353,396
Operating Profit,124,127,137,142,145,152,165,162,168,178,189,190,204
OPM %,32%,32%,34%,33%,32%,33%,34%,33%,33%,35%,35%,35%,34%
Other Income +,11,12,21,17,17,19,21,31,26,23,30,34,28
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,11,11,12,14,16,16,17,16,17,16,18,19,19
Profit before tax,124,127,146,145,146,154,168,177,177,184,201,204,213
Tax %,18%,18%,20%,18%,17%,19%,22%,21%,18%,18%,20%,19%,19%
Net Profit +,101,104,116,120,121,125,131,140,145,151,160,166,173
EPS in Rs,13.45,13.62,15.13,15.43,16.01,16.31,17.21,18.28,18.76,20.10,20.32,21.56,22.38
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Jun 2015,Mar 2016 9m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,252,239,402,540,649,863,"1,061","1,269","1,467","1,694","1,937","2,187"
Expenses +,192,175,276,345,417,603,732,874,"1,025","1,142","1,287","1,426"
Operating Profit,60,64,125,195,232,260,329,395,442,552,651,761
OPM %,24%,27%,31%,36%,36%,30%,31%,31%,30%,33%,34%,35%
Other Income +,3,4,10,13,19,41,23,38,55,66,92,116
Interest,1,0,1,1,1,0,2,1,1,1,1,1
Depreciation,8,7,13,19,23,32,37,47,45,53,66,73
Profit before tax,53,60,121,188,227,269,314,386,451,564,677,803
Tax %,23%,24%,21%,23%,22%,20%,20%,20%,16%,18%,20%,19%
Net Profit +,41,46,96,145,177,215,251,308,377,461,541,650
EPS in Rs,5.43,6.05,12.65,19.15,23.35,28.42,32.03,39.56,49.57,60.19,70.56,84.36
Dividend Payout %,18%,20%,12%,10%,9%,9%,9%,10%,9%,8%,8%,5%

--- BALANCE SHEET ---
,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,15,15,15,15,15,15,15,15,15,15,15,15
Reserves,78,113,210,349,582,858,954,"1,252","1,649","2,084","2,619","3,571"
Borrowings +,2,2,1,1,36,113,235,219,222,219,222,5
Other Liabilities +,134,137,133,136,109,139,159,250,305,380,352,454
Total Liabilities,229,267,358,500,743,"1,126","1,364","1,736","2,191","2,698","3,208","4,045"
Fixed Assets +,113,144,152,169,227,272,305,287,280,453,546,605
CWIP,31,0,3,15,10,20,14,18,221,117,144,209
Investments,0,0,17,47,70,61,11,89,281,376,590,859
