--- ABOUT ---
"Incorporated in 2007, Travel Food Services Ltd provides Travel QSR and Lounge services in India and abroad. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"17,829","1,354","1,445 / 1,008",40.4

Book Value,Dividend Yield,ROCE,ROE
110,0.00,42.4,35.3

Face Value
1.00

--- QUARTERLY RESULTS ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,410,500,411,367,375,356,456,461
Expenses +,308,340,253,232,229,221,275,274
Operating Profit,102,160,158,135,146,135,181,186
OPM %,25%,32%,38%,37%,39%,38%,40%,40%
Other Income +,31,20,28,43,29,35,44,53
Interest,17,5,14,10,9,8,10,37
Depreciation,29,31,33,33,34,38,39,40
Profit before tax,86,145,139,134,132,124,177,162
Tax %,31%,24%,26%,21%,28%,21%,23%,24%
Net Profit +,60,110,103,107,95,98,137,123
EPS in Rs,143.10,276.67,7.42,7.81,6.97,7.27,10.08,9.17
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,501,774,162,388,"1,067","1,396","1,688","1,648"
Expenses +,398,646,198,363,693,980,"1,134",999
Operating Profit,103,128,-36,24,374,417,554,649
OPM %,21%,16%,-22%,6%,35%,30%,33%,39%
Other Income +,5,15,20,20,84,133,122,161
Interest,10,2,5,5,48,52,46,64
Depreciation,22,21,22,17,83,111,126,150
Profit before tax,76,119,-43,22,327,387,504,595
Tax %,33%,29%,25%,68%,23%,23%,25%,24%
Net Profit +,51,104,-60,13,251,298,380,452
EPS in Rs,103.51,268.84,-147.64,32.04,629.55,743.09,27.58,33.49
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,50%,31%,31%

--- BALANCE SHEET ---
,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,4,4,4,4,4,4,13,13
Reserves,84,513,459,472,652,870,"1,040","1,430"
Borrowings +,60,21,26,38,383,416,333,245
Other Liabilities +,139,169,147,208,294,407,516,592
Total Liabilities,286,706,636,722,"1,332","1,696","1,903","2,280"
Fixed Assets +,115,75,59,99,353,387,372,636
CWIP,8,0,24,2,6,23,39,28
Investments,0,370,304,309,464,594,868,776
Other Assets +,163,261,249,313,510,693,624,839
Total Assets,286,706,636,722,"1,332","1,696","1,903","2,280"

--- CASH FLOW ---
,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,70,104,14,45,322,353,515,393
Cash from Investing Activity +,-55,-120,-11,-55,-197,-155,-215,-150
Cash from Financing Activity +,-1,13,-4,11,-104,-172,-343,-221
Net Cash Flow,14,-3,-1,1,21,26,-43,22
Free Cash Flow,22,78,-24,21,285,276,454,354
CFO/OP,68%,111%,-40%,275%,103%,116%,111%,82%

--- RATIOS ---
,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,34,31,58,44,39,27,23,58
Inventory Days,21,13,70,32,18,15,11,18
Days Payable,111,69,254,131,310,368,461,514
Cash Conversion Cycle,-56,-25,-126,-55,-252,-325,-427,-438
Working Capital Days,-22,-17,-157,-100,-60,-72,-61,128
ROCE %,,,-9%,4%,47%,36%,41%,42%

--- SHAREHOLDING PATTERN ---
,Sep 2025,Dec 2025,Mar 2026
Promoters +,86.19%,86.19%,86.19%
FIIs +,2.77%,2.39%,1.55%
DIIs +,8.03%,8.84%,9.71%
Public +,3.00%,2.59%,2.54%
No. of Shareholders,"65,301","57,736","54,057"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,13%
5 Years:,59%
3 Years:,16%
TTM:,-2%

Compounded Profit Growth
10 Years:,28%
5 Years:,54%
3 Years:,23%
TTM:,22%

Stock Price CAGR
10 Years:,%
5 Years:,%
3 Years:,%
1 Year:,%

Return on Equity
10 Years:,%
5 Years:,33%
3 Years:,36%
Last Year:,35%

