--- ABOUT ---
"Genus Power Infrastructures Limited, incorporated in 1992 is a part of the Kailash Group. [1] It is engaged in manufacturing and providing Metering and Metering Solutions and undertaking 'Engineering, Construction, and Contracts' on a turnkey basis (core business division). It also undertakes strategic investment activity, [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"9,879",325,387,16.7

Book Value,Dividend Yield,ROCE,ROE
72.9,0.75,23.9,29.0

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,202,261,259,260,420,414,487,604,937,942,"1,149","1,122","1,537"
Expenses +,175,233,233,246,366,351,406,511,740,743,915,910,"1,270"
Operating Profit,27,28,26,13,54,63,81,93,196,199,234,212,267
OPM %,13%,11%,10%,5%,13%,15%,17%,15%,21%,21%,20%,19%,17%
Other Income +,-22,19,49,12,16,26,62,13,22,22,11,14,24
Interest,10,12,13,14,18,21,29,27,40,36,41,42,43
Depreciation,5,5,5,6,6,6,6,7,16,11,12,14,18
Profit before tax,-9,30,58,6,46,63,109,72,163,174,192,171,231
Tax %,20%,24%,15%,101%,35%,23%,23%,34%,27%,26%,27%,25%,27%
Net Profit +,-11,23,49,-10,24,48,83,57,123,137,143,140,172
EPS in Rs,-0.44,0.89,1.91,-0.38,0.80,1.59,2.73,1.86,4.06,4.52,4.70,4.61,5.65
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,858,642,835,"1,055","1,060",609,685,808,"1,201","2,442","4,751"
Expenses +,734,556,741,943,903,505,625,730,"1,065","1,972","3,838"
Operating Profit,124,87,94,113,157,103,60,79,136,470,913
OPM %,14%,13%,11%,11%,15%,17%,9%,10%,11%,19%,19%
Other Income +,28,30,54,10,14,44,59,14,80,88,70
Interest,29,25,23,34,33,24,26,29,58,116,161
Depreciation,14,15,17,19,22,22,20,19,21,35,55
Profit before tax,109,77,108,70,117,101,73,45,137,407,768
Tax %,19%,16%,22%,29%,37%,31%,20%,34%,26%,26%,26%
Net Profit +,89,65,85,48,73,69,57,29,87,311,592
EPS in Rs,3.47,2.51,3.29,1.86,2.82,2.67,2.23,1.12,2.85,10.25,19.47
Dividend Payout %,6%,16%,11%,28%,3%,17%,10%,60%,19%,22%,0%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,23,23,23,23,23,23,23,23,28,28,28
Reserves,591,647,724,761,815,882,934,957,"1,543","1,840","2,190"
Borrowings +,233,221,240,276,257,207,271,347,588,"1,366","2,302"
Other Liabilities +,171,156,334,316,297,254,284,334,608,"1,112","1,823"
Total Liabilities,"1,018","1,047","1,320","1,376","1,392","1,366","1,512","1,662","2,767","4,346","6,343"
Fixed Assets +,138,164,167,178,173,163,156,157,193,285,487
CWIP,2,0,2,2,1,0,2,7,15,41,64
Investments,101,204,234,242,207,259,314,340,209,209,169
Other Assets +,776,679,918,955,"1,011",944,"1,041","1,159","2,350","3,812","5,623"
Total Assets,"1,018","1,047","1,320","1,376","1,392","1,366","1,512","1,662","2,767","4,346","6,343"

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,89,157,6,50,134,108,28,86,-152,-443,-203
Cash from Investing Activity +,79,-115,-5,-49,-13,-39,-108,-79,-431,-142,-466
Cash from Financing Activity +,-82,-74,-23,-22,-83,-53,-15,86,523,350,205
Net Cash Flow,85,-33,-22,-20,38,16,-95,93,-60,-235,-465
Free Cash Flow,87,122,-20,21,113,96,13,62,-224,-556,-484
CFO/OP,90%,201%,20%,67%,98%,119%,64%,129%,-91%,-82%,-3%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,176,188,222,198,217,339,297,213,176,204,115
Inventory Days,76,103,124,105,83,185,185,201,246,223,170
Days Payable,71,84,159,120,110,173,161,115,178,152,97
Cash Conversion Cycle,181,207,188,184,190,351,320,299,244,275,188
Working Capital Days,74,71,98,98,117,222,178,129,108,114,114
ROCE %,,12%,14%,10%,14%,11%,8%,6%,11%,19%,24%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,50.42%,50.30%,50.27%,42.66%,42.66%,39.33%,39.39%,39.38%,39.38%,39.36%,39.34%,39.34%
FIIs +,2.67%,2.50%,2.05%,16.87%,17.91%,22.49%,22.79%,22.38%,20.43%,18.75%,18.74%,18.89%
DIIs +,5.34%,5.44%,5.66%,5.01%,4.81%,3.54%,3.57%,3.78%,3.67%,3.35%,3.21%,3.34%
Public +,41.56%,41.77%,42.00%,35.46%,34.62%,34.62%,34.27%,34.45%,36.52%,38.53%,38.71%,38.37%
