--- ABOUT ---
"Incorporated in 1986, Premco Global Ltd manufactures Knitted & Narrow woven Elastics [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
124,374,685,18.3

Book Value,Dividend Yield,ROCE,ROE
304,1.60,8.99,6.52

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,25.99,24.64,24.01,21.84,27.40,27.21,25.97,27.95,28.34,29.68,25.71,16.87,21.41
Expenses +,20.59,20.53,20.68,19.24,22.66,23.07,23.04,24.25,23.57,23.79,22.78,16.72,21.04
Operating Profit,5.40,4.11,3.33,2.60,4.74,4.14,2.93,3.70,4.77,5.89,2.93,0.15,0.37
OPM %,20.78%,16.68%,13.87%,11.90%,17.30%,15.21%,11.28%,13.24%,16.83%,19.85%,11.40%,0.89%,1.73%
Other Income +,-0.94,1.51,1.32,1.54,1.15,1.29,1.35,0.38,0.81,0.82,0.53,4.84,-0.23
Interest,0.58,0.56,0.63,0.44,0.66,0.56,0.56,0.64,0.71,0.61,0.66,0.55,0.59
Depreciation,1.43,1.29,1.31,1.30,1.25,1.35,1.49,1.49,1.60,1.41,1.42,1.50,1.32
Profit before tax,2.45,3.77,2.71,2.40,3.98,3.52,2.23,1.95,3.27,4.69,1.38,2.94,-1.77
Tax %,35.10%,18.57%,21.77%,12.08%,26.38%,15.34%,19.73%,1.03%,14.68%,23.03%,-23.91%,42.18%,-40.68%
Net Profit +,1.59,3.06,2.13,2.11,2.93,2.99,1.79,1.94,2.79,3.62,1.71,1.70,-1.05
EPS in Rs,5.57,9.26,6.45,6.38,8.87,9.05,5.42,5.87,8.44,10.95,5.17,5.14,-3.18
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,73.53,74.34,78.39,70.09,76.32,99.54,128.23,93.34,97.88,109.48,93.68
Expenses +,53.41,57.23,70.44,64.11,68.11,77.28,101.97,79.46,83.11,93.96,84.34
Operating Profit,20.12,17.11,7.95,5.98,8.21,22.26,26.26,13.88,14.77,15.52,9.34
OPM %,27.36%,23.02%,10.14%,8.53%,10.76%,22.36%,20.48%,14.87%,15.09%,14.18%,9.97%
Other Income +,2.59,3.17,2.97,0.98,3.75,1.80,3.85,4.53,5.53,3.84,5.96
Interest,1.03,1.50,1.00,1.50,2.23,1.67,1.96,1.93,2.29,2.46,2.41
Depreciation,2.21,2.95,2.74,2.72,4.62,4.58,4.74,5.46,5.15,5.92,5.64
Profit before tax,19.47,15.83,7.18,2.74,5.11,17.81,23.41,11.02,12.86,10.98,7.25
Tax %,35.18%,36.96%,24.51%,-13.14%,-10.96%,11.79%,24.13%,14.43%,20.37%,13.48%,17.38%
Net Profit +,12.62,9.98,5.40,3.10,5.67,15.73,17.76,9.44,10.24,9.51,5.99
EPS in Rs,38.19,30.99,15.92,7.90,13.89,42.09,50.08,28.53,30.99,28.78,18.13
Dividend Payout %,7.84%,9.67%,18.82%,25.29%,14.38%,18.98%,29.91%,52.49%,32.23%,156.15%,11.02%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30
Reserves,47.47,57.54,61.62,65.32,68.94,81.51,93.54,105.37,109.55,103.83,97.15
Borrowings +,4.24,11.86,4.56,3.11,7.26,13.51,9.07,11.95,6.27,10.47,17.88
Other Liabilities +,8.25,12.22,12.19,10.48,20.84,16.88,18.91,9.77,10.97,11.72,11.58
Total Liabilities,63.26,84.92,81.67,82.21,100.34,115.20,124.82,130.39,130.09,129.32,129.91
Fixed Assets +,9.71,16.59,16.97,16.66,24.13,22.04,23.51,29.89,26.00,34.34,42.97
CWIP,4.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.57,0.40,0.00
Investments,18.60,24.98,20.53,12.09,22.40,27.06,24.16,27.70,18.58,17.27,14.81
Other Assets +,30.70,43.35,44.17,53.46,53.81,66.10,77.15,72.80,79.94,77.31,72.13
Total Assets,63.26,84.92,81.67,82.21,100.34,115.20,124.82,130.39,130.09,129.32,129.91

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,15.62,4.03,3.12,-2.13,31.97,6.41,24.59,18.67,10.81,5.45,18.66
Cash from Investing Activity +,-13.94,-7.33,3.24,6.99,-20.73,-4.31,-0.57,-13.04,6.79,-4.56,6.47
Cash from Financing Activity +,-1.12,4.85,-9.58,-3.14,1.33,-1.66,-12.35,-4.74,-12.26,-13.14,-20.87
Net Cash Flow,0.56,1.56,-3.23,1.72,12.56,0.44,11.66,0.89,5.34,-12.26,4.27
Free Cash Flow,9.52,-1.47,0.03,-4.47,20.23,3.89,18.65,7.23,3.84,-3.61,20.93
CFO/OP,115%,55%,69%,-32%,396%,33%,114%,153%,86%,49%,215%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,45.37,60.88,84.84,98.53,35.06,59.26,44.63,42.82,26.10,36.74,33.51
Inventory Days,181.34,294.20,155.04,276.70,229.93,201.92,137.48,206.26,223.25,194.36,197.92
Days Payable,31.66,52.74,41.23,39.61,43.85,38.24,33.60,31.84,40.84,45.35,43.08
Cash Conversion Cycle,195.05,302.34,198.65,335.62,221.14,222.93,148.51,217.24,208.51,185.75,188.35
Working Capital Days,88.81,95.40,142.06,217.52,101.87,119.25,96.04,104.84,117.50,106.39,114.55
ROCE %,,22.62%,8.91%,6.14%,8.89%,20.15%,22.17%,9.23%,10.01%,10.07%,8.99%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,66.98%,66.98%,66.98%,66.98%,66.98%,66.98%,66.98%,66.98%,66.98%,66.98%,66.98%,66.98%
Public +,33.00%,33.01%,33.01%,33.03%,33.02%,33.02%,33.02%,33.02%,33.02%,33.01%,33.02%,33.04%
No. of Shareholders,"2,307","2,604","2,591","2,723","2,574","2,517","4,599","4,314","4,137","4,091","5,978","5,881"

--- CAGR BOXES ---




