--- ABOUT ---
"Incorporated in 2011, Aavas Financiers Ltd provides housing loans & advances [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"11,670","1,472","2,153",23.8

Book Value,Dividend Yield,ROCE,ROE
477,0.00,9.91,13.9

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024
Revenue +,289,272,325,343,365,353,395,411,450,467,497,508,546
Interest,115,113,116,125,124,135,141,150,165,187,204,217,222
Expenses +,76,80,86,97,89,98,110,117,118,132,129,134,139
Financing Profit,98,79,123,120,153,121,144,144,167,148,164,157,186
Financing Margin %,34%,29%,38%,35%,42%,34%,37%,35%,37%,32%,33%,31%,34%
Other Income +,2,0,1,0,0,0,0,1,1,0,1,1,1
Depreciation,5,5,6,6,7,6,7,7,9,7,8,9,9
Profit before tax,95,74,118,115,146,114,138,138,159,141,157,150,177
Tax %,8%,20%,22%,23%,21%,22%,22%,22%,20%,22%,23%,22%,20%
Net Profit +,87,59,92,89,115,89,107,107,127,110,122,117,142
EPS in Rs,11.14,7.52,11.65,11.25,14.63,11.28,13.49,13.55,16.04,13.89,15.38,14.75,18.00
Gross NPA %,,,,,,,,,,1.00%,,,0.94%
Net NPA %,,,,,,,,,,0.73%,,,0.67%
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Revenue +,494,710,903,"1,103","1,304","1,609","2,018"
Interest,193,255,356,458,478,591,828
Expenses +,162,188,226,274,352,442,534
Financing Profit,139,267,321,371,475,575,655
Financing Margin %,28%,38%,36%,34%,36%,36%,32%
Other Income +,1,1,1,2,1,2,3
Depreciation,6,10,20,21,24,29,33
Profit before tax,134,258,302,353,453,548,625
Tax %,31%,32%,18%,18%,22%,22%,22%
Net Profit +,93,176,249,289,355,430,491
EPS in Rs,13.45,22.54,31.80,36.80,45.00,54.35,62.00
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Equity Capital,69,78,78,78,79,79,79
Reserves,"1,121","1,759","2,020","2,322","2,728","3,191","3,694"
Borrowing,"2,755","3,653","5,382","6,378","8,012","9,887","12,398"
Other Liabilities +,95,137,177,181,199,253,348
Total Liabilities,"4,040","5,627","7,657","8,959","11,017","13,410","16,519"
Fixed Assets +,18,23,60,58,66,78,116
CWIP,0,0,1,0,2,20,11
Investments,0,0,0,0,53,111,182
Other Assets +,"4,022","5,604","7,596","8,901","10,897","13,200","16,210"
Total Assets,"4,040","5,627","7,657","8,959","11,017","13,410","16,519"

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity +,-933,"-1,276","-1,172","-1,071","-1,135","-1,924","-1,987"
Cash from Investing Activity +,-218,-327,-342,-265,-463,196,-648
Cash from Financing Activity +,"1,240","1,404","1,705","1,008","1,623","1,858","2,477"
Net Cash Flow,90,-198,191,-328,26,130,-157
Free Cash Flow,-947,"-1,290","-1,192","-1,079","-1,150","-1,963","-2,018"
CFO/OP,-268%,-231%,-164%,-123%,-111%,-157%,-125%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
ROE %,8%,12%,13%,13%,14%,14%,14%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,39.13%,39.11%,39.10%,26.47%,26.47%,26.47%,26.47%,26.47%,48.96%,48.96%,48.95%,48.88%
FIIs +,35.01%,35.49%,32.32%,34.80%,35.88%,35.50%,33.97%,29.67%,29.77%,25.88%,24.72%,16.74%
DIIs +,14.34%,14.13%,15.29%,23.99%,24.39%,25.55%,25.69%,10.75%,11.52%,14.13%,14.30%,22.14%
Public +,11.51%,11.24%,13.29%,14.76%,13.26%,12.49%,13.87%,33.11%,9.75%,11.02%,12.04%,12.24%
No. of Shareholders,"94,788","1,07,718","1,32,644","1,51,680","1,44,395","1,44,452","1,47,894","1,32,792","1,21,862","1,22,052","1,20,695","1,17,980"

--- CAGR BOXES ---




