--- ABOUT ---
"Krishna Medical Institution Ltd (KIMS) was Incorporated in the year 1973 and is one of the largest corporate healthcare groups in Andhra Pradesh and Telangana in terms of patients treated and treatments offered. The company offers multidisciplinary healthcare services with primary, secondary, and tertiary care across 2-3 tier cities and an additional quaternary healthcare facility in tier-1 cities."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"32,181",804,818,130

Book Value,Dividend Yield,ROCE,ROE
56.2,0.00,9.29,11.3

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,576,606,652,606,634,688,777,772,797,872,961,998,"1,075"
Expenses +,413,449,475,459,475,509,559,585,599,679,757,799,868
Operating Profit,163,157,177,147,159,179,218,187,198,193,204,199,206
OPM %,28%,26%,27%,24%,25%,26%,28%,24%,25%,22%,21%,20%,19%
Other Income +,5,3,3,3,4,5,5,18,15,7,4,5,1
Interest,5,9,9,12,16,18,20,26,27,33,45,57,68
Depreciation,35,32,33,35,46,39,41,45,53,53,66,79,85
Profit before tax,127,119,139,102,100,127,162,135,134,114,97,69,55
Tax %,22%,27%,27%,25%,28%,25%,26%,31%,21%,25%,26%,24%,40%
Net Profit +,99,87,101,77,72,95,121,92,106,85,72,52,33
EPS in Rs,2.33,2.02,2.30,1.80,1.64,2.16,2.68,2.22,2.54,1.96,1.67,1.33,1.06
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,512,567,664,918,"1,123","1,330","1,651","2,198","2,498","3,035","3,905"
Expenses +,403,450,593,833,872,953,"1,126","1,587","1,850","2,242","3,103"
Operating Profit,109,118,71,85,251,377,524,611,648,793,802
OPM %,21%,21%,11%,9%,22%,28%,32%,28%,26%,26%,21%
Other Income +,5,3,37,6,5,9,27,41,13,43,18
Interest,37,32,88,49,44,37,22,37,55,100,202
Depreciation,36,35,40,56,71,70,73,129,147,177,283
Profit before tax,41,53,-20,-15,141,279,457,485,460,558,334
Tax %,32%,37%,126%,223%,18%,26%,25%,25%,27%,26%,28%
Net Profit +,28,33,-46,-49,115,205,344,366,336,415,242
EPS in Rs,0.76,0.91,-1.32,-1.28,3.20,5.19,8.32,8.41,7.75,9.61,6.03
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,70,72,50,74,74,78,80,80,80,80,80
Reserves,193,255,-209,466,524,786,"1,307","1,590","1,748","2,058","2,167"
Borrowings +,256,280,753,336,369,316,257,678,"1,355","2,557","4,253"
Other Liabilities +,146,167,359,237,228,253,260,553,636,995,"1,258"
Total Liabilities,665,774,954,"1,114","1,194","1,433","1,904","2,901","3,820","5,689","7,759"
Fixed Assets +,515,518,755,863,916,931,"1,005","1,766","2,434","3,348","5,710"
CWIP,2,64,0,0,2,9,21,477,600,"1,214",606
Investments,11,14,0,0,0,0,332,68,157,99,103
Other Assets +,137,177,199,250,276,493,546,590,629,"1,028","1,339"
Total Assets,665,774,954,"1,114","1,194","1,433","1,904","2,901","3,820","5,689","7,759"

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,95,82,106,134,202,356,324,432,521,582,511
Cash from Investing Activity +,-41,-100,-64,-110,-125,-354,-412,-416,-753,"-1,116","-1,452"
Cash from Financing Activity +,-65,24,-39,-27,-44,10,61,20,217,543,940
Net Cash Flow,-11,5,3,-3,32,12,-26,36,-15,9,-1
Free Cash Flow,61,-18,49,57,150,262,154,-140,-125,-380,-902
CFO/OP,88%,80%,192%,195%,102%,104%,86%,87%,102%,91%,83%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,47,59,59,49,43,30,28,42,43,48,52
Inventory Days,36,43,46,47,44,30,37,,,,44
Days Payable,194,207,215,181,177,167,133,,,,146
Cash Conversion Cycle,-111,-105,-110,-85,-91,-106,-67,42,43,48,-50
Working Capital Days,11,26,-333,-15,-15,-31,-3,8,-5,-29,-35
ROCE %,,15%,11%,5%,20%,29%,34%,24%,17%,15%,9%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,38.85%,38.85%,38.82%,38.82%,38.82%,38.82%,38.82%,38.82%,34.11%,34.11%,34.11%,34.11%
FIIs +,13.15%,14.24%,15.27%,16.73%,17.84%,15.85%,15.68%,15.44%,15.54%,15.03%,14.33%,14.57%
DIIs +,35.77%,34.80%,34.24%,33.13%,32.12%,32.29%,32.05%,31.95%,31.65%,32.12%,32.72%,32.50%
Public +,12.23%,12.10%,11.67%,11.32%,11.22%,13.03%,13.45%,13.78%,18.68%,18.74%,18.85%,18.82%
No. of Shareholders,"65,449","66,957","71,014","69,092","69,063","77,617","95,468","1,01,895","1,08,955","1,04,872","1,01,599","93,333"

--- CAGR BOXES ---




