--- ABOUT ---
"Bajaj Electricals Limited is a part of the Bajaj Group of companies and is a leading FMEG company spread across  Consumer Products - Appliances, Fans, Lighting, Exports, and EPC - Illumination, Transmission Towers and Power Distribution. It also has its presence in premium home appliances and cookware segments with brands like Morphy Richards and Nirlep. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,758",326,711,

Book Value,Dividend Yield,ROCE,ROE
138,0.92,3.14,-1.09

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,292","1,112","1,113","1,228","1,188","1,155","1,118","1,290","1,265","1,065","1,107","1,051","1,240"
Expenses +,"1,197","1,045","1,038","1,171","1,138","1,080","1,067","1,202","1,172","1,032","1,050","1,043","1,200"
Operating Profit,95,68,75,58,50,75,52,87,93,33,57,8,40
OPM %,7%,6%,7%,5%,4%,7%,5%,7%,7%,3%,5%,1%,3%
Other Income +,20,20,6,43,22,11,15,13,38,24,8,-14,-46
Interest,12,12,14,20,18,16,17,19,18,18,13,13,13
Depreciation,22,23,27,30,30,32,35,36,41,37,37,35,33
Profit before tax,80,53,41,50,24,38,15,45,71,2,16,-54,-52
Tax %,35%,29%,33%,26%,-20%,27%,12%,27%,17%,40%,36%,-37%,30%
Net Profit +,52,37,27,37,29,28,13,33,59,1,10,-34,-68
EPS in Rs,4.52,3.23,2.37,3.25,2.54,2.44,1.12,2.89,5.12,0.08,0.85,-2.96,-5.85
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"4,590","4,254","4,697","6,662","4,985","4,584","4,811","4,889","4,639","4,826","4,462"
Expenses +,"4,326","4,011","4,414","6,325","4,780","4,281","4,560","4,515","4,379","4,519","4,324"
Operating Profit,264,243,283,338,205,303,250,375,260,307,138
OPM %,6%,6%,6%,5%,4%,7%,5%,8%,6%,6%,3%
Other Income +,46,30,-26,65,46,95,55,46,82,76,-29
Interest,108,80,59,118,171,76,70,44,63,70,56
Depreciation,27,30,34,44,74,75,69,74,110,144,142
Profit before tax,174,163,164,241,7,246,166,303,168,170,-89
Tax %,38%,37%,49%,36%,244%,23%,25%,29%,22%,21%,2%
Net Profit +,108,102,84,154,-10,189,124,216,131,133,-91
EPS in Rs,9.62,9.08,7.39,13.76,-0.82,16.64,11.19,18.78,11.38,11.57,-7.87
Dividend Payout %,26%,28%,43%,23%,0%,0%,27%,21%,26%,26%,-38%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,20,20,20,20,23,23,23,23,23,23,23
Reserves,734,843,916,"1,035","1,326","1,555","1,709","1,884","1,418","1,702","1,571"
Borrowings +,899,647,723,"1,590","1,084",548,91,101,215,243,159
Other Liabilities +,"1,305","1,569","1,806","2,533","2,135","2,142","2,169","2,985","2,177","2,251","2,507"
Total Liabilities,"2,957","3,078","3,466","5,179","4,567","4,268","3,992","4,993","3,833","4,219","4,260"
Fixed Assets +,276,310,316,393,469,531,754,770,916,950,909
CWIP,21,8,6,9,11,18,44,42,63,13,1
Investments,77,72,8,11,13,5,5,47,35,233,402
Other Assets +,"2,583","2,688","3,136","4,766","4,075","3,714","3,189","4,134","2,819","3,023","2,948"
