--- ABOUT ---
"Incorporated in 1972, Western Carriers (India) Ltd provides end-to-end supply chain management [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,045",102,147,26.9

Book Value,Dividend Yield,ROCE,ROE
85.0,0.00,6.79,4.58

Face Value
5.00

--- QUARTERLY RESULTS ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,401.57,425.85,456.71,401.64,422.71,431.43,443.00,428.58,415.82,439.62,478.09,495.72
Expenses +,370.26,392.29,419.36,357.81,387.25,395.29,419.61,403.63,395.02,420.79,454.17,474.29
Operating Profit,31.31,33.56,37.35,43.83,35.46,36.14,23.39,24.95,20.80,18.83,23.92,21.43
OPM %,7.80%,7.88%,8.18%,10.91%,8.39%,8.38%,5.28%,5.82%,5.00%,4.28%,5.00%,4.32%
Other Income +,1.27,1.13,1.86,1.51,1.38,1.88,5.11,4.85,4.17,4.36,2.76,3.26
Interest,4.46,4.76,6.21,6.75,6.08,6.72,4.51,4.21,4.53,4.53,4.14,5.25
Depreciation,4.80,5.03,5.59,5.82,5.23,5.77,6.18,6.62,5.74,6.50,7.89,8.19
Profit before tax,23.32,24.90,27.41,32.77,25.53,25.53,17.81,18.97,14.70,12.16,14.65,11.25
Tax %,25.17%,26.55%,25.61%,26.15%,25.97%,25.77%,25.88%,25.78%,26.60%,26.48%,26.08%,26.58%
Net Profit +,17.46,18.30,20.39,24.20,18.90,18.96,13.20,14.08,10.79,8.95,10.83,8.26
EPS in Rs,2.22,2.33,2.59,3.07,2.40,1.86,1.29,1.38,1.06,0.88,1.06,0.81
Raw PDF,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,067","1,110","1,471","1,633","1,686","1,726","1,829"
Expenses +,994,"1,029","1,367","1,511","1,540","1,605","1,744"
Operating Profit,73,81,104,122,146,121,85
OPM %,7%,7%,7%,7%,9%,7%,5%
Other Income +,6,4,5,5,6,13,15
Interest,14,13,14,16,22,22,18
Depreciation,14,12,12,15,21,24,28
Profit before tax,52,60,83,96,108,88,53
Tax %,31%,26%,27%,26%,26%,26%,26%
Net Profit +,36,45,61,72,80,65,39
EPS in Rs,9.11,11.32,15.54,9.09,10.21,6.39,3.81
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,39,39,39,39,39,51,51
Reserves,112,157,218,279,359,777,816
Borrowings +,102,141,150,215,269,176,226
Other Liabilities +,105,88,83,70,86,100,113
Total Liabilities,359,425,490,604,754,"1,104","1,205"
Fixed Assets +,73,73,74,91,105,154,206
CWIP,0,1,9,17,0,15,31
Investments,3,3,1,4,3,3,3
Other Assets +,283,349,406,492,646,932,965
Total Assets,359,425,490,604,754,"1,104","1,205"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,81,-26,5,2,1,-3,-22
Cash from Investing Activity +,-24,-2,-3,-36,-40,-241,2
Cash from Financing Activity +,-54,26,-3,33,40,247,25
Net Cash Flow,3,-3,-1,-1,0,3,4
Free Cash Flow,71,-38,-10,-40,-35,-90,-102
CFO/OP,122%,-15%,30%,28%,15%,21%,17%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,64,83,77,87,114,131,139
Inventory Days,,,0,,,,
Days Payable,,,,,,,
Cash Conversion Cycle,64,83,77,87,114,131,139
Working Capital Days,21,39,38,45,58,96,94
ROCE %,,25%,26%,24%,22%,13%,7%

--- SHAREHOLDING PATTERN ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,71.89%,71.89%,71.89%,71.89%,72.56%,72.86%,72.97%
FIIs +,4.22%,1.40%,0.29%,0.30%,0.61%,0.25%,0.04%
DIIs +,9.14%,9.45%,8.53%,7.39%,5.78%,4.75%,4.75%
Public +,14.75%,17.25%,19.27%,20.41%,21.04%,22.14%,22.24%
No. of Shareholders,"1,13,812","1,09,023","1,07,207","1,03,527","92,746","86,711","82,520"

--- CAGR BOXES ---




