--- ABOUT ---
"Incorporated in 1985, Gujarat Industries is a Public Limited company of the Government of Gujarat. The company is engaged in the business of Electrical Power Generation with a present installed generation capacity of 1184.40MW. The Company has a diversified portfolio of Thermal (Gas and Lignite), Wind, and Solar Power Plant Assets in the State of Gujarat. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,504",161,224,7.12

Book Value,Dividend Yield,ROCE,ROE
170,2.53,16.2,14.2

Face Value
10.0

--- QUARTERLY RESULTS ---
""
Sales +
Expenses +
Operating Profit
OPM %
Other Income +
Interest
Depreciation
Profit before tax
Tax %
Net Profit +
EPS in Rs
Raw PDF

--- ANNUAL RESULTS ---
,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Sales +,"1,416","1,377","1,215","1,352","1,311","1,354","1,407"
Expenses +,874,906,793,946,878,871,859
Operating Profit,542,470,422,407,432,483,548
OPM %,38%,34%,35%,30%,33%,36%,39%
Other Income +,74,31,25,36,69,51,-23
Interest,105,88,78,76,73,57,50
Depreciation,158,156,120,118,127,160,168
Profit before tax,353,257,248,250,301,318,307
Tax %,38%,28%,49%,25%,24%,23%,17%
Net Profit +,219,186,126,188,229,166,255
EPS in Rs,14.47,12.30,8.35,12.45,15.16,10.98,16.84
Dividend Payout %,17%,20%,30%,22%,18%,25%,17%

--- BALANCE SHEET ---
,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Equity Capital,151,151,151,151,151,151,151
Reserves,"1,463","1,605","1,685","1,882","2,085","2,229","2,419"
Borrowings +,855,716,606,475,417,617,573
Other Liabilities +,478,521,559,639,761,710,688
Total Liabilities,"2,947","2,992","3,002","3,148","3,414","3,707","3,831"
Fixed Assets +,"2,133","1,991","1,890","1,977","2,522","2,680","2,632"
CWIP,83,87,99,35,24,6,167
Investments,69,160,207,250,280,249,90
Other Assets +,662,755,806,886,588,773,942
Total Assets,"2,947","2,992","3,002","3,148","3,414","3,707","3,831"

--- CASH FLOW ---
,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Cash from Operating Activity +,407,398,342,232,433,331,582
Cash from Investing Activity +,55,-86,-61,-178,-459,-383,-231
Cash from Financing Activity +,-237,-272,-230,-228,-161,103,-142
Net Cash Flow,225,40,50,-174,-187,51,208
Free Cash Flow,402,382,239,46,-44,-47,329
CFO/OP,87%,94%,97%,70%,112%,84%,115%

--- RATIOS ---
,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Debtor Days,44,59,39,72,69,70,56
Inventory Days,,,,,,,
Days Payable,,,,,,,
Cash Conversion Cycle,44,59,39,72,69,70,56
Working Capital Days,-52,-35,-40,8,-23,-12,-8
ROCE %,,14%,14%,13%,15%,13%,16%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,55.69%,55.69%,55.43%,55.43%,55.43%,55.43%,55.43%,56.57%,56.57%,56.57%,56.57%,56.57%
FIIs +,4.42%,3.88%,3.86%,4.97%,4.67%,4.49%,4.78%,4.21%,4.04%,3.69%,2.63%,2.74%
DIIs +,5.99%,5.99%,5.97%,5.91%,5.86%,6.27%,6.04%,5.68%,5.60%,5.16%,4.96%,5.07%
Government +,7.64%,7.64%,7.64%,7.64%,7.64%,7.64%,7.64%,7.45%,7.45%,7.45%,7.45%,7.45%
Public +,26.26%,26.80%,27.11%,26.07%,26.40%,26.16%,26.11%,26.10%,26.35%,27.14%,28.39%,28.17%
No. of Shareholders,"67,858","74,802","82,412","99,346","97,729","96,409","91,133","93,480","92,374","93,707","93,141","91,261"

--- CAGR BOXES ---




