--- ABOUT ---
"Established in 1832, P. N. G Jewellers Ltd is in the retail business of gold, silver, and diamond jewellery [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"7,502",553,736 / 503,18.2

Book Value,Dividend Yield,ROCE,ROE
145,0.00,20.9,23.4

Face Value
10.0

--- QUARTERLY RESULTS ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,257","1,372","1,972","1,512","1,668","2,001","2,436","1,588","1,715","2,178","3,303","3,544"
Expenses +,"1,212","1,326","1,880","1,423","1,604","1,947","2,313","1,494","1,605","2,070","3,058","3,409"
Operating Profit,45,45,92,89,64,54,123,94,110,107,244,135
OPM %,4%,3%,5%,6%,4%,3%,5%,6%,6%,5%,7%,4%
Other Income +,1,2,2,2,2,12,7,15,13,36,24,31
Interest,10,11,11,12,12,13,6,11,19,20,25,28
Depreciation,6,6,6,5,6,7,8,13,11,14,15,17
Profit before tax,30,30,77,73,48,46,115,85,93,109,228,122
Tax %,27%,28%,26%,25%,26%,24%,25%,27%,25%,27%,25%,26%
Net Profit +,22,22,58,55,35,35,86,62,69,79,171,90
EPS in Rs,4.01,3.98,10.43,4.66,2.99,2.57,6.34,4.57,5.11,5.84,12.59,6.65
Raw PDF,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,458","1,902","2,539","4,488","6,061","7,586","10,739"
Expenses +,"2,355","1,844","2,428","4,366","5,790","7,249","10,123"
Operating Profit,103,57,111,123,271,337,616
OPM %,4%,3%,4%,3%,4%,4%,6%
Other Income +,17,14,31,52,7,34,85
Interest,43,38,35,35,46,43,92
Depreciation,27,27,22,22,23,35,57
Profit before tax,50,7,85,118,209,293,552
Tax %,46%,201%,18%,21%,26%,26%,26%
Net Profit +,27,-7,70,94,155,218,410
EPS in Rs,4.88,0.19,10.43,13.46,13.15,16.08,30.20
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,55,55,55,55,118,136,136
Reserves,132,135,191,256,416,"1,418","1,827"
Borrowings +,443,402,398,387,455,930,"1,737"
Other Liabilities +,563,422,465,365,475,660,"1,264"
Total Liabilities,"1,192","1,014","1,110","1,063","1,465","3,144","4,964"
Fixed Assets +,184,242,234,208,242,322,410
CWIP,56,4,4,4,4,4,-0
Investments,1,1,1,1,1,9,8
Other Assets +,951,768,872,850,"1,218","2,811","4,546"
Total Assets,"1,192","1,014","1,110","1,063","1,465","3,144","4,964"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,68,147,73,107,6,-675,-717
Cash from Investing Activity +,3,-26,-22,-47,-49,-424,-54
Cash from Financing Activity +,-93,-128,-46,-55,51,"1,167",719
Net Cash Flow,-22,-7,5,5,9,68,-52
Free Cash Flow,52,114,68,60,-46,"-1,109",-782
CFO/OP,80%,244%,74%,117%,16%,-176%,-95%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,9,6,4,3,2,2,2
Inventory Days,126,133,111,53,62,104,141
Days Payable,18,15,27,12,10,13,22
Cash Conversion Cycle,117,124,89,44,55,94,121
Working Capital Days,-3,4,16,20,21,32,34
ROCE %,,8%,21%,23%,30%,19%,21%

--- SHAREHOLDING PATTERN ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,83.11%,83.11%,83.11%,83.11%,83.11%,83.11%,83.11%
FIIs +,3.80%,1.93%,0.65%,0.64%,0.91%,0.75%,0.73%
DIIs +,5.80%,5.34%,5.49%,5.34%,4.99%,4.80%,4.72%
Public +,7.29%,9.60%,10.75%,10.92%,10.98%,11.33%,11.45%
No. of Shareholders,"1,68,356","1,88,567","2,01,809","1,93,383","1,83,826","1,70,297","1,64,589"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,%
5 Years:,41%
3 Years:,34%
TTM:,42%

Compounded Profit Growth
10 Years:,%
5 Years:,273%
3 Years:,77%
TTM:,88%

Stock Price CAGR
10 Years:,%
5 Years:,%
3 Years:,%
1 Year:,-2%

Return on Equity
10 Years:,%
5 Years:,25%
3 Years:,24%
Last Year:,23%

