--- ABOUT ---
"Datamatics is a Digital Technologies, Digital Operations, and Digital Experiences company that enables enterprises to go Deep in Digital to boost their productivity, customer experience and competitive advantage. Datamatics enables enterprises to combine various relevant Digital Technologies to improve productivity and customer experience to build sustainable competitive advantage [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,737",802,"1,120",19.8

Book Value,Dividend Yield,ROCE,ROE
261,0.62,20.8,16.4

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,416,391,377,369,413,394,407,425,497,468,490,510,519
Expenses +,332,323,318,317,348,343,358,371,423,392,401,414,409
Operating Profit,84,68,59,53,65,51,49,55,75,76,89,96,111
OPM %,20%,17%,16%,14%,16%,13%,12%,13%,15%,16%,18%,19%,21%
Other Income +,5,9,9,11,16,11,14,46,8,12,16,-28,-9
Interest,0,1,0,1,0,0,0,2,7,5,4,5,5
Depreciation,9,9,9,9,9,9,9,10,20,20,20,22,23
Profit before tax,80,67,59,54,71,53,53,88,56,64,81,42,74
Tax %,27%,19%,16%,23%,27%,17%,20%,15%,19%,21%,21%,13%,39%
Net Profit +,58,55,49,41,52,44,42,75,45,50,63,36,45
EPS in Rs,10.13,9.34,8.35,7.00,8.90,7.37,7.18,12.57,7.59,8.52,10.70,6.16,7.48
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,828,816,852,910,"1,133","1,203","1,149","1,201","1,459","1,550","1,723","1,987"
Expenses +,742,737,769,827,998,"1,078","1,005","1,007","1,215","1,304","1,492","1,616"
Operating Profit,86,79,84,83,135,125,144,194,244,246,232,372
OPM %,10%,10%,10%,9%,12%,10%,12%,16%,17%,16%,13%,19%
Other Income +,6,14,15,27,12,5,10,35,39,45,78,-9
Interest,7,7,6,5,6,6,5,4,4,4,12,19
Depreciation,21,27,24,20,26,37,39,33,35,36,48,84
Profit before tax,64,58,69,84,115,88,109,192,243,251,249,260
Tax %,24%,24%,8%,15%,26%,30%,23%,19%,24%,21%,18%,25%
Net Profit +,49,45,64,72,84,62,84,155,185,197,206,195
EPS in Rs,7.33,7.60,11.06,10.87,12.64,10.81,13.53,26.71,32.05,33.59,34.69,32.86
Dividend Payout %,14%,10%,7%,7%,10%,0%,0%,14%,16%,15%,14%,15%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,29,29,29,29,29,29,29,29,29,30,30,30
Reserves,352,468,473,517,610,656,686,828,"1,020","1,200","1,335","1,514"
Borrowings +,169,90,55,66,36,118,20,63,21,17,190,221
Other Liabilities +,125,150,123,150,191,206,172,190,212,217,502,590
Total Liabilities,676,738,680,763,867,"1,010",908,"1,110","1,283","1,463","2,056","2,355"
Fixed Assets +,238,256,263,310,352,347,213,209,218,219,839,851
CWIP,11,2,1,5,1,1,0,3,0,0,0,9
Investments,84,130,72,33,57,36,157,273,354,546,355,639
Other Assets +,343,350,343,414,457,626,538,624,710,698,862,856
