--- ABOUT ---
"Wheels India is engaged in the Business of Manufacture of Road Wheels , Parts & Accessories for Machinery / Equipments used by construction and mining industries and Wind Turbine Parts. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,795","1,553","1,744",24.5

Book Value,Dividend Yield,ROCE,ROE
426,0.93,18.8,15.8

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,251","1,212","1,284","1,210","1,271","1,166","1,176","1,125","1,277","1,266","1,264","1,371","1,564"
Expenses +,"1,181","1,153","1,236","1,150","1,174","1,086","1,093","1,040","1,174","1,172","1,171","1,271","1,438"
Operating Profit,70,58,48,60,97,79,83,85,103,94,93,100,126
OPM %,6%,5%,4%,5%,8%,7%,7%,8%,8%,7%,7%,7%,8%
Other Income +,6,4,7,2,5,4,2,3,3,4,7,8,12
Interest,30,31,30,30,31,29,31,31,30,31,30,30,29
Depreciation,19,20,21,21,22,23,23,24,24,26,27,29,32
Profit before tax,26,11,3,11,50,31,32,33,52,41,42,49,77
Tax %,17%,21%,-12%,19%,24%,25%,25%,24%,25%,25%,25%,24%,24%
Net Profit +,21,9,3,9,38,24,24,25,39,31,32,37,59
EPS in Rs,9.28,4.07,1.78,4.14,15.76,9.66,9.82,10.25,15.65,12.23,12.68,14.76,23.78
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,987","2,173","2,563","3,441","2,672","2,413","3,966","4,640","4,977","4,744","5,465"
Expenses +,"1,815","1,987","2,364","3,196","2,500","2,270","3,712","4,420","4,711","4,392","5,052"
Operating Profit,172,186,199,245,172,143,255,221,266,352,413
OPM %,9%,9%,8%,7%,6%,6%,6%,5%,5%,7%,8%
Other Income +,2,4,23,8,8,2,16,26,16,11,31
Interest,58,48,45,66,67,59,71,106,122,122,120
Depreciation,60,64,70,79,78,86,101,74,85,93,115
Profit before tax,56,78,106,108,36,1,98,66,75,149,209
Tax %,29%,24%,29%,30%,-33%,85%,24%,22%,21%,25%,24%
Net Profit +,41,59,75,76,47,0,74,51,59,112,158
EPS in Rs,17.07,24.58,31.15,31.79,20.39,0.76,31.78,23.00,25.69,45.39,63.44
Dividend Payout %,26%,26%,24%,25%,28%,132%,26%,30%,29%,25%,23%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,12,12,12,24,24,24,24,24,24,24,24
Reserves,402,457,575,616,640,637,710,731,815,898,"1,017"
Borrowings +,386,369,359,495,650,698,876,819,778,737,768
Other Liabilities +,495,532,718,880,674,"1,118","1,364","1,474","1,487","1,530","1,717"
Total Liabilities,"1,295","1,369","1,663","2,015","1,987","2,476","2,974","3,048","3,104","3,188","3,527"
Fixed Assets +,518,526,557,710,753,883,903,"1,060","1,149","1,295","1,506"
CWIP,17,22,65,65,198,114,126,114,77,50,69
Investments,17,19,21,23,23,23,24,22,32,46,78
Other Assets +,743,802,"1,019","1,216","1,013","1,456","1,921","1,851","1,845","1,797","1,874"
Total Assets,"1,295","1,369","1,663","2,015","1,987","2,476","2,974","3,048","3,104","3,188","3,527"

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,148,155,131,184,184,148,28,370,329,400,477
Cash from Investing Activity +,-69,-75,-135,-230,-242,-118,-120,-152,-150,-213,-292
Cash from Financing Activity +,-82,-75,9,38,70,-31,84,-216,-146,-188,-175
Net Cash Flow,-2,5,5,-9,12,-0,-9,3,34,-0,11
Free Cash Flow,74,78,-64,-50,-60,29,-94,217,179,192,203
CFO/OP,92%,94%,81%,84%,114%,96%,22%,173%,134%,117%,124%

--- RATIOS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,64,73,69,62,65,112,82,60,53,62,55
Inventory Days,84,71,78,66,81,119,101,95,89,85,73
Days Payable,104,108,103,97,99,195,136,124,121,135,131
Cash Conversion Cycle,44,37,44,31,46,36,46,31,21,12,-3
Working Capital Days,15,10,17,9,2,5,-3,-13,-8,-11,-18
ROCE %,,15%,15%,16%,8%,4%,11%,11%,12%,16%,19%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,58.73%,58.31%,58.31%,58.31%,58.31%,58.31%,58.31%,58.31%,58.31%,58.31%,58.31%,58.31%
FIIs +,0.21%,0.26%,0.19%,0.29%,0.81%,0.42%,0.34%,0.38%,0.57%,1.08%,1.18%,1.15%
DIIs +,20.02%,18.81%,18.32%,13.13%,12.16%,11.99%,11.68%,11.68%,11.64%,10.68%,9.81%,9.64%
