--- ABOUT ---
"Infosys Ltd provides consulting, technology, outsourcing and next-generation digital services to enable clients to execute strategies for their digital transformation. [1] It is the 2nd largest Information Technology company in India behind TCS. [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,26,580","1,051","1,728",14.2

Book Value,Dividend Yield,ROCE,ROE
229,4.57,40.0,31.9

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"37,441","37,933","38,994","38,821","37,923","39,315","40,986","41,764","40,925","42,279","44,490","45,479","46,402"
Expenses +,"28,443","28,869","29,554","29,684","29,139","29,878","31,177","31,649","31,051","32,336","33,955","34,845","35,235"
Operating Profit,"8,998","9,064","9,440","9,137","8,784","9,437","9,809","10,115","9,874","9,943","10,535","10,634","11,167"
OPM %,24%,24%,24%,24%,23%,24%,24%,24%,24%,24%,24%,23%,24%
Other Income +,671,561,632,789,"2,729",838,712,859,"1,190","1,042",982,-150,"1,159"
Interest,82,90,138,131,110,105,108,101,102,105,106,100,105
Depreciation,"1,121","1,173","1,166","1,176","1,163","1,149","1,160","1,203","1,299","1,140","1,182","1,155","1,424"
Profit before tax,"8,466","8,362","8,768","8,619","10,240","9,021","9,253","9,670","9,663","9,740","10,229","9,229","10,797"
Tax %,28%,29%,29%,29%,22%,29%,30%,29%,27%,29%,28%,28%,21%
Net Profit +,"6,134","5,945","6,215","6,113","7,975","6,374","6,516","6,822","7,038","6,924","7,375","6,666","8,509"
EPS in Rs,14.77,14.32,14.97,14.71,19.20,15.34,15.67,16.39,16.93,16.66,17.73,16.41,20.96
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"53,319","62,441","68,484","70,522","82,675","90,791","100,472","121,641","146,767","153,670","162,990","178,650"
Expenses +,"38,436","45,362","49,880","51,700","62,505","68,524","72,583","90,150","111,637","117,245","123,754","136,370"
Operating Profit,"14,883","17,079","18,604","18,822","20,170","22,267","27,889","31,491","35,130","36,425","39,236","42,280"
OPM %,28%,27%,27%,27%,24%,25%,28%,26%,24%,24%,24%,24%
Other Income +,"3,430","3,120","3,050","3,311","2,882","2,803","2,201","2,295","2,701","4,711","3,600","3,033"
Interest,12,-0,-0,-0,-0,170,195,200,284,470,416,416
Depreciation,"1,017","1,459","1,703","1,863","2,011","2,893","3,267","3,476","4,225","4,678","4,812","4,902"
Profit before tax,"17,284","18,740","19,951","20,270","21,041","22,007","26,628","30,110","33,322","35,988","37,608","39,995"
Tax %,28%,28%,28%,21%,27%,24%,27%,26%,28%,27%,29%,26%
Net Profit +,"12,372","13,489","14,353","16,029","15,410","16,639","19,423","22,146","24,108","26,248","26,750","29,474"
EPS in Rs,26.93,29.36,31.24,36.69,35.26,38.96,45.42,52.56,58.08,63.20,64.32,72.59
Dividend Payout %,55%,41%,41%,59%,60%,45%,59%,59%,58%,73%,67%,66%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,572,"1,144","1,144","1,088","2,170","2,122","2,124","2,098","2,069","2,071","2,073","2,024"
Reserves,"50,164","60,600","67,838","63,835","62,778","63,328","74,227","73,252","73,338","86,045","93,745","90,828"
Borrowings +,-0,-0,-0,-0,-0,"4,633","5,325","5,474","8,299","8,359","8,227","9,176"
Other Liabilities +,"15,553","13,354","14,166","14,426","19,118","21,717","25,835","35,905","40,890","39,545","43,750","52,260"
Total Liabilities,"66,289","75,098","83,148","79,349","84,066","91,800","107,511","116,729","124,596","136,020","147,795","154,288"
Fixed Assets +,"11,346","13,386","14,179","12,574","15,710","23,789","25,505","25,800","29,225","27,622","30,961","33,770"
CWIP,776,960,"1,365","1,606","1,388",954,922,416,288,293,814,526
Investments,"2,270","1,892","16,423","12,163","11,261","8,792","14,205","20,324","19,478","24,623","23,541","21,880"
Other Assets +,"51,897","58,860","51,181","53,006","55,707","58,265","66,879","70,189","75,605","83,482","92,479","98,112"
Total Assets,"66,289","75,098","83,148","79,349","84,066","91,800","107,511","116,729","124,596","136,020","147,795","154,288"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,"8,353","10,028","11,531","13,218","14,841","17,003","23,224","23,885","22,467","25,210","35,694","33,986"
Cash from Investing Activity +,999,-885,"-14,664","4,533",-632,-331,"-7,373","-6,485","-1,071","-5,093","-1,864","3,546"
Cash from Financing Activity +,"-4,935","-6,813","-6,939","-20,505","-14,512","-17,591","-9,786","-24,642","-26,695","-17,504","-24,161","-39,786"
Net Cash Flow,"4,417","2,330","-10,072","-2,754",-303,-919,"6,065","-7,242","-5,299","2,613","9,669","-2,254"
Free Cash Flow,"6,106","7,305","8,771","11,220","12,396","13,696","21,117","21,724","19,888","23,009","33,457","31,259"
CFO/OP,101%,93%,92%,107%,107%,97%,106%,100%,89%,95%,105%,101%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,66,66,66,68,65,74,70,68,63,72,70,72
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,66,66,66,68,65,74,70,68,63,72,70,72
Working Capital Days,3,34,38,50,36,42,36,28,31,54,39,33
ROCE %,36%,33%,30%,30%,32%,32%,35%,37%,40%,40%,38%,40%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,14.94%,14.89%,14.78%,14.71%,14.61%,14.43%,14.43%,14.60%,14.61%,14.30%,14.52%,14.38%
FIIs +,33.44%,33.60%,33.70%,34.11%,32.74%,33.28%,33.30%,32.89%,31.92%,30.08%,30.27%,28.45%
DIIs +,34.58%,35.19%,35.51%,35.62%,37.28%,37.81%,38.19%,38.32%,39.39%,41.46%,41.08%,43.19%
Government +,0.20%,0.19%,0.20%,0.21%,0.21%,0.20%,0.20%,0.21%,0.21%,0.20%,0.20%,0.20%
Public +,16.52%,15.83%,15.52%,15.06%,14.91%,14.01%,13.62%,13.72%,13.62%,13.70%,13.69%,13.54%
Others +,0.32%,0.31%,0.30%,0.29%,0.27%,0.27%,0.27%,0.26%,0.25%,0.24%,0.24%,0.23%
