--- ABOUT ---
"Quess Corp Limited (Quess) is India’s leading business services provider, leveraging its extensive domain knowledge and future-ready digital platforms to drive client productivity through outsourced solutions. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,732",250,321 / 166,16.3

Book Value,Dividend Yield,ROCE,ROE
78.1,4.00,23.0,20.4

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"4,440","4,600","4,748","4,842","3,537","3,587","3,705","4,019","3,656","3,651","3,832","3,930","3,892"
Expenses +,"4,288","4,446","4,585","4,656","3,477","3,524","3,636","3,957","3,589","3,582","3,755","3,850","3,806"
Operating Profit,152,154,164,186,60,63,69,62,67,70,77,80,86
OPM %,3%,3%,3%,4%,2%,2%,2%,2%,2%,2%,2%,2%,2%
Other Income +,4,4,14,-15,56,6,1,-1,-147,3,4,-5,7
Interest,31,27,28,40,8,11,10,9,9,10,13,13,14
Depreciation,76,69,70,72,15,11,10,10,10,10,10,11,11
Profit before tax,48,62,79,59,92,48,50,42,-99,52,57,51,69
Tax %,38%,23%,11%,-8%,-6%,-1%,-1%,1%,-4%,2%,10%,-8%,7%
Net Profit +,30,48,71,64,98,49,51,42,-95,51,52,55,64
EPS in Rs,2.23,3.23,4.83,4.30,6.36,3.30,3.40,2.80,-6.41,3.42,3.46,3.68,4.30
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015 15m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,567","3,435","4,315","6,167","8,527","10,991","10,837","13,692","17,158","19,100","14,967","15,305"
Expenses +,"2,436","3,284","4,075","5,805","8,068","10,341","10,387","13,067","16,570","18,400","14,704","14,993"
Operating Profit,131,151,240,362,459,650,449,624,589,700,263,312
OPM %,5%,4%,6%,6%,5%,6%,4%,5%,3%,4%,2%,2%
Other Income +,6,9,15,50,71,-617,78,27,80,0,-141,8
Interest,23,31,49,77,117,169,114,82,110,121,39,49
Depreciation,10,14,33,75,123,249,229,212,275,283,41,42
Profit before tax,104,115,172,261,289,-384,185,358,284,295,42,230
Tax %,36%,29%,29%,-18%,11%,12%,60%,30%,22%,5%,-10%,3%
Net Profit +,67,81,122,310,257,-432,74,251,223,280,46,222
EPS in Rs,26.05,7.17,9.61,21.37,17.57,-30.15,3.92,16.30,15.14,18.71,3.08,14.84
Dividend Payout %,0%,0%,0%,0%,0%,0%,179%,25%,53%,53%,325%,74%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,26,113,127,145,146,148,148,148,148,149,149,149
Reserves,226,243,"1,178","2,315","2,580","2,128","2,195","2,290","2,421","2,650",936,"1,017"
Borrowings +,224,393,779,"1,166",831,"1,473",791,915,"1,011",838,113,124
Other Liabilities +,244,500,780,"1,271","1,455","1,570","1,586","2,093","2,539","2,618","1,614","1,748"
Total Liabilities,719,"1,250","2,864","4,898","5,012","5,318","4,720","5,445","6,119","6,255","2,812","3,039"
Fixed Assets +,129,252,"1,172","1,632","1,656","1,487","1,505","1,657","1,796","1,695",341,388
CWIP,0,2,8,2,15,5,31,15,18,33,0,0
Investments,0,4,78,286,128,106,54,102,50,93,0,51
Other Assets +,590,992,"1,607","2,978","3,212","3,721","3,131","3,671","4,255","4,434","2,471","2,600"
Total Assets,719,"1,250","2,864","4,898","5,012","5,318","4,720","5,445","6,119","6,255","2,812","3,039"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,38,-50,68,109,202,361,715,554,466,529,380,230
Cash from Investing Activity +,-69,-10,-574,-794,182,-170,-105,-188,4,50,-333,-73
Cash from Financing Activity +,80,86,707,948,-445,13,-834,-441,-443,-496,-318,-237
Net Cash Flow,49,27,201,263,-61,204,-223,-75,27,83,-271,-80
Free Cash Flow,24,-72,30,24,106,304,654,471,368,431,379,221
CFO/OP,61%,-1%,64%,52%,82%,78%,123%,103%,113%,96%,95%,95%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,39,43,43,54,39,33,61,62,57,53,37,19
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,39,43,43,54,39,33,61,62,57,53,37,19
Working Capital Days,-1,-8,-12,-13,1,-6,11,3,3,7,5,8
ROCE %,35%,24%,16%,12%,11%,12%,8%,13%,9%,12%,10%,23%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,56.69%,56.66%,56.65%,56.64%,56.64%,56.60%,56.56%,56.99%,56.98%,56.92%,56.87%,56.83%
FIIs +,17.04%,16.93%,16.30%,15.30%,15.93%,15.81%,15.24%,14.82%,14.58%,14.11%,9.15%,8.31%
DIIs +,7.33%,10.18%,10.66%,10.78%,10.95%,10.96%,10.45%,9.77%,8.74%,9.77%,12.45%,12.40%
Public +,18.94%,16.22%,16.40%,17.30%,16.48%,16.62%,17.73%,18.41%,19.70%,19.18%,21.51%,22.44%
No. of Shareholders,"81,874","85,067","84,747","88,925","83,699","93,204","1,07,680","1,24,073","1,26,388","1,23,997","1,21,911","1,10,118"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,16%
5 Years:,7%
3 Years:,-4%
TTM:,2%

Compounded Profit Growth
10 Years:,11%
5 Years:,38%
3 Years:,7%
TTM:,29%

Stock Price CAGR
10 Years:,%
5 Years:,-9%
3 Years:,6%
1 Year:,-16%

Return on Equity
10 Years:,10%
5 Years:,11%
3 Years:,12%
Last Year:,20%

