--- ABOUT ---
"Incorporated in 2013, Network People Services Technologies Ltd is a fintech firm which specializes in UPI payments and digital banking, and operates as both a TSP and a PPaaS [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,280","1,572","2,388",80.3

Book Value,Dividend Yield,ROCE,ROE
211,0.13,19.7,15.0

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,21,24,28,31,44,59,67,21,26,34,47,53,62
Expenses +,15,17,19,21,29,38,44,15,18,24,33,38,49
Operating Profit,7,8,9,10,15,21,23,7,9,10,14,14,13
OPM %,31%,31%,32%,33%,34%,35%,35%,31%,33%,29%,29%,27%,21%
Other Income +,0,0,0,1,1,1,2,2,2,1,2,5,6
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,1,2,2,2,3,1,1,2,2,1,2,3,3
Profit before tax,5,6,7,9,13,21,24,7,8,10,13,16,16
Tax %,25%,17%,32%,25%,24%,26%,24%,25%,37%,26%,27%,28%,23%
Net Profit +,4,5,5,7,10,16,18,5,5,7,10,12,12
EPS in Rs,1.98,2.66,2.58,3.37,5.18,8.06,9.36,2.65,2.69,3.71,4.72,5.53,5.88
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,18,18,15,15,19,41,128,173,195
Expenses +,15,15,13,12,16,29,85,113,144
Operating Profit,2,3,2,3,3,12,43,60,51
OPM %,14%,17%,15%,19%,18%,30%,34%,35%,26%
Other Income +,0,0,0,0,0,0,3,7,14
Interest,0,0,0,0,0,0,0,0,1
Depreciation,1,1,1,2,2,4,10,7,9
Profit before tax,2,2,1,1,2,9,36,60,55
Tax %,28%,28%,27%,25%,24%,25%,24%,25%,26%
Net Profit +,1,1,1,1,2,7,27,45,41
EPS in Rs,4.17,4.50,3.47,0.80,0.77,3.36,13.87,23.31,19.58
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,10%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,1,1,1,4,6,6,19,19,21
Reserves,2,4,5,2,16,22,38,84,420
Borrowings +,0,0,0,0,0,0,3,10,14
Other Liabilities +,5,4,4,9,8,10,19,33,54
Total Liabilities,8,9,10,17,30,39,80,146,508
Fixed Assets +,2,1,3,3,4,9,9,13,55
CWIP,1,2,3,4,6,4,0,1,0
Investments,0,0,0,0,0,0,0,0,1
Other Assets +,6,5,4,10,20,26,70,132,452
Total Assets,8,9,10,17,30,39,80,146,508

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,2,1,3,2,-7,24,51,29,-45
Cash from Investing Activity +,-3,-2,-3,-3,-5,-6,-33,8,-42
Cash from Financing Activity +,-0,-0,-0,0,13,0,-0,7,296
Net Cash Flow,-1,-1,0,0,1,18,18,44,208
Free Cash Flow,-1,-1,0,-0,-13,18,48,18,-93
CFO/OP,115%,56%,155%,94%,-199%,216%,139%,74%,-66%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,57,51,52,175,95,8,3,67,195
Inventory Days,,,,,,,,,4
Days Payable,,,,,,,,,153
Cash Conversion Cycle,57,51,52,175,95,8,3,67,46
Working Capital Days,-11,17,-6,-4,196,-31,-43,-3,140
ROCE %,,48%,28%,23%,14%,35%,80%,69%,20%

--- SHAREHOLDING PATTERN ---
,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,67.55%,67.55%,67.55%,67.55%,67.55%,67.55%,67.55%,67.54%,67.56%,60.29%,60.27%,60.52%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.02%,0.19%,0.06%,0.03%,0.03%,0.11%,0.15%,0.12%
DIIs +,9.66%,9.66%,9.66%,9.66%,5.82%,0.00%,0.05%,0.29%,0.58%,9.96%,9.95%,10.02%
Public +,22.78%,22.78%,22.79%,22.79%,26.61%,32.26%,32.34%,32.15%,31.84%,29.65%,29.63%,29.34%
No. of Shareholders,526,318,256,237,360,"1,309","3,401","4,675","5,473","6,471","7,025","8,162"

--- CAGR BOXES ---




