--- ABOUT ---
"Navneet Education Limited is primarily into manufacturing and trading of education books, reference books, technical & professional books in paper form and e-learning form, and also paper and non-paper based stationery products. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,082",139,168,19.8

Book Value,Dividend Yield,ROCE,ROE
92.3,2.15,10.2,8.03

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,409,791,266,259,435,798,272,282,434,794,247,250,430
Expenses +,356,583,270,260,355,577,270,264,355,567,246,258,377
Operating Profit,53,209,-4,-2,80,221,2,18,79,227,1,-8,53
OPM %,13%,26%,-2%,-1%,18%,28%,1%,6%,18%,29%,0%,-3%,12%
Other Income +,4,11,74,3,5,669,11,27,0,8,4,248,20
Interest,4,8,4,4,5,7,4,4,5,6,4,4,3
Depreciation,20,13,15,16,21,15,15,17,19,17,18,21,23
Profit before tax,33,199,52,-19,58,868,-6,24,55,212,-17,215,47
Tax %,31%,27%,31%,-30%,18%,14%,-17%,38%,13%,26%,-12%,13%,17%
Net Profit +,23,145,36,-13,48,747,-5,15,48,157,-15,188,39
EPS in Rs,1.01,6.41,1.57,-0.58,2.11,31.08,-0.23,0.63,2.17,7.10,-0.68,7.78,1.72
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,974,956,"1,168","1,203","1,442","1,496",832,"1,112","1,694","1,748","1,781","1,721"
Expenses +,735,749,892,979,"1,170","1,180",744,"1,017","1,403","1,452","1,461","1,451"
Operating Profit,239,207,275,223,272,315,88,94,291,296,319,270
OPM %,25%,22%,24%,19%,19%,21%,11%,8%,17%,17%,18%,16%
Other Income +,3,17,22,26,23,22,59,98,79,82,707,283
Interest,11,5,6,9,17,19,11,7,13,21,20,17
Depreciation,31,30,28,31,33,47,47,50,58,65,66,79
Profit before tax,200,190,264,210,245,272,89,135,298,291,940,457
Tax %,35%,37%,31%,39%,38%,27%,37%,45%,32%,13%,15%,19%
Net Profit +,130,107,171,127,153,197,56,74,204,252,804,369
EPS in Rs,5.47,4.51,7.30,5.45,6.68,8.62,2.44,3.34,9.04,11.12,34.28,15.91
Dividend Payout %,40%,49%,34%,28%,15%,35%,41%,45%,29%,23%,9%,9%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,48,48,47,47,46,46,46,45,45,45,44,44
Reserves,496,535,647,705,745,817,885,903,"1,105","1,248","1,790","1,998"
Borrowings +,144,103,159,244,337,278,74,135,288,258,200,108
Other Liabilities +,136,83,167,158,190,149,176,186,218,196,320,416
Total Liabilities,823,769,"1,020","1,154","1,318","1,290","1,181","1,269","1,657","1,747","2,354","2,566"
Fixed Assets +,170,181,252,255,252,298,261,249,240,250,346,396
CWIP,4,1,3,4,17,6,22,4,7,6,43,38
Investments,49,32,24,46,66,88,142,167,300,285,763,975
Other Assets +,599,556,740,849,984,898,755,850,"1,109","1,206","1,201","1,157"
Total Assets,823,769,"1,020","1,154","1,318","1,290","1,181","1,269","1,657","1,747","2,354","2,566"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,162,168,79,48,95,286,268,29,-22,156,274,307
Cash from Investing Activity +,-8,-4,-79,-54,-43,-61,-40,-24,-86,-35,115,-96
Cash from Financing Activity +,-155,-170,-6,-79,-11,-201,-214,-2,101,-122,-372,-182
Net Cash Flow,-1,-6,-6,-85,41,23,14,3,-6,-1,17,29
Free Cash Flow,145,143,23,13,63,245,237,63,-65,122,161,207
CFO/OP,95%,117%,56%,61%,70%,115%,332%,78%,16%,79%,111%,120%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,71,71,87,97,74,65,81,80,71,77,71,71
Inventory Days,274,244,258,267,287,236,382,318,270,265,278,296
Days Payable,14,24,48,46,47,23,72,47,28,22,33,38
Cash Conversion Cycle,330,292,297,318,313,278,391,350,313,320,316,330
Working Capital Days,114,137,121,128,96,111,208,156,121,141,150,155
ROCE %,30%,28%,35%,24%,25%,25%,5%,6%,19%,16%,15%,10%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,63.31%,63.31%,63.31%,63.31%,63.31%,63.31%,63.35%,63.35%,63.35%,63.35%,63.35%,63.29%
FIIs +,3.36%,4.03%,3.54%,3.67%,3.38%,3.35%,3.42%,3.95%,4.14%,3.63%,3.16%,3.11%
DIIs +,11.15%,11.39%,12.41%,12.45%,12.38%,12.38%,12.49%,12.68%,12.86%,12.85%,12.93%,13.03%
Public +,22.17%,21.61%,20.73%,20.56%,20.92%,20.96%,20.75%,20.02%,19.65%,20.18%,20.56%,20.58%
No. of Shareholders,"39,560","40,112","40,125","40,716","42,133","48,925","47,949","46,528","45,584","44,191","41,862","39,807"

--- CAGR BOXES ---




