--- ABOUT ---
"TARC Ltd. (The Anant Raj Corporation) started out as a construction and contracting company and evolved to become one of the largest real estate development companies and land bank holders in the New Delhi Metropolitan Area. The company‘s key developments are across verticals like Residential, Hospitality, Commercial and Retail projects. The name of the company has been changed from Anant Raj Global Ltd. to TARC Ltd. in April 2021. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"3,724",126,206,195

Book Value,Dividend Yield,ROCE,ROE
36.0,0.00,2.26,1.81

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,134.99,62.94,29.72,9.30,9.48,8.21,4.31,9.35,11.82,75.89,6.87,38.38,208.70
Expenses +,96.99,21.83,39.11,3.76,13.58,22.82,28.71,20.53,95.47,196.20,42.51,56.59,298.97
Operating Profit,38.00,41.11,-9.39,5.54,-4.10,-14.61,-24.40,-11.18,-83.65,-120.31,-35.64,-18.21,-90.27
OPM %,28.15%,65.32%,-31.59%,59.57%,-43.25%,-177.95%,-566.13%,-119.57%,-707.70%,-158.53%,-518.78%,-47.45%,-43.25%
Other Income +,0.55,1.63,4.96,2.49,0.88,1.41,0.71,1.87,2.08,219.47,27.23,3.92,91.32
Interest,28.69,34.06,11.80,34.89,41.89,12.79,49.44,19.38,24.83,15.28,11.23,10.89,15.21
Depreciation,1.50,1.19,1.88,1.51,1.91,1.62,2.61,2.44,2.32,2.41,2.40,2.39,2.90
Profit before tax,8.36,7.49,-18.11,-28.37,-47.02,-27.61,-75.74,-31.13,-108.72,81.47,-22.04,-27.57,-17.06
Tax %,81.58%,5.07%,-105.96%,18.05%,10.04%,11.16%,-11.06%,-7.84%,-3.83%,33.45%,-28.45%,-23.72%,-109.44%
Net Profit +,1.53,7.11,1.07,-33.49,-51.73,-30.67,-67.36,-28.69,-104.56,54.21,-15.77,-21.03,1.61
EPS in Rs,0.05,0.24,0.04,-1.13,-1.75,-1.04,-2.28,-0.97,-3.54,1.84,-0.53,-0.71,0.05
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,137,191,251,369,111,34,330
Expenses +,112,191,435,205,133,167,594
Operating Profit,25,-0,-184,164,-22,-133,-264
OPM %,19%,-0%,-74%,44%,-20%,-395%,-80%
Other Income +,72,30,50,2,4,5,342
Interest,25,21,86,117,62,106,53
Depreciation,8,8,9,7,6,9,10
Profit before tax,65,1,-229,41,-86,-243,15
Tax %,18%,-563%,1%,50%,-10%,-5%,-29%
Net Profit +,53,6,-233,20,-77,-231,19
EPS in Rs,,0.21,-7.89,0.69,-2.61,-7.84,0.65
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,59,59,59,59,59,59,59
Reserves,"1,499","1,505","1,273","1,293","1,216",984,"1,003"
Borrowings +,"1,298","1,321","1,179","1,386","1,393","1,954","1,895"
Other Liabilities +,471,521,468,428,796,"1,217","1,643"
Total Liabilities,"3,327","3,407","2,979","3,166","3,463","4,214","4,600"
Fixed Assets +,"1,564","1,662","1,053","1,066","1,107","1,215","1,320"
CWIP,73,0,0,-0,-0,-0,-0
Investments,138,138,68,68,68,68,0
Other Assets +,"1,552","1,607","1,858","2,032","2,289","2,931","3,279"
Total Assets,"3,327","3,407","2,979","3,166","3,463","4,214","4,600"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,116,144,-81,-81,158,43,191
Cash from Investing Activity +,17,23,367,75,-39,-68,275
Cash from Financing Activity +,-143,-161,-279,96,-166,14,-436
Net Cash Flow,-9,6,7,89,-47,-11,29
Free Cash Flow,66,161,280,-12,117,6,159
CFO/OP,457%,"-63,382%",38%,-41%,-752%,-46%,-81%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,8,32,7,9,20,107,8
Inventory Days,,,,,,,
Days Payable,,,,,,,
Cash Conversion Cycle,8,32,7,9,20,107,8
Working Capital Days,368,263,-516,760,"1,218","1,121",703
ROCE %,,1%,-5%,6%,-1%,-5%,2%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,64.96%,64.96%,64.96%,64.96%,64.96%,64.96%,64.96%,65.12%,65.12%,65.12%,65.12%,65.12%
FIIs +,2.15%,1.85%,1.92%,2.40%,2.89%,2.72%,2.35%,2.46%,2.30%,2.00%,1.22%,0.92%
DIIs +,0.36%,0.42%,0.89%,1.29%,1.95%,3.31%,4.34%,4.89%,5.44%,5.81%,6.31%,6.40%
Public +,32.53%,32.77%,32.22%,31.35%,30.20%,29.01%,28.35%,27.54%,27.14%,27.07%,27.36%,27.56%
No. of Shareholders,"54,043","54,087","56,710","61,015","60,052","59,935","62,404","62,161","59,880","57,953","56,287","54,264"

--- CAGR BOXES ---




