--- ABOUT ---
"Incorporated in 2018, Fabtech Technologies Ltd is a biopharma engineering company. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
692,156,263 / 126,18.7

Book Value,Dividend Yield,ROCE,ROE
94.4,0.00,13.6,12.5

Face Value
10.0

--- QUARTERLY RESULTS ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,59,104,135,68,121,63,159
Expenses +,54,81,116,74,91,74,136
Operating Profit,5,23,18,-6,30,-12,22
OPM %,8%,22%,14%,-9%,25%,-18%,14%
Other Income +,2,2,3,3,3,7,10
Interest,0,0,1,1,1,1,1
Depreciation,1,1,1,1,1,1,1
Profit before tax,6,24,20,-6,31,-7,30
Tax %,15%,13%,24%,-1%,10%,-15%,26%
Net Profit +,5,20,15,-6,28,-6,22
EPS in Rs,1.58,6.32,4.66,-1.89,8.68,-1.28,4.96
Raw PDF,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,133,121,257,194,226,327,411
Expenses +,119,110,225,169,191,288,376
Operating Profit,14,11,32,25,35,39,35
OPM %,11%,9%,12%,13%,15%,12%,9%
Other Income +,5,2,4,10,6,27,23
Interest,2,2,3,5,3,3,4
Depreciation,0,0,2,2,2,3,5
Profit before tax,16,11,31,28,36,60,48
Tax %,27%,29%,25%,22%,24%,23%,21%
Net Profit +,12,8,23,22,27,46,38
EPS in Rs,"12,390.00","8,040.00",84.28,78.00,92.44,14.34,8.63
Dividend Payout %,0%,0%,0%,0%,0%,0%,7%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.01,0.01,3,3,3,32,44
Reserves,38,46,65,86,129,141,375
Borrowings +,1,9,21,35,13,84,70
Other Liabilities +,84,70,83,89,125,170,164
Total Liabilities,123,126,172,214,269,427,654
Fixed Assets +,2,2,5,4,22,94,78
CWIP,0,0,0,0,0,0,0
Investments,12,7,17,20,21,15,26
Other Assets +,109,116,150,190,226,318,550
Total Assets,123,126,172,214,269,427,654

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,64,-9,-3,-14,60,-36,0
Cash from Investing Activity +,-28,4,-9,2,-30,-20,-112
Cash from Financing Activity +,-23,6,8,12,-12,36,190
Net Cash Flow,13,1,-4,-0,18,-20,78
Free Cash Flow,64,-9,-4,-14,59,-61,5
CFO/OP,417%,-65%,4%,-15%,196%,-68%,36%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,110,135,120,187,156,168,182
Inventory Days,22,39,17,69,88,119,32
Days Payable,82,150,136,215,195,198,159
Cash Conversion Cycle,51,25,1,41,49,89,55
Working Capital Days,-19,15,30,65,63,53,90
ROCE %,,26%,48%,31%,28%,22%,14%

--- SHAREHOLDING PATTERN ---
,Dec 2025,Mar 2026
Promoters +,68.94%,68.94%
FIIs +,0.03%,0.08%
DIIs +,1.99%,2.15%
Public +,29.04%,28.83%
No. of Shareholders,"31,755","28,620"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,%
5 Years:,28%
3 Years:,28%
TTM:,26%

Compounded Profit Growth
10 Years:,%
5 Years:,36%
3 Years:,19%
TTM:,17%

Stock Price CAGR
10 Years:,%
5 Years:,%
3 Years:,%
1 Year:,%

Return on Equity
10 Years:,%
5 Years:,20%
3 Years:,17%
Last Year:,12%

