--- ABOUT ---
"Incorporated in 1995, RR Kabel provides consumer electrical products used for residential, commercial, industrial, and infrastructure purposes in two major segments, namely wires and cables including house wires, industrial wires, power cables, and special cables; and FMEG including fans, lighting, switches, and appliances."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"26,253","2,321","2,365",51.8

Book Value,Dividend Yield,ROCE,ROE
228,0.41,28.1,21.4

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,517","1,597","1,610","1,634","1,754","1,808","1,810","1,782","2,218","2,059","2,164","2,536","2,964"
Expenses +,"1,416","1,484","1,489","1,521","1,639","1,713","1,725","1,672","2,023","1,917","1,988","2,332","2,702"
Operating Profit,100,113,121,113,115,95,86,111,194,142,176,204,262
OPM %,7%,7%,8%,7%,7%,5%,5%,6%,9%,7%,8%,8%,9%
Other Income +,15,17,15,12,20,19,7,14,13,13,17,-3,15
Interest,13,14,14,12,13,12,16,16,15,15,16,19,25
Depreciation,14,16,17,16,16,16,17,18,19,20,22,24,26
Profit before tax,88,99,105,96,106,86,60,90,173,120,155,159,225
Tax %,26%,25%,29%,26%,26%,25%,17%,24%,25%,25%,25%,26%,25%
Net Profit +,65,74,74,71,79,64,50,69,129,90,116,118,168
EPS in Rs,6.82,7.77,6.57,6.29,6.98,5.71,4.38,6.06,11.42,7.94,10.28,10.46,14.85
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"2,479","2,724","4,386","5,599","6,595","7,618","9,722"
Expenses +,"2,272","2,492","4,082","5,276","6,133","7,131","8,939"
Operating Profit,207,232,304,323,462,487,784
OPM %,8%,9%,7%,6%,7%,6%,8%
Other Income +,27,23,50,35,64,53,43
Interest,37,29,24,43,54,60,75
Depreciation,39,45,46,60,65,70,92
Profit before tax,158,181,284,256,406,409,659
Tax %,22%,25%,25%,26%,27%,24%,25%
Net Profit +,122,135,214,190,298,312,492
EPS in Rs,52.32,56.60,89.42,19.84,26.43,27.56,43.52
Dividend Payout %,25%,0%,11%,23%,23%,22%,22%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,23,24,24,48,56,57,57
Reserves,881,"1,023","1,226",957,"1,772","2,096","2,518"
Borrowings +,400,507,533,996,360,290,337
Other Liabilities +,242,161,268,633,681,"1,074","1,710"
Total Liabilities,"1,545","1,715","2,051","2,634","2,869","3,517","4,621"
Fixed Assets +,391,399,398,517,535,769,"1,173"
CWIP,15,7,43,44,164,235,72
Investments,221,237,268,363,342,239,255
Other Assets +,919,"1,072","1,342","1,710","1,830","2,274","3,121"
Total Assets,"1,545","1,715","2,051","2,634","2,869","3,517","4,621"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,216,-71,98,454,339,494,295
Cash from Investing Activity +,-128,-6,-63,-334,-84,-169,-263
Cash from Financing Activity +,-82,74,-32,-102,-205,-191,-162
Net Cash Flow,5,-3,4,19,50,134,-130
Free Cash Flow,123,-118,35,346,152,129,7
CFO/OP,120%,-13%,56%,158%,94%,121%,57%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,62,56,43,39,35,39,37
Inventory Days,71,91,72,69,61,59,81
Days Payable,34,19,17,35,29,44,63
Cash Conversion Cycle,99,128,98,72,67,54,56
Working Capital Days,50,62,49,31,40,34,43
ROCE %,,15%,18%,16%,22%,20%,28%

--- SHAREHOLDING PATTERN ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,62.76%,62.76%,62.76%,61.89%,61.78%,61.80%,61.80%,61.76%,61.76%,61.65%,61.65%
FIIs +,4.99%,4.69%,4.16%,6.54%,7.35%,7.83%,7.17%,8.57%,8.18%,8.40%,9.10%
DIIs +,8.66%,8.83%,9.37%,13.53%,14.34%,14.33%,14.75%,13.62%,13.87%,13.94%,13.33%
Public +,23.58%,23.73%,23.70%,18.04%,16.54%,16.03%,16.27%,16.05%,16.20%,16.00%,15.91%
No. of Shareholders,"1,89,668","1,56,947","1,45,858","1,34,822","1,28,740","1,38,200","1,46,892","1,35,697","1,35,711","1,28,337","1,30,587"

--- CAGR BOXES ---




