--- ABOUT ---
"JK Tyre & Industries is the flagship company of the JK group which is headed by Dr R P Singhania as its chairman and managing director. It is a one of the leading tyre manufacturers in India and amongst the top 25 manufacturers in the world with a wide range of products catering to diverse business segments that includes Truck/Bus, LCV (Light commercial vehicles), Passenger Cars, MUV (Multi utility vehicles) and Tractors. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"11,569",401,612 / 311,13.1

Book Value,Dividend Yield,ROCE,ROE
210,0.75,15.5,16.2

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"3,632","3,718","3,898","3,688","3,698","3,639","3,622","3,674","3,759","3,869","4,011","4,223","4,223"
Expenses +,"3,256","3,261","3,308","3,138","3,217","3,139","3,200","3,359","3,396","3,467","3,490","3,652","3,686"
Operating Profit,376,457,589,550,481,500,421,314,363,402,521,571,537
OPM %,10%,12%,15%,15%,13%,14%,12%,9%,10%,10%,13%,14%,13%
Other Income +,23,13,5,8,-9,15,11,3,19,34,7,-92,-37
Interest,125,122,109,107,109,112,120,123,121,115,108,106,101
Depreciation,106,106,108,111,112,113,113,114,117,114,116,119,123
Profit before tax,168,242,377,341,252,290,199,80,144,208,304,254,277
Tax %,33%,34%,34%,33%,31%,27%,27%,29%,29%,26%,27%,18%,32%
Net Profit +,112,159,249,227,172,218,140,53,99,163,227,208,178
EPS in Rs,4.40,6.25,9.83,8.47,6.49,8.11,4.93,1.92,3.54,6.03,8.28,7.21,6.17
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"7,315","6,898","7,689","8,272","10,368","8,723","9,102","11,983","14,645","15,002","14,693","16,327"
Expenses +,"6,384","5,782","6,557","7,535","9,256","7,737","7,796","10,910","13,347","12,911","13,094","14,295"
Operating Profit,931,"1,117","1,132",737,"1,112",986,"1,306","1,073","1,298","2,091","1,599","2,031"
OPM %,13%,16%,15%,9%,11%,11%,14%,9%,9%,14%,11%,12%
Other Income +,-30,11,135,135,-5,-76,81,40,-25,4,48,-88
Interest,257,252,440,466,521,549,466,419,454,447,476,428
Depreciation,158,216,291,299,316,378,387,385,407,437,456,472
Profit before tax,486,660,535,107,270,-17,534,309,411,"1,211",713,"1,043"
Tax %,33%,31%,29%,41%,35%,-989%,38%,35%,36%,33%,28%,26%
Net Profit +,330,467,381,63,171,141,331,201,263,806,509,776
EPS in Rs,14.53,20.60,16.55,2.91,7.16,6.12,12.97,8.53,10.66,30.16,18.07,26.92
Dividend Payout %,10%,12%,15%,52%,21%,11%,15%,18%,19%,15%,17%,15%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,45,45,45,45,49,49,49,49,49,52,55,58
Reserves,"1,356","1,706","1,919","1,916","2,235","2,282","2,623","2,799","3,347","4,435","4,796","6,003"
Borrowings +,"2,975","2,900","5,655","5,811","5,758","5,549","4,801","5,220","4,882","4,609","4,911","4,882"
Other Liabilities +,"2,528","2,401","2,776","2,762","3,227","3,333","3,467","4,092","4,061","4,915","4,673","5,054"
Total Liabilities,"6,904","7,052","10,395","10,535","11,269","11,213","10,940","12,161","12,339","14,012","14,435","15,996"
Fixed Assets +,"2,701","3,747","5,794","6,142","6,228","6,382","6,242","6,429","6,467","6,829","6,752","7,192"
CWIP,830,106,326,309,270,284,299,106,195,367,418,"1,091"
Investments,140,160,73,128,131,140,147,133,144,138,123,121
Other Assets +,"3,232","3,039","4,202","3,956","4,640","4,407","4,252","5,493","5,533","6,677","7,142","7,592"
Total Assets,"6,904","7,052","10,395","10,535","11,269","11,213","10,940","12,161","12,339","14,012","14,435","15,996"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,734,903,106,637,797,"1,237","1,598",346,"1,224","1,614",716,"1,444"
Cash from Investing Activity +,-806,-511,-807,-394,-261,-319,-134,-244,-398,"-1,203",-463,-627
Cash from Financing Activity +,-1,-422,830,-409,-522,-963,"-1,441",-96,-747,-413,-237,-783
Net Cash Flow,-73,-31,128,-165,14,-44,23,5,79,-2,15,34
Free Cash Flow,-65,357,-175,219,539,964,"1,439",54,826,870,128,38
CFO/OP,93%,95%,21%,94%,79%,129%,129%,39%,105%,88%,61%,81%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,72,74,85,68,68,77,63,60,57,67,70,72
Inventory Days,70,82,111,101,92,111,119,110,79,92,100,96
Days Payable,84,90,102,81,87,115,105,99,66,87,75,78
Cash Conversion Cycle,57,66,94,88,73,73,78,71,70,72,96,90
Working Capital Days,-25,-13,-5,-37,-13,73,-10,-13,-3,2,11,35
ROCE %,19%,20%,14%,6%,10%,8%,12%,9%,11%,19%,13%,16%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,56.26%,56.26%,53.13%,53.13%,53.13%,50.56%,50.56%,50.55%,50.55%,50.55%,51.72%,51.72%
FIIs +,8.69%,10.29%,12.21%,15.29%,14.15%,16.45%,16.03%,15.94%,16.11%,16.09%,16.92%,18.59%
DIIs +,1.22%,1.27%,5.79%,5.18%,4.99%,5.85%,6.33%,6.14%,6.41%,7.20%,7.50%,7.45%
Public +,33.83%,32.19%,28.87%,26.40%,27.73%,27.16%,27.05%,27.35%,26.91%,26.14%,23.85%,22.23%
No. of Shareholders,"1,87,356","1,88,399","2,03,029","2,26,143","2,86,125","3,36,329","3,51,180","3,58,475","3,42,938","3,32,044","2,88,456","2,84,107"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,9%
5 Years:,12%
3 Years:,4%
TTM:,11%

Compounded Profit Growth
10 Years:,6%
5 Years:,24%
3 Years:,44%
TTM:,71%

Stock Price CAGR
10 Years:,17%
5 Years:,22%
3 Years:,27%
1 Year:,15%

Return on Equity
10 Years:,13%
5 Years:,14%
3 Years:,16%
Last Year:,16%

