--- ABOUT ---
"NOCIL Ltd., incorporated in 1961, manufactures rubber chemicals which are used by the tyre industry and other rubber processing industries. [1] It is a part of Arvind Mafatlal Group and is the Largest Rubber Chemicals Manufacturer in India ."

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,656",159,204 / 125,44.6

Book Value,Dividend Yield,ROCE,ROE
106,0.94,4.66,3.37

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,393,397,351,341,356,372,363,318,340,336,321,316,330
Expenses +,343,341,306,292,312,331,325,294,305,306,298,289,309
Operating Profit,50,56,45,49,45,41,38,24,34,31,22,27,21
OPM %,13%,14%,13%,14%,13%,11%,10%,8%,10%,9%,7%,8%,6%
Other Income +,3,5,5,6,25,9,8,9,6,7,10,1,14
Interest,0,0,0,0,0,0,1,0,0,0,0,0,0
Depreciation,14,13,13,13,13,13,13,14,13,14,14,14,14
Profit before tax,39,47,37,41,56,37,32,19,26,23,19,13,21
Tax %,26%,27%,26%,26%,25%,26%,-30%,32%,20%,25%,35%,31%,19%
Net Profit +,28,34,27,30,42,27,42,13,21,17,12,9,17
EPS in Rs,1.70,2.06,1.63,1.80,2.49,1.62,2.52,0.77,1.24,1.03,0.73,0.55,1.02
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,719,715,742,964,"1,043",846,925,"1,571","1,617","1,445","1,393","1,303"
Expenses +,605,575,582,695,750,668,793,"1,284","1,364","1,250","1,255","1,202"
Operating Profit,114,140,160,269,293,178,132,288,253,195,137,101
OPM %,16%,20%,22%,28%,28%,21%,14%,18%,16%,14%,10%,8%
Other Income +,3,3,9,11,10,9,14,2,6,39,32,31
Interest,17,9,2,1,1,1,1,1,1,2,2,1
Depreciation,14,15,20,24,24,34,37,48,56,53,54,55
Profit before tax,86,119,147,255,278,152,107,241,202,180,114,76
Tax %,34%,34%,34%,33%,33%,14%,17%,27%,26%,26%,10%,27%
Net Profit +,57,78,97,170,185,131,88,176,149,133,103,56
EPS in Rs,3.55,4.87,5.94,10.33,11.17,7.89,5.32,10.57,8.95,7.98,6.16,3.33
Dividend Payout %,28%,25%,30%,24%,22%,32%,38%,28%,34%,38%,32%,45%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,161,161,164,164,165,166,166,167,167,167,167,167
Reserves,254,309,750,882,998,"1,020","1,119","1,279","1,385","1,532","1,595","1,606"
Borrowings +,147,26,15,5,0,7,6,6,10,13,10,8
Other Liabilities +,193,186,233,279,279,250,324,380,295,304,284,329
Total Liabilities,755,682,"1,161","1,331","1,442","1,442","1,615","1,830","1,857","2,015","2,057","2,111"
Fixed Assets +,311,307,543,528,657,797,918,909,888,870,855,831
CWIP,3,6,4,42,131,156,14,8,9,16,60,221
Investments,22,22,176,281,130,54,68,53,218,399,366,415
Other Assets +,418,347,438,480,524,434,614,859,742,730,776,645
Total Assets,755,682,"1,161","1,331","1,442","1,442","1,615","1,830","1,857","2,015","2,057","2,111"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,30,170,142,102,164,179,94,-30,282,201,26,252
Cash from Investing Activity +,-5,-12,-11,-141,-101,-106,-58,31,-217,-77,-37,-212
Cash from Financing Activity +,-33,-151,-31,-43,-50,-101,0,-34,-54,-55,-50,-38
Net Cash Flow,-8,8,101,-82,13,-28,35,-33,11,68,-62,2
Free Cash Flow,21,156,129,55,-73,-0,67,-66,253,184,-95,84
CFO/OP,43%,144%,117%,68%,86%,129%,71%,10%,131%,124%,44%,274%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,85,77,82,92,81,88,122,104,78,86,81,81
Inventory Days,176,135,116,129,133,128,120,141,117,100,129,75
Days Payable,79,74,82,96,77,84,123,91,52,53,54,72
Cash Conversion Cycle,182,138,116,125,138,132,119,154,143,133,156,84
Working Capital Days,71,86,86,94,99,104,114,128,108,110,130,177
ROCE %,19%,24%,21%,26%,25%,13%,9%,18%,13%,10%,6%,5%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,33.84%,33.84%,33.84%,33.84%,33.84%,33.78%,33.78%,33.76%,33.76%,33.76%,33.76%,33.76%
FIIs +,5.44%,6.36%,6.98%,7.77%,7.77%,7.92%,7.82%,8.15%,6.65%,5.16%,4.47%,4.55%
DIIs +,4.68%,3.61%,2.83%,3.51%,4.44%,6.13%,5.93%,5.33%,5.20%,6.57%,6.50%,7.92%
Public +,56.04%,56.19%,56.36%,54.87%,53.95%,52.18%,52.47%,52.76%,54.39%,54.52%,55.27%,53.79%
No. of Shareholders,"1,79,495","1,81,190","1,76,347","1,71,496","1,67,157","1,66,627","1,63,899","1,61,825","1,65,648","1,64,817","1,62,167","1,65,835"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,6%
5 Years:,7%
3 Years:,-7%
TTM:,-6%

Compounded Profit Growth
10 Years:,-3%
5 Years:,-7%
3 Years:,-26%
TTM:,-38%

Stock Price CAGR
10 Years:,12%
5 Years:,-6%
3 Years:,-11%
1 Year:,-13%

Return on Equity
10 Years:,10%
5 Years:,7%
3 Years:,5%
Last Year:,3%

