--- ABOUT ---
"Incorporated in 1946, Kokuyo Camlin Ltd manufactures and trades consumer products viz. stationery and color products [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
874,87.1,138,57.6

Book Value,Dividend Yield,ROCE,ROE
24.8,0.34,8.56,6.22

Face Value
1.00

--- QUARTERLY RESULTS ---
""
Sales +
Expenses +
Operating Profit
OPM %
Other Income +
Interest
Depreciation
Profit before tax
Tax %
Net Profit +
EPS in Rs
Raw PDF

--- ANNUAL RESULTS ---
,Mar 2006,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Sales +,192,331,359,386,438,470,544,614,630,630,689
Expenses +,189,302,333,373,444,468,527,590,606,590,637
Operating Profit,2,29,26,13,-5,3,17,25,24,39,51
OPM %,1%,9%,7%,3%,-1%,1%,3%,4%,4%,6%,7%
Other Income +,8,-2,-0,1,0,6,8,5,3,2,1
Interest,7,6,7,7,7,9,10,11,12,10,12
Depreciation,5,5,7,7,8,9,11,12,12,17,18
Profit before tax,-2,16,12,0,-20,-9,4,7,2,15,23
Tax %,-11%,27%,27%,167%,-26%,-15%,-15%,28%,33%,34%,33%
Net Profit +,-2,12,9,-0,-15,-8,5,5,2,10,15
EPS in Rs,-0.23,1.30,0.95,-0.01,-1.48,-0.78,0.50,0.52,0.15,0.98,1.52
Dividend Payout %,-2%,26%,18%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2006,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Equity Capital,5,6,6,7,7,10,10,10,10,10,10
Reserves,10,56,64,123,108,199,203,209,218,228,239
Borrowings +,60,43,44,42,65,71,73,99,138,138,173
Other Liabilities +,62,76,82,83,92,114,132,130,114,108,132
Total Liabilities,137,180,195,254,272,394,418,448,481,485,555
Fixed Assets +,41,56,66,67,71,79,107,105,102,159,165
CWIP,8,2,0,0,1,6,1,25,50,0,0
Investments,1,1,1,0,0,0,1,1,10,11,6
Other Assets +,87,121,128,186,199,308,309,317,320,316,383
Total Assets,137,180,195,254,272,394,418,448,481,485,555

--- CASH FLOW ---
,Mar 2006,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Cash from Operating Activity +,9,19,23,-27,-4,8,8,12,6,14,8
Cash from Investing Activity +,-13,-15,-16,-10,-17,-55,-54,10,-26,-12,-31
Cash from Financing Activity +,4,-4,-8,50,17,99,-8,15,-8,-10,24
Net Cash Flow,-1,-0,-1,13,-4,52,-54,37,-28,-8,1
Free Cash Flow,-4,4,7,-37,-18,-31,-10,-29,-49,-1,-18
CFO/OP,407%,78%,102%,-187%,71%,316%,53%,49%,22%,36%,30%

--- RATIOS ---
,Mar 2006,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Debtor Days,55,53,55,59,55,55,52,54,62,63,62
Inventory Days,128,156,95,138,119,130,131,119,129,152,178
Days Payable,139,138,97,94,86,106,106,95,73,71,80
Cash Conversion Cycle,44,71,54,103,89,79,76,78,118,145,161
Working Capital Days,34,50,7,45,34,23,22,24,16,31,40
ROCE %,,,18%,4%,-7%,-0%,5%,6%,4%,7%,9%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%,74.99%
FIIs +,0.54%,0.57%,0.55%,0.52%,0.36%,0.65%,0.26%,0.21%,0.20%,0.09%,0.10%,0.10%
DIIs +,0.00%,0.20%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,24.46%,24.24%,24.43%,24.49%,24.66%,24.37%,24.73%,24.80%,24.83%,24.92%,24.91%,24.90%
No. of Shareholders,"29,382","30,053","31,283","30,956","31,273","30,095","31,257","31,281","33,040","32,955","32,536","31,957"

--- CAGR BOXES ---




