--- ABOUT ---
"JITF Infra Logistics Ltd, along with its subsidiaries is in the business of development of urban infrastructure, water infrastructure, management of municipal solid waste and generation of energy from Municipal solid waste. It is also engaged in manufacturing of railway freight wagons. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
744,290,480,

Book Value,Dividend Yield,ROCE,ROE
-200,0.00,15.4,

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,634.66,668.10,720.06,618.73,653.04,464.98,480.59,531.71,787.52,550.16,537.53,822.00,898.33
Expenses +,542.25,568.48,605.09,504.33,577.60,363.16,407.89,431.11,658.76,420.21,421.84,668.50,739.07
Operating Profit,92.41,99.62,114.97,114.40,75.44,101.82,72.70,100.60,128.76,129.95,115.69,153.50,159.26
OPM %,14.56%,14.91%,15.97%,18.49%,11.55%,21.90%,15.13%,18.92%,16.35%,23.62%,21.52%,18.67%,17.73%
Other Income +,7.55,6.32,15.83,26.69,63.76,31.27,149.92,18.81,16.83,9.47,10.83,0.30,-19.79
Interest,84.29,76.79,73.74,74.98,77.95,80.73,84.81,86.74,99.91,100.93,101.50,94.93,103.93
Depreciation,18.27,21.25,15.68,22.16,17.79,17.71,17.95,20.76,22.42,24.20,24.52,24.67,29.16
Profit before tax,-2.60,7.90,41.38,43.95,43.46,34.65,119.86,11.91,23.26,14.29,0.50,34.20,6.38
Tax %,265.00%,172.78%,39.56%,30.35%,5.78%,33.30%,5.46%,63.31%,82.89%,132.96%,"3,300.00%",45.61%,222.88%
Net Profit +,-9.48,-5.74,25.02,30.60,40.95,23.12,113.31,4.37,3.99,-4.71,-15.99,18.60,-7.84
EPS in Rs,-7.81,-5.81,1.60,5.31,12.67,3.75,56.94,-3.10,-11.50,-4.33,-6.98,-0.49,-6.94
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,443,543,400,581,844,928,"1,234","1,589","2,535","2,265","2,808"
Expenses +,469,547,435,516,753,839,"1,082","1,327","2,140","1,859","2,250"
Operating Profit,-27,-4,-35,65,91,89,152,262,396,406,558
OPM %,-6%,-1%,-9%,11%,11%,10%,12%,16%,16%,18%,20%
Other Income +,4,6,13,5,7,8,7,11,113,215,1
Interest,97,119,134,165,200,216,253,313,298,352,401
Depreciation,20,26,33,23,23,23,33,58,75,79,103
Profit before tax,-140,-143,-189,-118,-126,-141,-127,-97,136,190,55
Tax %,-18%,-21%,-17%,-4%,8%,-4%,1%,10%,33%,24%,118%
Net Profit +,-114,-113,-157,-114,-136,-135,-129,-107,91,145,-10
EPS in Rs,"-4,440.00",-43.13,-61.00,-43.01,-52.89,-58.64,-55.96,-49.67,13.78,20.38,-18.72
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.00,5,5,5,5,5,5,5,5,5,5
Reserves,10,-101,-265,-374,-477,-629,-771,-896,-561,-516,-518
Borrowings +,858,"1,144","1,341","1,813","2,010","2,424","2,931","3,302","3,772","3,504","3,946"
Other Liabilities +,349,237,188,301,444,442,586,940,"1,049","1,198","1,600"
Total Liabilities,"1,217","1,285","1,269","1,744","1,983","2,243","2,751","3,350","4,265","4,190","5,033"
Fixed Assets +,644,634,622,614,603,593,"1,235","1,606","1,551","1,888","2,033"
CWIP,33,35,49,316,459,636,306,79,414,43,12
Investments,11,11,11,12,13,11,13,19,22,1,1
Other Assets +,529,604,588,802,907,"1,003","1,196","1,646","2,278","2,258","2,987"
Total Assets,"1,217","1,285","1,269","1,744","1,983","2,243","2,751","3,350","4,265","4,190","5,033"

--- CASH FLOW ---
,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,,-163,4,-52,73,21,84,190,185,185,199
