--- ABOUT ---
"Incorporated in 1993, Nuvama Wealth Management Ltd is in the business of broking and trading in equity securities and is also registered as an Investment Adviser and Merchant Banker with SEBI [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"31,745","1,740","1,780",30.5

Book Value,Dividend Yield,ROCE,ROE
226,1.60,17.5,27.4

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,613,648,735,841,929,949,"1,053","1,034","1,120","1,123","1,135","1,104","1,269"
Expenses +,378,357,375,396,464,457,488,453,545,511,541,497,641
Operating Profit,235,290,360,445,465,493,565,582,575,612,593,607,629
OPM %,38%,45%,49%,53%,50%,52%,54%,56%,51%,54%,52%,55%,50%
Other Income +,7,4,3,2,0,7,4,1,9,3,8,2,20
Interest,99,119,147,171,183,183,200,225,215,240,237,242,258
Depreciation,31,22,24,45,45,20,21,24,29,24,25,27,36
Profit before tax,112,153,191,231,237,297,347,334,340,351,339,340,355
Tax %,24%,19%,24%,24%,24%,26%,26%,25%,25%,25%,25%,25%,24%
Net Profit +,85,123,145,176,181,221,257,252,255,264,254,254,269
EPS in Rs,,7.02,8.28,10.01,10.24,12.49,14.43,14.05,14.20,14.66,14.09,13.96,14.79
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,780,"1,384","1,778","2,223","3,156","4,162","4,631"
Expenses +,281,939,"1,132","1,340","1,591","1,942","2,189"
Operating Profit,499,444,646,883,"1,565","2,220","2,441"
OPM %,64%,32%,36%,40%,50%,53%,53%
Other Income +,76,-565,638,8,3,14,33
Interest,200,246,278,396,620,822,977
Depreciation,15,50,71,89,136,94,113
Profit before tax,360,-417,935,406,812,"1,318","1,385"
Tax %,21%,14%,8%,25%,23%,25%,25%
Net Profit +,286,-475,857,305,625,985,"1,040"
EPS in Rs,,,,,35.43,54.82,57.19
Dividend Payout %,0%,0%,0%,0%,0%,53%,24%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,26,35,35,35,35,36,36
Reserves,"1,056","1,592","1,896","2,219","2,859","3,454","4,085"
Borrowings +,"1,287","1,428","3,549","5,413","6,746","7,839","11,544"
Other Liabilities +,"2,841","4,397","5,119","5,048","10,747","17,059","18,827"
Total Liabilities,"5,211","7,451","10,598","12,716","20,387","28,388","34,491"
Fixed Assets +,108,162,219,284,290,312,289
CWIP,4,22,18,25,8,5,0
Investments,665,25,70,170,170,221,358
Other Assets +,"4,434","7,242","10,292","12,237","19,920","27,850","33,844"
Total Assets,"5,211","7,451","10,598","12,716","20,387","28,388","34,491"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-500,"-1,108","-1,425","-1,865","-1,658",-371,"-3,014"
Cash from Investing Activity +,-112,-124,-81,-173,-79,-63,-128
Cash from Financing Activity +,235,877,"2,139","1,825","1,316",601,"3,181"
Net Cash Flow,-376,-354,633,-212,-422,166,40
Free Cash Flow,-516,"-1,127","-1,475","-1,942","-1,739",-403,"-3,041"
CFO/OP,-99%,-240%,-210%,-203%,-93%,-2%,-110%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,163,72,183,146,74,66,79
Inventory Days,"1,378",,,,,,
Days Payable,748,,,,,,
Cash Conversion Cycle,793,72,183,146,74,66,79
Working Capital Days,-912,-860,-503,-277,-966,"-1,234","-1,148"
ROCE %,,17%,14%,12%,17%,20%,17%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,56.19%,56.19%,55.95%,55.81%,55.68%,55.17%,54.93%,54.79%,54.74%,54.64%,54.20%,54.13%
FIIs +,9.40%,9.45%,7.16%,6.91%,6.73%,13.87%,15.46%,16.58%,17.14%,16.30%,16.39%,16.94%
DIIs +,0.79%,0.78%,0.92%,1.26%,1.43%,1.53%,4.71%,5.80%,6.35%,7.59%,8.37%,8.30%
Public +,32.17%,32.13%,35.95%,36.00%,36.15%,29.39%,24.90%,22.83%,21.77%,21.46%,21.04%,20.62%
Others +,1.43%,1.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
No. of Shareholders,"95,067","94,906","78,627","79,220","92,591","1,10,219","1,28,525","1,33,244","1,23,779","1,31,029","1,26,810","1,22,511"

--- CAGR BOXES ---




