--- ABOUT ---
"KFin Technologies Limited is a leading technology-driven financial services platform. The company provides services and solutions to asset managers and corporate issuers across asset classes in India and provides several investor solutions including transaction origination and processing for mutual funds and private retirement schemes in Malaysia, the Philippines and Hong Kong. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"15,820",915,"1,388",44.8

Book Value,Dividend Yield,ROCE,ROE
97.0,1.31,30.5,22.9

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,183,182,209,219,228,238,280,290,283,274,309,371,347
Expenses +,99,112,116,121,125,138,154,159,160,160,174,219,219
Operating Profit,84,70,93,98,104,100,127,131,122,114,136,152,128
OPM %,46%,39%,45%,45%,45%,42%,45%,45%,43%,41%,44%,41%,37%
Other Income +,6,5,6,6,7,8,11,9,10,10,11,-2,11
Interest,3,3,3,1,1,1,1,1,1,1,1,1,1
Depreciation,11,12,13,13,15,15,17,16,17,18,18,23,27
Profit before tax,76,60,84,89,94,92,119,122,114,105,127,125,111
Tax %,25%,28%,27%,25%,21%,26%,25%,26%,26%,26%,26%,27%,27%
Net Profit +,57,43,61,67,74,68,89,90,85,77,93,92,81
EPS in Rs,3.37,2.55,3.61,3.92,4.36,3.97,5.21,5.25,4.94,4.49,5.42,5.33,4.70
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,162,450,481,640,720,838,"1,091","1,301"
Expenses +,97,291,269,352,422,473,612,773
Operating Profit,66,159,212,288,298,364,479,529
OPM %,40%,35%,44%,45%,41%,43%,44%,41%
Other Income +,2,5,5,6,17,25,38,30
Interest,20,53,52,53,11,9,5,5
Depreciation,34,92,98,37,47,53,64,86
Profit before tax,14,19,68,204,258,327,448,468
Tax %,35%,76%,196%,27%,24%,25%,26%,27%
Net Profit +,9,5,-65,149,196,246,333,344
EPS in Rs,0.54,0.30,-4.28,8.87,11.57,14.39,19.33,19.92
Dividend Payout %,0%,0%,0%,0%,0%,40%,39%,60%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,166,151,151,168,169,171,172,173
Reserves,353,259,196,477,701,970,"1,236","1,501"
Borrowings +,435,413,383,160,160,49,47,55
Other Liabilities +,68,46,194,222,220,229,296,"1,045"
Total Liabilities,"1,022",868,923,"1,026","1,250","1,418","1,750","2,774"
Fixed Assets +,732,691,630,669,691,764,803,"1,834"
CWIP,0,0,3,35,40,37,29,5
Investments,112,14,95,93,229,150,462,239
Other Assets +,178,163,196,230,291,467,456,695
Total Assets,"1,022",868,923,"1,026","1,250","1,418","1,750","2,774"

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,63,101,205,253,223,289,399,370
Cash from Investing Activity +,-816,94,-104,-115,-204,-178,-322,-203
Cash from Financing Activity +,775,-206,-89,-115,7,-127,-95,-134
Net Cash Flow,23,-11,11,22,27,-15,-18,33
Free Cash Flow,58,94,175,185,154,204,313,259
CFO/OP,124%,83%,98%,105%,94%,97%,103%,90%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,198,72,84,64,64,66,64,76
Inventory Days,,,,,,,,
Days Payable,,,,,,,,
Cash Conversion Cycle,198,72,84,64,64,66,64,76
Working Capital Days,-13,16,5,22,-34,34,31,115
ROCE %,,8%,15%,34%,29%,30%,33%,30%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,49.22%,49.12%,39.05%,38.97%,33.06%,33.04%,32.96%,32.91%,22.90%,22.89%,22.87%,22.86%
FIIs +,8.08%,9.22%,12.13%,16.73%,22.80%,24.61%,25.40%,22.56%,27.81%,25.53%,26.16%,26.26%
DIIs +,23.42%,22.05%,24.64%,20.98%,21.47%,20.61%,19.42%,20.37%,23.71%,24.81%,24.88%,25.22%
Public +,19.29%,19.61%,24.18%,23.31%,22.67%,21.74%,22.22%,24.15%,25.59%,26.76%,26.11%,25.66%
No. of Shareholders,"78,772","66,799","89,509","91,348","98,126","1,27,866","1,64,610","2,27,756","2,43,537","2,63,696","2,55,939","2,45,764"

--- CAGR BOXES ---




