--- ABOUT ---
"Incorporated in 2016, Honasa Consumer Limited (HCL) provides beauty and personal care products through its digital platform. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"13,608",417,438,66.8

Book Value,Dividend Yield,ROCE,ROE
43.4,0.00,19.2,15.7

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,388,464,496,488,471,554,462,518,534,595,538,602,657
Expenses +,391,435,456,454,438,508,493,491,507,549,490,536,580
Operating Profit,-3,29,40,34,33,46,-31,26,27,46,48,65,77
OPM %,-1%,6%,8%,7%,7%,8%,-7%,5%,5%,8%,9%,11%,12%
Other Income +,-148,13,7,11,19,19,20,19,21,24,20,16,19
Interest,2,1,2,3,3,3,3,3,3,3,3,3,3
Depreciation,8,6,6,8,10,9,11,13,12,11,12,11,11
Profit before tax,-161,34,39,35,39,52,-24,29,32,56,53,67,82
Tax %,1%,27%,25%,25%,22%,23%,-24%,12%,22%,26%,26%,25%,15%
Net Profit +,-162,25,29,26,30,40,-19,26,25,41,39,50,69
EPS in Rs,-11.73,1.90,2.16,0.80,0.94,1.24,-0.57,0.80,0.77,1.27,1.21,1.54,2.13
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,460,943,"1,493","1,920","2,067","2,392"
Expenses +,"1,794",932,"1,470","1,782","1,998","2,156"
Operating Profit,"-1,334",12,23,138,69,236
OPM %,-290%,1%,2%,7%,3%,10%
Other Income +,12,21,-132,49,79,79
Interest,1,3,7,9,13,13
Depreciation,2,7,25,31,45,44
Profit before tax,"-1,325",22,-141,147,90,257
Tax %,1%,36%,7%,25%,19%,22%
Net Profit +,"-1,332",14,-151,111,73,200
EPS in Rs,"-1,306,098.04","15,262.14",-10.47,3.45,2.24,6.15
Dividend Payout %,0%,0%,0%,0%,0%,49%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.01,0.01,136,324,325,325
Reserves,"-1,765","-1,087","-1,323",771,855,"1,086"
Borrowings +,"1,954","1,853","1,885",131,136,135
Other Liabilities +,114,271,278,413,492,545
Total Liabilities,303,"1,036",976,"1,640","1,808","2,092"
Fixed Assets +,21,342,252,299,302,489
CWIP,0,2,0,0,0,0
Investments,164,339,260,292,305,272
Other Assets +,117,354,464,"1,049","1,201","1,331"
Total Assets,303,"1,036",976,"1,640","1,808","2,092"

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,30,45,-52,235,102,141
Cash from Investing Activity +,-21,-505,40,-470,-145,-17
Cash from Financing Activity +,-1,481,-14,337,-31,-38
Net Cash Flow,8,21,-26,102,-74,86
Free Cash Flow,29,42,-63,224,82,134
CFO/OP,-3%,470%,-172%,194%,142%,85%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,27,28,31,30,23,30
Inventory Days,114,86,101,83,105,84
Days Payable,221,219,161,185,212,193
Cash Conversion Cycle,-80,-105,-28,-71,-84,-78
Working Capital Days,-2,-12,8,-10,-17,27
ROCE %,,5%,3%,16%,8%,19%

--- SHAREHOLDING PATTERN ---
,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,35.34%,35.07%,35.07%,34.98%,35.03%,34.99%,34.99%,34.97%,35.54%,35.54%
FIIs +,10.12%,12.22%,13.95%,19.31%,15.44%,15.55%,16.09%,15.50%,14.62%,13.74%
DIIs +,17.58%,15.91%,17.36%,17.49%,18.45%,18.49%,18.90%,19.15%,18.64%,19.24%
Public +,36.96%,36.80%,33.62%,28.23%,31.07%,30.97%,30.02%,30.36%,31.19%,31.48%
No. of Shareholders,"53,186","51,095","44,824","65,724","94,585","92,008","81,090","81,841","82,091","78,187"

--- CAGR BOXES ---




