--- ABOUT ---
"Adani Power (APL), a part of the diversified Adani Group, is the largest private thermal power producer in India. The co along with its subsidiaries sell power generated from these projects under a combination of long term Power Purchase Agreements, Short term PPA and on merchant basis. [1] [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,46,942",232,254,35.0

Book Value,Dividend Yield,ROCE,ROE
33.7,0.00,17.2,21.1

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"10,242","11,006","12,991","12,991","13,364","14,956","13,339","13,671","14,237","14,109","13,457","12,451","14,223"
Expenses +,"8,335","7,491","7,819","8,346","8,514","8,761","8,063","8,648","9,425","8,424","8,307","8,213","9,491"
Operating Profit,"1,907","3,514","5,171","4,645","4,850","6,194","5,276","5,023","4,813","5,685","5,150","4,238","4,732"
OPM %,19%,32%,40%,36%,36%,41%,40%,37%,34%,40%,38%,34%,33%
Other Income +,553,"7,103","1,945",364,518,518,724,"1,162",298,465,851,543,"1,766"
Interest,746,883,888,797,820,811,807,957,765,857,842,701,967
Depreciation,817,935,"1,004","1,002",990,996,"1,059","1,170","1,085","1,089","1,193","1,135","1,147"
Profit before tax,898,"8,800","5,224","3,210","3,558","4,906","4,134","4,059","3,261","4,204","3,966","2,945","4,384"
Tax %,-484%,0%,-26%,15%,23%,20%,20%,28%,20%,21%,27%,16%,3%
Net Profit +,"5,242","8,759","6,594","2,738","2,737","3,913","3,298","2,940","2,599","3,305","2,906","2,488","4,271"
EPS in Rs,2.72,4.54,3.42,1.42,1.42,2.03,1.73,1.59,1.37,1.76,1.53,1.29,2.08
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"18,683","25,377","22,616","20,304","23,884","26,468","26,221","27,711","38,773","50,351","56,203","54,241"
Expenses +,"14,005","16,575","16,635","14,868","18,901","20,734","17,533","17,830","28,677","32,124","34,785","34,434"
Operating Profit,"4,678","8,802","5,980","5,436","4,983","5,734","8,688","9,881","10,096","18,228","21,418","19,806"
OPM %,25%,35%,26%,27%,21%,22%,33%,36%,26%,36%,38%,37%
Other Income +,"1,188",-201,"-3,666",754,"2,448",323,"1,909","3,908","4,216","9,883","2,590","3,625"
Interest,"4,864","5,560","5,902","5,570","5,657","5,315","5,106","4,095","3,334","3,388","3,340","3,367"
Depreciation,"1,818","2,666","2,672","2,699","2,751","3,006","3,202","3,118","3,304","3,931","4,309","4,565"
Profit before tax,-816,375,"-6,260","-2,079",-976,"-2,265","2,289","6,577","7,675","20,792","16,360","15,500"
Tax %,0%,-47%,-1%,-0%,1%,0%,45%,25%,-40%,-0%,22%,16%
Net Profit +,-816,551,"-6,174","-2,103",-984,"-2,275","1,270","4,912","10,727","20,829","12,750","12,971"
EPS in Rs,-0.57,0.33,-3.20,-1.09,-0.51,-1.18,0.66,2.55,5.56,10.80,6.71,6.66
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,"2,872","3,334","3,857","3,857","3,857","3,857","3,857","3,857","3,857","3,857","3,857","3,857"
