--- ABOUT ---
"Aditya Infotech Limited (AIL) manufactures and provides video security and surveillance products, solutions, and services under the brand name 'CP Plus'. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"42,872","3,638","3,714",117

Book Value,Dividend Yield,ROCE,ROE
159,0.00,29.6,25.4

Face Value
1.00

--- QUARTERLY RESULTS ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,636,669,830,977,740,920,"1,139","1,422"
Expenses +,595,630,760,879,679,811,999,"1,165"
Operating Profit,41,39,69,98,61,109,140,257
OPM %,6%,6%,8%,10%,8%,12%,12%,18%
Other Income +,3,252,4,0,4,3,5,2
Interest,9,10,11,12,11,7,5,8
Depreciation,4,6,9,12,10,11,12,23
Profit before tax,30,277,53,74,44,94,127,228
Tax %,26%,15%,24%,26%,25%,25%,25%,26%
Net Profit +,23,234,40,55,33,70,96,169
EPS in Rs,2.20,21.28,3.66,5.01,2.99,5.97,8.17,14.36
Raw PDF,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,238","1,149","1,646","2,285","2,782","3,112","4,221"
Expenses +,"1,181","1,093","1,513","2,124","2,559","2,864","3,655"
Operating Profit,57,56,133,161,223,248,566
OPM %,5%,5%,8%,7%,8%,8%,13%
Other Income +,5,12,24,15,-12,259,13
Interest,37,26,20,23,31,42,30
Depreciation,5,6,8,9,16,31,56
Profit before tax,21,35,129,143,165,434,493
Tax %,15%,28%,25%,24%,30%,19%,25%
Net Profit +,17,29,97,108,115,351,368
EPS in Rs,69.72,117.32,387.72,528.34,561.80,32.00,31.24
Dividend Payout %,0%,3%,1%,0%,0%,0%,5%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,2,2,2,2,11,12
Reserves,162,189,284,310,422,"1,007","1,865"
Borrowings +,269,147,190,427,436,457,180
Other Liabilities +,342,364,738,970,784,"1,700","1,934"
Total Liabilities,775,703,"1,214","1,709","1,644","3,175","3,991"
Fixed Assets +,66,56,55,65,70,740,826
CWIP,0,0,4,7,16,30,71
Investments,0,17,30,30,1,1,1
Other Assets +,708,630,"1,126","1,607","1,558","2,404","3,093"
Total Assets,775,703,"1,214","1,709","1,644","3,175","3,991"

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,80,262,44,56,-180,27,13
Cash from Investing Activity +,-24,3,-89,-122,116,88,-141
Cash from Financing Activity +,-100,-144,20,109,-44,-19,156
Net Cash Flow,-44,122,-25,43,-108,96,29
Free Cash Flow,78,259,37,49,-187,1,-120
CFO/OP,184%,451%,49%,61%,-58%,32%,22%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,98,120,116,98,96,122,121
Inventory Days,99,27,82,98,82,118,134
Days Payable,119,120,179,175,96,189,194
Cash Conversion Cycle,78,27,19,22,82,51,61
Working Capital Days,24,-8,7,-21,39,9,74
ROCE %,,16%,35%,28%,28%,19%,30%

--- SHAREHOLDING PATTERN ---
,Sep 2025,Dec 2025,Mar 2026
Promoters +,77.12%,76.91%,74.75%
FIIs +,4.44%,4.37%,5.72%
DIIs +,10.06%,10.19%,14.75%
Public +,8.38%,8.53%,4.78%
No. of Shareholders,"39,981","38,806","36,773"

--- CAGR BOXES ---




