--- ABOUT ---
"Max India is the holding company of Max Group’s Senior Care business Antara, an integrated service provider for all senior care needs. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
882,168,242,

Book Value,Dividend Yield,ROCE,ROE
77.7,0.00,-23.2,-33.0

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,56,41,49,41,45,26,43,35,42,37,45,43,66
Expenses +,55,53,54,58,66,54,64,64,82,65,76,79,81
Operating Profit,1,-12,-5,-17,-21,-28,-21,-30,-41,-28,-31,-36,-15
OPM %,2%,-31%,-9%,-43%,-46%,-106%,-49%,-85%,-98%,-76%,-69%,-83%,-23%
Other Income +,4,6,6,5,5,6,5,-8,4,13,5,4,6
Interest,2,1,1,1,1,1,2,2,3,4,4,3,3
Depreciation,2,2,2,2,3,4,5,5,5,6,6,6,7
Profit before tax,1,-10,-2,-17,-20,-27,-22,-44,-45,-25,-36,-41,-19
Tax %,388%,19%,160%,8%,6%,0%,3%,0%,2%,4%,-5%,3%,2%
Net Profit +,-4,-12,-5,-18,-22,-27,-23,-45,-46,-26,-34,-43,-19
EPS in Rs,-0.82,-2.38,-0.91,-3.48,-4.20,-5.25,-4.42,-8.68,-8.88,-4.91,-6.52,-8.17,-3.67
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,213,128,233,212,191,163,191
Expenses +,266,150,233,202,229,264,300
Operating Profit,-53,-22,1,10,-38,-101,-110
OPM %,-25%,-17%,0%,5%,-20%,-62%,-58%
Other Income +,325,-7,-1,1,4,-10,28
Interest,27,24,10,6,5,8,14
Depreciation,8,10,7,8,10,19,25
Profit before tax,237,-64,-18,-3,-49,-139,-121
Tax %,2%,-17%,-11%,245%,15%,1%,1%
Net Profit +,232,-53,-16,-10,-56,-140,-122
EPS in Rs,"29,706.00",-8.30,-2.52,-2.03,-10.97,-27.05,-23.20
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,54,54,54,43,43,44,53
Reserves,652,599,588,499,449,315,356
Borrowings +,182,145,61,45,44,102,97
Other Liabilities +,136,198,156,166,148,172,164
Total Liabilities,"1,024",996,858,753,684,633,669
Fixed Assets +,144,156,159,159,193,170,194
CWIP,1,0,0,0,10,21,2
Investments,414,334,178,83,63,53,34
Other Assets +,465,506,522,511,418,389,438
Total Assets,"1,024",996,858,753,684,633,669

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-19,73,66,69,-102,-128,-95
Cash from Investing Activity +,-526,13,18,124,159,47,-50
Cash from Financing Activity +,557,-73,-94,-119,-29,-13,148
Net Cash Flow,12,12,-10,75,27,-93,4
Free Cash Flow,-209,61,64,66,-131,-163,-127
CFO/OP,-15%,-326%,"7,765%",690%,241%,126%,83%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,24,21,9,5,9,50,71
Inventory Days,"1,682","6,515",384,223,38,186,107
Days Payable,149,631,28,48,148,346,237
Cash Conversion Cycle,"1,557","5,906",365,180,-100,-111,-59
Working Capital Days,493,581,342,249,-99,-93,273
ROCE %,,-4%,-0%,1%,-8%,-24%,-23%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,51.11%,50.94%,50.94%,50.94%,50.94%,50.94%,50.94%,50.45%,50.16%,50.06%,49.89%,49.83%
FIIs +,10.71%,10.59%,10.32%,9.54%,9.01%,7.41%,6.77%,6.63%,7.13%,7.08%,7.09%,7.07%
DIIs +,0.00%,0.69%,0.69%,0.81%,0.81%,0.81%,0.94%,0.80%,0.98%,1.43%,1.58%,1.62%
Public +,38.18%,37.77%,38.04%,38.70%,39.23%,40.83%,41.35%,42.11%,41.72%,41.45%,41.44%,41.48%
No. of Shareholders,"36,356","36,563","35,888","40,367","38,876","39,886","40,417","39,918","40,090","39,796","38,508","37,492"

--- CAGR BOXES ---




