--- ABOUT ---
"Incorporated in 2020, Revathi Equipment India Ltd designs and manufactures drilling rigs (drilling equipment) [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
215,702,"1,300",15.4

Book Value,Dividend Yield,ROCE,ROE
458,0.00,15.0,10.5

Face Value
10.0

--- QUARTERLY RESULTS ---
,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,56,108,52,20,42,64,22,23,32,66
Expenses +,44,86,43,18,38,50,22,24,32,47
Operating Profit,11,22,9,2,4,14,0,-1,0,19
OPM %,20%,20%,17%,8%,11%,22%,0%,-4%,0%,29%
Other Income +,2,2,4,3,-0,3,4,4,3,1
Interest,1,2,2,2,3,3,2,2,3,2
Depreciation,0,0,0,0,0,0,1,1,1,1
Profit before tax,12,22,10,3,0,14,1,0,-0,17
Tax %,28%,19%,23%,3%,58%,34%,46%,-31%,198%,18%
Net Profit +,8,17,8,3,0,9,1,0,-1,14
EPS in Rs,,,25.89,8.80,0.65,30.45,1.86,1.37,-4.56,46.46
Raw PDF,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Sales +,132,181,212,179,143
Expenses +,125,164,173,148,125
Operating Profit,7,17,40,30,18
OPM %,5%,10%,19%,17%,13%
Other Income +,6,9,9,10,13
Interest,4,6,6,11,9
Depreciation,2,2,1,2,4
Profit before tax,7,18,41,28,18
Tax %,63%,26%,24%,27%,24%
Net Profit +,3,13,31,20,14
EPS in Rs,,,,65.80,45.13
Dividend Payout %,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Equity Capital,3,3,3,3,3
Reserves,180,193,104,123,137
Borrowings +,35,29,31,37,68
Other Liabilities +,93,94,101,75,59
Total Liabilities,310,318,238,238,268
Fixed Assets +,70,70,8,38,45
CWIP,0,0,6,0,0
Investments,10,50,56,77,58
Other Assets +,230,198,168,123,164
Total Assets,310,318,238,238,268

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-6,47,44,28,-30
Cash from Investing Activity +,-9,-29,-31,-36,9
Cash from Financing Activity +,11,-12,-8,-4,22
Net Cash Flow,-4,6,6,-12,1
Free Cash Flow,-8,45,33,4,-43
CFO/OP,-133%,293%,121%,124%,-125%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Debtor Days,200,81,58,51,156
Inventory Days,348,214,252,257,361
Days Payable,308,138,131,111,211
Cash Conversion Cycle,240,157,180,198,307
Working Capital Days,221,79,35,16,221
ROCE %,,10%,,26%,15%

--- SHAREHOLDING PATTERN ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,63.84%,63.84%,63.84%,63.84%,63.90%,63.90%,63.90%
FIIs +,0.06%,0.04%,0.04%,0.00%,0.00%,0.00%,0.00%
Public +,36.10%,36.11%,36.11%,36.15%,36.10%,36.09%,36.09%
No. of Shareholders,"4,975","5,402","5,533","5,769","5,714","5,702","5,590"

--- CAGR BOXES ---




