--- ABOUT ---
"Welspun Living Limited, part of the US$ 2.7 billion Welspun Group, is one of the largest home textile manufacturers in the world. The Company offers a wide spectrum of Home & Technical textile products and Flooring solutions.  The Company has established itself as a thought leader within the home textile industry over the years and continue to focus on the enablers viz. Innovation, Branding and Sustainability to consolidate its leadership position. [1] It manufactures a wide range of home textile products ranging from towels, bath robes to sheets, tob and basic& fashion bedding. It also entered into the business of carpets flooring solutions recently. [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"15,560",162,166,71.4

Book Value,Dividend Yield,ROCE,ROE
51.3,0.06,6.25,4.47

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"2,154","2,184","2,509","2,411","2,575","2,536","2,873","2,490","2,646","2,261","2,441","2,262","2,435"
Expenses +,"1,875","1,874","2,151","2,072","2,217","2,195","2,515","2,209","2,330","2,035","2,288","2,102","2,186"
Operating Profit,278,310,358,339,359,342,358,280,316,225,153,160,249
OPM %,13%,14%,14%,14%,14%,13%,12%,11%,12%,10%,6%,7%,10%
Other Income +,42,31,33,43,42,52,63,38,2,29,15,-5,16
Interest,33,26,34,42,52,43,55,62,57,42,43,39,37
Depreciation,114,99,98,100,96,97,86,98,93,88,101,102,103
Profit before tax,173,216,259,240,252,253,280,158,168,124,24,14,125
Tax %,26%,25%,23%,25%,48%,27%,28%,22%,21%,28%,38%,82%,15%
Net Profit +,129,163,200,179,131,186,202,123,133,89,15,3,106
EPS in Rs,1.25,1.66,2.02,1.82,1.50,1.91,2.10,1.26,1.37,0.91,0.14,0.00,1.08
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"5,264","5,924","6,638","6,050","6,527","6,741","7,340","9,311","8,094","9,679","10,545","9,399"
Expenses +,"3,987","4,325","5,054","4,926","5,458","5,526","5,988","7,950","7,341","8,310","9,246","8,606"
Operating Profit,"1,278","1,599","1,584","1,124","1,068","1,215","1,352","1,362",753,"1,369","1,299",793
OPM %,24%,27%,24%,19%,16%,18%,18%,15%,9%,14%,12%,8%
Other Income +,91,84,-384,81,-187,139,68,63,121,146,152,50
Interest,283,237,158,141,159,178,198,131,130,153,217,161
Depreciation,333,372,505,504,436,481,454,420,442,394,373,394
Profit before tax,753,"1,074",536,560,287,694,769,873,302,967,860,287
Tax %,28%,30%,32%,29%,21%,24%,28%,30%,33%,30%,25%,26%
Net Profit +,544,749,362,398,226,524,551,607,203,673,644,213
EPS in Rs,5.37,7.33,3.56,3.83,2.09,5.05,5.37,5.98,1.98,7.01,6.66,2.13
Dividend Payout %,20%,18%,18%,17%,14%,20%,3%,2%,5%,1%,3%,5%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,100,100,100,100,100,100,100,99,99,97,96,96
Reserves,"1,331","1,870","2,297","2,505","2,679","2,872","3,544","3,873","3,989","4,419","4,725","4,821"
Borrowings +,"3,085","3,248","3,311","3,281","3,310","3,521","2,940","3,304","2,462","2,632","2,762","2,315"
Other Liabilities +,"1,178","1,258","1,550","1,301","1,593","1,701","1,981","2,036","1,978","2,337","2,684","3,223"
Total Liabilities,"5,695","6,476","7,258","7,187","7,682","8,194","8,566","9,312","8,527","9,485","10,267","10,455"
Fixed Assets +,"2,627","3,348","3,689","3,460","3,306","3,933","3,814","4,005","3,918","3,813","4,022","4,471"
CWIP,156,183,56,83,489,58,173,166,46,49,380,258
Investments,142,29,126,128,127,244,111,698,642,916,570,892
Other Assets +,"2,770","2,916","3,387","3,516","3,761","3,959","4,467","4,443","3,922","4,707","5,295","4,834"
Total Assets,"5,695","6,476","7,258","7,187","7,682","8,194","8,566","9,312","8,527","9,485","10,267","10,455"

--- CASH FLOW ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,939,"1,328",832,545,807,777,954,587,756,533,688,"1,175"
Cash from Investing Activity +,-606,-801,-715,-300,-540,-458,-97,-600,244,-210,58,-348
Cash from Financing Activity +,-325,-620,-99,-250,-232,-269,-762,-55,"-1,086",-269,-663,-975
Net Cash Flow,8,-93,18,-5,35,51,94,-68,-86,55,83,-148
Free Cash Flow,362,273,135,214,74,287,533,81,511,274,-7,726
CFO/OP,87%,98%,59%,60%,87%,77%,78%,55%,112%,47%,66%,160%

--- RATIOS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,31,52,53,56,60,59,59,39,43,47,57,51
Inventory Days,158,152,168,172,158,184,180,151,168,158,150,157
Days Payable,99,91,98,85,83,108,111,71,74,69,77,99
Cash Conversion Cycle,90,113,122,143,135,135,128,119,137,136,130,108
Working Capital Days,-12,14,39,47,26,8,29,14,42,40,47,68
ROCE %,24%,27%,21%,12%,11%,13%,15%,14%,6%,16%,14%,6%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
