--- ABOUT ---
"Krystal Integrated Services is an integrated facilities management service (FMS) company, with a focus on healthcare, education, and public administration. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
850,608,730,13.2

Book Value,Dividend Yield,ROCE,ROE
357,0.25,15.9,13.7

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,192,217,235,283,292,257,266,276,413,323,283,306,365
Expenses +,183,203,218,264,273,241,249,259,386,302,265,285,341
Operating Profit,10,14,17,19,19,16,17,18,27,21,18,20,24
OPM %,5%,7%,7%,7%,6%,6%,6%,6%,6%,7%,6%,7%,7%
Other Income +,2,1,3,2,2,5,4,4,4,4,4,5,6
Interest,3,3,3,3,3,3,2,2,3,3,4,4,5
Depreciation,2,2,2,2,2,2,2,2,2,3,3,3,3
Profit before tax,7,11,15,16,16,16,16,17,26,19,16,18,22
Tax %,-25%,20%,19%,19%,4%,8%,7%,12%,34%,15%,17%,13%,13%
Net Profit +,9,9,12,13,16,15,15,15,17,16,13,16,19
EPS in Rs,11.23,15.12,7.21,7.78,7.84,7.66,7.58,10.84,12.12,8.23,9.43,11.38,13.49
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,468,550,703,"1,022","1,206","1,277"
Expenses +,440,510,653,953,"1,128","1,194"
Operating Profit,28,39,50,69,78,84
OPM %,6%,7%,7%,7%,6%,7%
Other Income +,3,8,8,8,16,19
Interest,10,10,10,12,10,16
Depreciation,5,4,5,7,9,12
Profit before tax,16,32,44,58,76,75
Tax %,-2%,19%,12%,15%,17%,14%
Net Profit +,17,26,38,49,63,64
EPS in Rs,29.19,45.59,46.67,24.57,31.30,46.06
Dividend Payout %,0%,0%,0%,6%,0%,3%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,6,6,6,14,14,14
Reserves,130,158,158,362,423,485
Borrowings +,68,74,51,88,91,120
Other Liabilities +,134,167,130,183,232,223
Total Liabilities,338,404,343,647,761,842
Fixed Assets +,13,11,81,83,101,105
CWIP,60,60,0,0,0,0
Investments,1,2,3,3,9,8
Other Assets +,264,331,260,561,650,728
Total Assets,338,404,343,647,761,842

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,8,20,72,2,-32,26
Cash from Investing Activity +,18,-18,-32,-115,-34,-22
Cash from Financing Activity +,-27,-3,-31,192,-4,11
Net Cash Flow,-1,-1,9,79,-70,15
Free Cash Flow,12,10,68,-10,-64,11
CFO/OP,56%,74%,146%,18%,-24%,38%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,156,160,78,83,110,118
Inventory Days,,,,1,3,3
Days Payable,,,,126,138,106
Cash Conversion Cycle,156,160,78,-42,-25,15
Working Capital Days,37,36,15,20,59,77
ROCE %,,17%,22%,21%,17%,16%

--- SHAREHOLDING PATTERN ---
,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,69.96%,69.96%,69.96%,69.96%,69.96%,69.96%,69.96%,69.96%,69.96%
FIIs +,7.95%,2.98%,0.74%,0.72%,2.09%,1.86%,1.96%,1.79%,1.25%
DIIs +,5.81%,5.66%,5.11%,5.02%,3.78%,4.20%,4.23%,4.23%,3.76%
Public +,16.28%,21.38%,24.20%,24.29%,24.17%,23.98%,23.85%,24.02%,25.02%
No. of Shareholders,"30,256","23,956","29,240","28,655","28,272","27,142","25,372","24,489","22,566"

--- CAGR BOXES ---




