--- ABOUT ---
"Incorporated in 2025, Bluspring Enterprises Ltd is in the business as an infrastructure services company [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,661",111,120 / 42.0,

Book Value,Dividend Yield,ROCE,ROE
44.8,0.00,5.14,-0.08

Face Value
10.0

--- QUARTERLY RESULTS ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,770.43,790.92,801.51,797.23,857.48,862.53,864.80
Expenses +,747.86,770.18,796.76,785.56,840.13,838.55,839.67
Operating Profit,22.57,20.74,4.75,11.67,17.35,23.98,25.13
OPM %,2.93%,2.62%,0.59%,1.46%,2.02%,2.78%,2.91%
Other Income +,2.13,-154.37,-5.75,-0.40,5.29,-27.76,1.11
Interest,11.73,6.90,7.93,7.49,7.79,11.06,7.48
Depreciation,11.53,11.45,11.47,12.29,12.69,11.21,10.80
Profit before tax,1.44,-151.98,-20.40,-8.51,2.16,-26.05,7.96
Tax %,-24.31%,4.05%,13.92%,-15.86%,-62.96%,-10.79%,51.88%
Net Profit +,1.78,-158.13,-23.24,-7.15,3.52,-23.24,3.82
EPS in Rs,,,,-0.32,0.35,-1.34,0.28
Raw PDF,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2024 11m,Dec 2024 11m,Mar 2025,Mar 2026
Sales +,"2,682","2,682","3,484","3,382"
Expenses +,"2,604","2,604","3,401","3,304"
Operating Profit,78,78,83,78
OPM %,3%,3%,2%,2%
Other Income +,-158,-158,-163,-22
Interest,30,30,38,34
Depreciation,39,39,50,47
Profit before tax,-149,-149,-170,-24
Tax %,4%,4%,6%,-6%
Net Profit +,-156,-156,-179,-23
EPS in Rs,,,,-1.03
Dividend Payout %,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2024,Dec 2024,Mar 2025,Mar 2026
Equity Capital,0.00,149,149,149
Reserves,569,569,546,519
Borrowings +,160,160,140,136
Other Liabilities +,803,654,695,886
Total Liabilities,"1,532","1,532","1,530","1,690"
Fixed Assets +,495,495,502,521
CWIP,7,7,7,0
Investments,35,35,35,35
Other Assets +,995,995,986,"1,135"
Total Assets,"1,532","1,532","1,530","1,690"

--- CASH FLOW ---
,Mar 2024,Dec 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-84,-84,-22,5
Cash from Investing Activity +,-17,-17,146,-2
Cash from Financing Activity +,-30,-30,-68,-4
Net Cash Flow,-130,-130,56,-1
Free Cash Flow,-104,-104,-49,2
CFO/OP,-75%,-75%,7%,12%

--- RATIOS ---
,Mar 2024,Dec 2024,Mar 2025,Mar 2026
Debtor Days,109,109,81,59
Inventory Days,14,14,,10
Days Payable,76,76,,177
Cash Conversion Cycle,47,47,81,-109
Working Capital Days,34,34,23,21
ROCE %,,,4%,5%

--- SHAREHOLDING PATTERN ---
,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,58.24%,58.24%,58.24%,58.16%
FIIs +,8.83%,5.83%,5.49%,5.71%
DIIs +,8.41%,8.95%,8.81%,8.71%
Public +,24.50%,26.98%,27.47%,27.40%
No. of Shareholders,"1,15,089","1,07,788","1,01,112","87,200"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,%
5 Years:,%
3 Years:,%
TTM:,-3%

Compounded Profit Growth
10 Years:,%
5 Years:,%
3 Years:,%
TTM:,98%

Stock Price CAGR
10 Years:,%
5 Years:,%
3 Years:,%
1 Year:,51%

Return on Equity
10 Years:,%
5 Years:,%
3 Years:,-1%
Last Year:,0%

