--- ABOUT ---
"Incorporated in 2021, Arisinfra Solutions Ltd provides construction materials to real estate and infrastructure developers and contractors [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
986,121,209,18.1

Book Value,Dividend Yield,ROCE,ROE
90.4,0.00,15.6,11.2

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,206,190,174,182,221,212,241,271,343
Expenses +,216,176,161,170,211,194,219,241,313
Operating Profit,-10,15,13,12,10,18,23,30,30
OPM %,-5%,8%,8%,7%,5%,9%,9%,11%,9%
Other Income +,1,4,-2,2,3,1,2,2,6
Interest,8,9,11,11,11,12,5,5,6
Depreciation,1,1,1,1,1,1,1,1,2
Profit before tax,-18,9,-0,3,1,6,19,25,29
Tax %,1%,28%,321%,35%,177%,19%,19%,26%,25%
Net Profit +,-18,6,-2,2,-1,5,15,18,22
EPS in Rs,-171.62,52.16,-0.65,0.08,-0.23,0.41,1.76,1.88,2.43
Raw PDF,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,452,746,697,768,"1,067"
Expenses +,453,747,684,718,967
Operating Profit,-1,-1,13,50,101
OPM %,-0%,-0%,2%,7%,9%
Other Income +,1,8,6,7,10
Interest,5,24,32,41,28
Depreciation,1,2,3,3,4
Profit before tax,-5,-18,-17,12,79
Tax %,19%,-16%,3%,51%,23%
Net Profit +,-6,-15,-17,6,60
EPS in Rs,-53.36,-122.30,-160.17,0.35,6.45
Dividend Payout %,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,1,1,1,12,16
Reserves,139,104,140,219,723
Borrowings +,156,224,276,343,70
Other Liabilities +,38,66,76,122,232
Total Liabilities,334,395,493,697,"1,041"
Fixed Assets +,3,6,4,6,79
CWIP,0,9,25,41,1
Investments,0,0,0,0,0
Other Assets +,331,380,464,650,961
Total Assets,334,395,493,697,"1,041"

--- CASH FLOW ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-269,-14,3,-21,142
Cash from Investing Activity +,-7,-43,-37,-62,-176
Cash from Financing Activity +,291,42,31,83,135
Net Cash Flow,15,-15,-2,-0,101
Free Cash Flow,-271,-24,-8,-37,120
CFO/OP,"24,702%","1,659%",48%,-38%,155%

--- RATIOS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,211,135,168,155,140
Inventory Days,1,1,1,1,2
Days Payable,23,16,27,39,71
Cash Conversion Cycle,189,119,142,118,71
Working Capital Days,116,81,90,66,110
ROCE %,,2%,4%,12%,16%

--- SHAREHOLDING PATTERN ---
,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,37.93%,37.93%,37.73%,37.59%
FIIs +,9.79%,2.58%,1.30%,2.07%
DIIs +,6.27%,3.75%,3.72%,5.77%
Public +,45.99%,55.74%,57.23%,54.57%
No. of Shareholders,"42,706","37,750","34,066","32,716"

--- CAGR BOXES ---




