--- ABOUT ---
"Incorporated in 2016, IKIO Lighting Ltd manufactures and sells LED Lighting [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,253",162,253,33.1

Book Value,Dividend Yield,ROCE,ROE
77.9,0.00,9.46,6.51

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,115,108,118,117,95,127,125,122,112,120,164,146,165
Expenses +,92,86,91,91,78,110,103,107,106,109,146,124,139
Operating Profit,23,23,27,26,17,17,22,15,6,11,18,22,26
OPM %,20%,21%,23%,22%,18%,13%,18%,12%,6%,9%,11%,15%,16%
Other Income +,1,1,6,4,4,6,3,4,2,2,4,3,5
Interest,3,3,3,3,2,2,2,2,2,2,2,2,2
Depreciation,3,2,4,2,4,5,7,7,6,7,7,8,8
Profit before tax,18,19,26,25,15,16,17,9,1,4,13,15,21
Tax %,22%,26%,30%,24%,36%,21%,22%,17%,181%,44%,19%,27%,15%
Net Profit +,14,14,18,19,10,12,13,8,-1,2,11,11,18
EPS in Rs,2.13,1.79,2.36,2.45,1.23,1.60,1.68,1.02,-0.30,0.27,1.30,1.19,2.13
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,220,213,332,359,438,486,595
Expenses +,182,165,254,281,345,426,518
Operating Profit,38,48,77,78,93,60,78
OPM %,17%,23%,23%,22%,21%,12%,13%
Other Income +,2,1,2,3,15,15,15
Interest,5,4,5,9,12,8,8
Depreciation,4,5,5,6,12,24,31
Profit before tax,30,40,69,66,85,42,53
Tax %,29%,28%,27%,24%,28%,24%,22%
Net Profit +,21,29,51,50,61,32,42
EPS in Rs,"4,282.00","5,762.00",20.21,7.70,7.84,4.00,4.90
Dividend Payout %,0%,0%,0%,0%,13%,0%,0%

--- BALANCE SHEET ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.05,0.05,25,65,77,77,77
Reserves,36,63,84,77,476,483,525
Borrowings +,57,79,116,123,70,53,70
Other Liabilities +,52,32,40,46,35,65,95
Total Liabilities,145,174,265,311,658,678,767
Fixed Assets +,54,59,60,65,106,200,204
CWIP,1,4,9,27,72,48,96
Investments,0,0,0,0,0,0,0
Other Assets +,90,112,195,219,480,430,468
Total Assets,145,174,265,311,658,678,767

--- CASH FLOW ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,23,-9,-15,57,-5,35,16
Cash from Investing Activity +,3,-6,-9,-47,-249,-4,-13
Cash from Financing Activity +,-21,10,24,-8,266,-33,6
Net Cash Flow,5,-4,-1,2,12,-2,10
Free Cash Flow,26,-15,-25,37,-86,-59,-65
CFO/OP,92%,6%,0%,98%,26%,90%,37%

--- RATIOS ---
,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,49,56,61,74,81,85,82
Inventory Days,97,175,208,191,191,184,206
Days Payable,85,70,44,38,30,44,46
Cash Conversion Cycle,62,161,226,227,241,225,242
Working Capital Days,-3,66,87,54,157,144,138
ROCE %,,38%,41%,31%,22%,8%,9%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,72.46%,72.46%,72.46%,72.46%,72.50%,72.50%,72.50%,72.50%,72.50%,72.50%,72.50%,72.55%
FIIs +,5.06%,3.18%,1.51%,1.56%,0.71%,0.69%,0.66%,0.61%,0.60%,0.60%,0.61%,0.91%
DIIs +,7.21%,7.50%,7.10%,4.95%,5.12%,1.71%,1.74%,1.69%,1.69%,1.69%,1.71%,1.21%
Public +,15.27%,16.85%,18.93%,21.04%,21.68%,25.10%,25.09%,25.20%,25.21%,25.22%,25.18%,25.35%
No. of Shareholders,"1,03,722","1,02,006","1,14,600","1,24,136","1,17,356","1,14,827","1,12,189","1,07,330","1,04,321","1,02,392","98,726","95,552"

--- CAGR BOXES ---




