--- ABOUT ---
"Vijaya Diagnostics Centre limited is a leading diagnostic medicare services provider in Southern India and offers comprehensive services that include nuclear medicine, radiology, laboratory, health check-ups and medical services. The company provides its services across 13 cities through its 81 diagnostic centers and 11 reference laboratories. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"14,037","1,364","1,428",81.2

Book Value,Dividend Yield,ROCE,ROE
93.0,0.15,21.3,19.7

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,121,121,139,133,155,156,183,169,173,188,202,205,219
Expenses +,72,73,82,80,92,95,107,102,104,115,120,119,124
Operating Profit,49,48,57,52,63,61,76,67,69,74,82,86,96
OPM %,41%,40%,41%,39%,41%,39%,42%,40%,40%,39%,41%,42%,44%
Other Income +,5,6,7,3,3,4,5,5,5,7,6,5,2
Interest,6,6,6,6,6,6,6,7,7,7,8,9,9
Depreciation,11,12,14,15,16,17,17,18,19,21,22,24,24
Profit before tax,36,35,45,35,44,42,57,47,47,52,58,58,64
Tax %,24%,26%,25%,25%,23%,25%,26%,24%,26%,26%,25%,26%,25%
Net Profit +,28,26,34,26,34,32,42,35,35,39,43,43,48
EPS in Rs,2.69,2.57,3.26,2.53,3.27,3.06,4.10,3.43,3.40,3.76,4.21,4.20,4.66
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,251,293,339,377,462,459,548,681,814
Expenses +,171,184,206,211,259,277,327,408,477
Operating Profit,80,108,133,166,204,182,221,273,337
OPM %,32%,37%,39%,44%,44%,40%,40%,40%,41%
Other Income +,7,10,15,12,13,14,19,17,21
Interest,5,14,15,15,16,21,24,27,33
Depreciation,26,40,49,50,53,62,57,71,92
Profit before tax,55,65,83,112,147,114,159,193,233
Tax %,37%,29%,25%,24%,25%,25%,25%,26%,26%
Net Profit +,35,46,63,85,111,85,120,144,173
EPS in Rs,77.44,101.29,138.00,18.64,10.76,8.29,11.61,13.94,16.81
Dividend Payout %,0%,0%,0%,0%,9%,12%,9%,14%,12%

--- BALANCE SHEET ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,5,5,5,5,10,10,10,10,10
Reserves,157,203,270,354,458,535,647,785,947
Borrowings +,33,146,161,141,183,248,259,320,423
Other Liabilities +,39,53,46,41,62,61,66,158,127
Total Liabilities,234,406,482,541,713,853,983,"1,274","1,507"
Fixed Assets +,119,259,272,268,370,524,742,865,"1,070"
CWIP,3,3,10,9,34,28,9,70,34
Investments,73,69,55,28,54,139,109,185,228
Other Assets +,39,76,146,236,255,163,123,154,174
Total Assets,234,406,482,541,713,853,983,"1,274","1,507"

--- CASH FLOW ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,62,91,106,130,158,165,183,224,271
Cash from Investing Activity +,-98,-90,-31,-130,-123,-110,-141,-182,-174
Cash from Financing Activity +,-8,-7,-30,-49,-31,-42,-45,-52,-69
Net Cash Flow,-44,-6,46,-49,4,13,-2,-9,27
Free Cash Flow,32,31,69,98,37,40,99,132,91
CFO/OP,103%,101%,98%,97%,97%,105%,98%,97%,96%

--- RATIOS ---
,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,12,11,9,6,8,8,11,8,9
Inventory Days,24,20,23,17,22,13,29,21,19
Days Payable,176,196,180,142,110,172,184,143,145
Cash Conversion Cycle,-140,-165,-149,-118,-81,-152,-144,-114,-117
Working Capital Days,-41,-51,-49,-26,-34,-36,-29,-48,65
ROCE %,,28%,23%,27%,28%,18%,20%,21%,21%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,54.98%,54.90%,54.87%,54.06%,53.92%,53.91%,53.91%,53.05%,52.63%,52.60%,52.60%,52.51%
FIIs +,20.27%,20.68%,19.95%,20.09%,20.08%,18.14%,17.54%,19.36%,19.56%,18.27%,15.10%,13.38%
DIIs +,19.02%,18.64%,19.82%,20.80%,21.49%,23.45%,24.62%,23.72%,24.07%,25.34%,28.60%,29.93%
Public +,5.73%,5.78%,5.36%,5.03%,4.50%,4.49%,3.92%,3.86%,3.73%,3.77%,3.70%,4.17%
No. of Shareholders,"73,850","72,795","66,204","66,724","62,415","62,258","60,952","66,891","62,115","58,994","57,784","62,946"

--- CAGR BOXES ---




