--- ABOUT ---
"Incorporated in 1981, Vidya Wires Limited is engaged in manufacturing  copper and aluminum wires. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,283",107,117,39.6

Book Value,Dividend Yield,ROCE,ROE
22.6,0.00,20.7,17.8

Face Value
1.00

--- QUARTERLY RESULTS ---
,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,364,347,380,412,381,448,599
Expenses +,350,330,361,393,365,425,571
Operating Profit,14,16,19,19,16,24,28
OPM %,4%,5%,5%,5%,4%,5%,5%
Other Income +,1,2,2,1,3,1,4
Interest,3,3,3,3,3,3,4
Depreciation,1,1,1,1,1,1,1
Profit before tax,11,15,18,16,15,21,27
Tax %,23%,28%,28%,24%,28%,25%,27%
Net Profit +,8,11,13,12,10,15,20
EPS in Rs,20.82,0.66,0.79,0.76,0.66,0.72,0.92
Raw PDF,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,913,"1,011","1,182","1,481","1,840"
Expenses +,882,976,"1,137","1,417","1,754"
Operating Profit,31,36,45,64,86
OPM %,3%,4%,4%,4%,5%
Other Income +,4,4,2,5,9
Interest,7,8,11,11,13
Depreciation,2,3,3,3,4
Profit before tax,26,29,34,55,78
Tax %,25%,26%,24%,26%,26%
Net Profit +,20,22,26,41,58
EPS in Rs,49.32,53.75,64.40,2.54,2.71
Dividend Payout %,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,4,4,4,16,21
Reserves,74,96,122,150,459
Borrowings +,121,97,110,146,85
Other Liabilities +,12,12,13,19,40
Total Liabilities,211,209,248,331,606
Fixed Assets +,32,38,40,41,71
CWIP,0,0,0,3,72
Investments,0,0,0,0,1
Other Assets +,178,171,208,287,462
Total Assets,211,209,248,331,606

--- CASH FLOW ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,-16,38,2,-17,-9
Cash from Investing Activity +,-8,-6,-4,-8,-148
Cash from Financing Activity +,24,-32,2,25,182
Net Cash Flow,0,0,0,0,25
Free Cash Flow,-22,29,-2,-24,-111
CFO/OP,-32%,121%,21%,-7%,15%

--- RATIOS ---
,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,37,31,29,35,40
Inventory Days,25,23,23,24,28
Days Payable,4,3,2,2,5
Cash Conversion Cycle,59,52,50,57,64
Working Capital Days,23,27,32,35,55
ROCE %,,19%,21%,24%,21%

--- SHAREHOLDING PATTERN ---
,Dec 2025,Mar 2026
Promoters +,72.80%,72.80%
FIIs +,0.68%,1.11%
DIIs +,9.53%,10.46%
Public +,16.99%,15.62%
No. of Shareholders,"78,763","60,688"

--- CAGR BOXES ---




