--- ABOUT ---
"New India Assurance Company Ltd is India's largest non-life insurance company. It is promoted by the Government of India (GoI) holding ~86% stake. It was established by Sir Dorabji Tata in 1919 and was nationalised in 1973. Post nationalisation, it became one of 4 subsidiaries of General Insurance Company of India (GIC) but gained autonomy after GIC became a re-insurance company in 1999. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"33,341",202,215,23.6

Book Value,Dividend Yield,ROCE,ROE
210,0.89,3.87,4.44

Face Value
5.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"10,182","9,900","10,567","11,366","11,686","10,418","10,786","10,703","11,664","11,719","13,450","12,069","12,544"
Expenses +,"10,073","9,557","10,813","10,500","11,252","10,148","10,646","10,605","11,239","11,530","13,524","11,863","12,525"
Operating Profit,109,343,-246,866,434,270,140,98,426,189,-74,206,19
OPM %,1%,3%,-2%,8%,4%,3%,1%,1%,4%,2%,-1%,2%,0%
Other Income +,41,-25,4,0,36,2,1,9,77,202,98,166,427
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,150,318,-242,866,470,272,141,107,502,391,23,372,446
Tax %,4%,16%,-19%,18%,34%,14%,48%,-221%,36%,-0%,14%,-1%,-26%
Net Profit +,124,261,-175,722,313,243,91,349,356,402,55,380,580
EPS in Rs,0.77,1.58,-1.07,4.38,1.89,1.45,0.54,2.12,2.18,2.43,0.33,2.31,3.51
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"13,354","15,215","20,234","19,798","27,660","28,343","33,066","35,821","41,007","43,285","43,354","49,782"
Expenses +,"17,107","18,195","20,692","24,590","27,944","29,406","30,931","35,644","39,728","42,017","42,552","49,441"
Operating Profit,"-3,753","-2,980",-458,"-4,793",-284,"-1,063","2,136",177,"1,279","1,268",802,341
OPM %,-28%,-20%,-2%,-24%,-1%,-4%,6%,0%,3%,3%,2%,1%
Other Income +,"5,487","4,063","1,704","7,601","1,050","2,816",27,87,60,203,272,892
Interest,3,4,6,12,0,0,0,0,0,0,0,0
Depreciation,28,34,47,74,90,93,103,87,82,59,51,0
Profit before tax,"1,703","1,045","1,194","2,722",677,"1,659","2,060",178,"1,256","1,412","1,022","1,233"
Tax %,19%,11%,14%,20%,11%,13%,21%,-0%,16%,23%,5%,-10%
Net Profit +,"1,412",959,"1,050","2,190",610,"1,447","1,645",198,"1,050","1,120","1,038","1,417"
EPS in Rs,35.40,24.03,26.15,13.29,3.67,8.75,9.95,1.18,6.36,6.77,6.29,8.57
Dividend Payout %,21%,26%,30%,33%,41%,0%,0%,25%,5%,30%,29%,21%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,200,200,200,412,824,824,824,824,824,824,824,824
Reserves,"20,035","19,426","20,484","24,228","23,303","20,721","24,732","24,981","25,040","27,472","28,171","33,812"
