--- ABOUT ---
"Kilburn Engineering Ltd. is engaged in designing, manufacturing and commissioning customized equipment / systems for critical applications in several industrial sectors like Chemical, Steel, Nuclear Power, Petrochemical and Food Processing etc. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,643",485,618,27.5

Book Value,Dividend Yield,ROCE,ROE
124,0.41,23.2,17.1

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,122,85,104,108,127,129,154,157,189
Expenses +,91,67,81,85,91,96,114,121,151
Operating Profit,31,18,23,23,36,33,40,36,38
OPM %,25%,22%,22%,22%,28%,26%,26%,23%,20%
Other Income +,1,1,0,1,1,3,4,2,7
Interest,3,3,3,3,5,3,3,3,5
Depreciation,1,1,1,2,3,3,3,3,3
Profit before tax,28,15,19,20,29,30,37,32,37
Tax %,19%,21%,20%,22%,31%,28%,28%,28%,33%
Net Profit +,23,12,15,15,20,21,27,23,25
EPS in Rs,5.53,2.77,3.36,3.19,4.30,4.40,5.23,4.46,4.69
Raw PDF,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2024,Mar 2025,Mar 2026
Sales +,329,424,629
Expenses +,253,323,482
Operating Profit,77,102,147
OPM %,23%,24%,23%
Other Income +,4,3,16
Interest,10,15,15
Depreciation,3,7,12
Profit before tax,67,83,136
Tax %,24%,25%,29%
Net Profit +,51,62,96
EPS in Rs,12.09,13.14,18.16
Dividend Payout %,17%,15%,0%

--- BALANCE SHEET ---
,Mar 2024,Mar 2025,Mar 2026
Equity Capital,42,47,53
Reserves,213,425,601
Borrowings +,85,88,90
Other Liabilities +,146,171,150
Total Liabilities,486,731,894
Fixed Assets +,159,284,292
CWIP,5,5,5
Investments,9,8,7
Other Assets +,312,434,591
Total Assets,486,731,894

--- CASH FLOW ---
,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,26,-10,-18
Cash from Investing Activity +,-100,-103,-24
Cash from Financing Activity +,74,117,68
Net Cash Flow,-0,4,26
Free Cash Flow,10,-45,-31
CFO/OP,38%,-9%,7%

--- RATIOS ---
,Mar 2024,Mar 2025,Mar 2026
Debtor Days,87,91,117
Inventory Days,68,97,62
Days Payable,97,128,73
Cash Conversion Cycle,58,59,107
Working Capital Days,100,169,184
ROCE %,,22%,23%

--- SHAREHOLDING PATTERN ---
,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,May 2026
Promoters +,53.90%,54.57%,49.93%,50.11%,50.82%,48.66%,49.10%,48.26%,45.96%,46.02%,45.76%,44.54%
FIIs +,0.00%,0.03%,0.00%,0.35%,0.21%,2.08%,1.76%,1.82%,1.48%,1.28%,1.24%,1.10%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,2.06%,2.10%,3.79%,5.02%,5.86%,7.49%,7.47%
Public +,46.09%,45.39%,50.05%,49.54%,48.96%,47.21%,47.05%,46.15%,47.55%,46.83%,45.50%,46.89%
No. of Shareholders,"11,195","13,346","14,650","16,408","18,041","19,669","20,546","20,005","21,017","21,155","20,289","20,669"

--- CAGR BOXES ---




