--- ABOUT ---
"Symphony was established in 1988, in Ahmedabad, India. The company is engaged in the manufacturing and trading of residential, commercial, and industrial air coolers in the domestic and international markets. It is the largest air cooler manufacturer in the world. [1] 97% of the revenue comes from the sale of Air coolers. [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"4,787",697,"1,200 / 656",

Book Value,Dividend Yield,ROCE,ROE
79.4,1.86,20.4,-3.68

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,308,302,275,247,332,393,289,242,488,251,163,233,338
Expenses +,285,276,234,203,275,306,212,213,381,225,139,209,288
Operating Profit,23,26,41,44,57,87,77,29,107,26,24,24,50
OPM %,7%,9%,15%,18%,17%,22%,27%,12%,22%,10%,15%,10%,15%
Other Income +,10,14,11,15,9,9,4,-39,11,29,7,12,-196
Interest,3,3,2,3,2,0,0,2,3,0,0,4,5
Depreciation,7,7,7,6,6,2,2,6,5,2,3,5,6
Profit before tax,23,30,43,50,58,94,79,-18,110,53,28,27,-157
Tax %,30%,20%,19%,18%,17%,6%,29%,-44%,28%,21%,32%,30%,39%
Net Profit +,16,24,35,41,48,88,56,-10,79,42,19,19,-218
EPS in Rs,2.29,3.48,5.08,5.95,6.96,12.76,8.15,-1.46,11.50,6.12,2.77,2.77,-31.75
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,525,446,764,798,844,"1,103",900,"1,039","1,188","1,156","1,576","1,131"
Expenses +,393,309,565,579,711,889,759,877,"1,048",985,"1,264","1,007"
Operating Profit,132,136,199,220,133,213,140,162,140,171,312,124
OPM %,25%,31%,26%,28%,16%,19%,16%,16%,12%,15%,20%,11%
Other Income +,34,33,43,54,15,51,24,40,50,48,1,-147
Interest,1,0,1,2,8,13,12,10,12,12,11,16
Depreciation,4,4,7,7,10,21,21,24,26,26,22,20
Profit before tax,161,165,235,265,130,230,131,168,152,181,280,-59
Tax %,28%,28%,29%,27%,30%,21%,18%,28%,24%,18%,24%,139%
Net Profit +,116,118,166,193,92,182,107,121,116,148,212,-141
EPS in Rs,16.56,16.91,23.77,27.52,13.19,25.94,15.34,17.20,16.64,21.48,30.94,-20.53
Dividend Payout %,42%,74%,19%,16%,34%,89%,33%,52%,30%,61%,42%,-45%

--- BALANCE SHEET ---
,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,7,7,14,14,14,14,14,14,14,14,14,14
Reserves,299,312,451,598,652,625,745,825,867,735,747,531
Borrowings +,0,0,19,26,188,210,219,254,232,170,142,173
Other Liabilities +,116,104,121,119,211,215,236,267,281,291,419,311
Total Liabilities,423,422,605,757,"1,065","1,064","1,214","1,361","1,394","1,210","1,322","1,029"
Fixed Assets +,68,77,79,82,237,318,354,355,351,327,322,171
CWIP,0,3,0,0,6,2,0,0,0,0,0,0
Investments,242,162,292,422,458,412,484,500,527,373,440,269
Other Assets +,112,180,234,252,363,332,375,506,516,510,560,589
Total Assets,423,422,605,757,"1,065","1,064","1,214","1,361","1,394","1,210","1,322","1,029"

--- CASH FLOW ---
,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,104,89,95,107,140,157,89,57,125,162,259,-81
Cash from Investing Activity +,-37,70,-65,-102,-250,78,-53,6,-12,193,-41,190
Cash from Financing Activity +,-66,-145,-5,-29,118,-241,-21,-34,-124,-367,-224,-94
Net Cash Flow,1,13,25,-25,7,-6,14,29,-10,-12,-6,15
Free Cash Flow,90,84,88,108,131,140,73,48,114,156,237,-96
CFO/OP,115%,95%,82%,78%,138%,100%,88%,58%,128%,120%,108%,-26%

--- RATIOS ---
,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,23,38,25,28,45,40,67,73,35,53,33,49
Inventory Days,70,100,77,75,96,74,87,111,137,140,129,192
Days Payable,61,90,55,55,104,72,100,95,91,81,82,80
Cash Conversion Cycle,32,48,48,48,38,42,55,88,81,112,81,162
Working Capital Days,-3,29,23,41,10,-1,22,26,15,17,-14,59
ROCE %,50%,51%,58%,46%,22%,29%,16%,17%,15%,19%,37%,20%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,73.38%,73.38%,73.38%,73.38%,73.38%,73.42%,73.42%,73.42%,73.42%,73.42%,73.42%,73.42%
FIIs +,3.62%,3.81%,3.40%,3.32%,4.83%,6.11%,6.78%,6.17%,6.47%,5.98%,5.30%,3.28%
DIIs +,10.69%,10.44%,11.03%,10.27%,9.98%,8.96%,8.45%,8.68%,8.60%,8.84%,8.74%,8.72%
Public +,12.29%,12.34%,12.17%,13.02%,11.80%,11.51%,11.33%,11.71%,11.49%,11.77%,12.51%,14.57%
No. of Shareholders,"68,355","66,711","67,660","72,439","54,960","2,02,229","1,48,974","1,40,637","1,38,810","1,36,778","1,35,023","1,37,467"

--- CAGR BOXES ---
Compounded Sales Growth
10 Years:,10%
5 Years:,5%
3 Years:,-2%
TTM:,-28%

Compounded Profit Growth
10 Years:,%
5 Years:,%
3 Years:,%
TTM:,-110%

Stock Price CAGR
10 Years:,-5%
5 Years:,-8%
3 Years:,-9%
1 Year:,-35%

Return on Equity
10 Years:,20%
5 Years:,16%
3 Years:,17%
Last Year:,-4%

