--- ABOUT ---
"Borosil Limited  is a supplier of laboratory glassware, microwaveable kitchenware and opal ware in India. It sells and markets microwavable and flameproof kitchenware and glass tumblers through more than 15,000 retail outlets, and has three manufacturing facilities. The company conducts its operations in two business segments—namely, scientific & industrial products  and consumer products"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"2,765",231,398,35.6

Book Value,Dividend Yield,ROCE,ROE
74.2,0.00,11.5,9.16

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,177,251,235,304,229,217,278,338,270,233,340,339,284
Expenses +,165,224,198,246,210,188,233,284,233,195,292,286,254
Operating Profit,11,26,37,58,19,29,45,54,37,37,48,53,30
OPM %,6%,10%,16%,19%,8%,13%,16%,16%,14%,16%,14%,16%,11%
Other Income +,5,2,2,6,7,8,5,16,2,10,6,2,8
Interest,2,2,2,2,3,4,4,2,2,2,1,1,2
Depreciation,12,16,12,13,16,19,20,21,20,22,22,22,21
Profit before tax,2,10,25,49,7,13,26,48,17,23,30,32,15
Tax %,-41%,37%,25%,24%,24%,28%,29%,25%,34%,26%,25%,26%,28%
Net Profit +,3,6,19,37,5,9,18,35,11,17,23,24,11
EPS in Rs,0.28,0.63,1.62,3.25,0.44,0.78,1.53,2.97,0.93,1.46,1.90,2.00,0.89
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,361,630,577,828,728,934,"1,090","1,196"
Expenses +,304,545,495,682,662,795,920,"1,027"
Operating Profit,58,85,82,146,67,139,170,169
OPM %,16%,13%,14%,18%,9%,15%,16%,14%
Other Income +,11,3,17,11,29,12,27,26
Interest,10,6,2,1,3,9,13,7
Depreciation,26,38,35,34,28,54,81,87
Profit before tax,33,44,61,122,66,88,103,101
Tax %,25%,19%,31%,30%,21%,25%,28%,26%
Net Profit +,25,35,42,85,52,66,74,75
EPS in Rs,0.98,3.13,3.69,7.33,4.53,5.75,6.21,6.24
Dividend Payout %,-0%,-0%,27%,-0%,-0%,-0%,-0%,-0%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,-0.00,11,11,11,11,11,12,12
Reserves,598,637,683,756,499,569,796,875
Borrowings +,72,51,7,1,95,165,93,148
Other Liabilities +,143,149,157,186,245,335,230,247
Total Liabilities,812,848,859,955,850,"1,080","1,131","1,282"
Fixed Assets +,339,327,348,276,353,548,583,531
CWIP,16,46,13,25,41,26,18,105
Investments,125,119,245,197,146,85,50,83
Other Assets +,333,356,253,457,309,421,480,561
Total Assets,812,848,859,955,850,"1,080","1,131","1,282"

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,40,53,186,77,121,48,-19,119
Cash from Investing Activity +,-14,-33,-137,-37,-228,-106,-41,-165
Cash from Financing Activity +,-17,-27,-45,-24,93,55,56,48
Net Cash Flow,9,-7,4,16,-14,-3,-4,2
Free Cash Flow,16,3,165,-8,-77,-126,-103,-17
CFO/OP,88%,73%,236%,72%,202%,47%,-1%,80%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,92,51,42,33,26,36,34,33
Inventory Days,647,302,221,229,154,243,299,282
Days Payable,159,73,77,68,44,85,71,56
Cash Conversion Cycle,580,280,186,194,136,194,262,259
Working Capital Days,119,89,62,98,-6,2,71,97
ROCE %,,8%,8%,18%,6%,14%,12%,12%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,70.27%,70.20%,70.18%,70.18%,67.41%,64.70%,64.67%,64.65%,64.63%,64.61%,64.61%,64.68%
FIIs +,2.15%,0.71%,0.78%,0.85%,1.87%,0.96%,0.80%,0.28%,0.35%,0.43%,0.35%,0.34%
DIIs +,0.19%,1.32%,1.39%,1.45%,3.81%,5.15%,5.44%,6.27%,6.13%,6.07%,6.09%,6.18%
Public +,27.40%,27.77%,27.65%,27.51%,26.91%,29.17%,29.08%,28.79%,28.88%,28.86%,28.93%,28.79%
No. of Shareholders,"71,487","75,355","79,792","81,120","86,237","82,410","81,962","75,923","74,532","74,290","73,900","74,127"

--- CAGR BOXES ---




