--- ABOUT ---
"RateGain Travel Technologies Ltd is the leading distribution technology company globally and the largest Software as a Service (SaaS) provider in the travel and hospitality industry in India. The firm offers travel and hospitality services across different verticals like hotels, airlines, online travel agents, meta-search companies, package providers, car rentals, cruises, and ferries. [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"10,276",868,902,46.5

Book Value,Dividend Yield,ROCE,ROE
170,0.00,13.7,12.0

Face Value
1.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,183,214,235,252,256,260,277,279,261,273,295,540,716
Expenses +,151,177,188,201,202,210,217,217,200,223,241,453,569
Operating Profit,32,38,46,51,54,50,60,61,61,50,54,87,147
OPM %,18%,18%,20%,20%,21%,19%,22%,22%,23%,18%,18%,16%,21%
Other Income +,5,6,4,11,21,18,17,20,20,21,22,-18,3
Interest,0,0,0,0,0,0,0,0,0,0,0,12,18
Depreciation,11,11,10,10,10,9,9,8,8,9,9,28,35
Profit before tax,26,32,39,52,65,58,68,73,72,61,66,29,96
Tax %,-31%,22%,24%,22%,24%,22%,24%,23%,24%,23%,22%,9%,27%
Net Profit +,34,25,30,40,50,45,52,57,55,47,51,26,70
EPS in Rs,3.12,2.30,2.77,3.43,4.24,3.85,4.43,4.79,4.64,3.97,4.32,2.24,5.92
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,262,399,251,367,565,957,"1,077","1,824"
Expenses +,239,423,244,334,479,766,843,"1,486"
Operating Profit,23,-24,7,32,87,191,234,337
OPM %,9%,-6%,3%,9%,15%,20%,22%,19%
Other Income +,11,59,13,16,20,42,76,27
Interest,4,10,9,7,3,3,3,32
Depreciation,20,43,36,30,36,41,35,81
Profit before tax,9,-18,-25,11,67,189,272,252
Tax %,-16%,13%,16%,22%,-2%,23%,23%,23%
Net Profit +,11,-20,-29,8,68,145,209,194
EPS in Rs,168.40,-306.87,-436.20,0.78,6.31,12.34,17.70,16.45
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.65,0.74,0.66,11,11,12,12,12
Reserves,142,137,244,608,699,"1,439","1,671","1,994"
Borrowings +,54,144,117,18,18,17,16,949
Other Liabilities +,87,116,78,140,208,255,198,605
Total Liabilities,285,397,440,777,936,"1,722","1,897","3,560"
Fixed Assets +,106,216,168,222,396,364,348,"2,403"
CWIP,0,0,0,0,1,2,0,0
Investments,41,45,129,165,140,179,319,25
Other Assets +,138,136,143,390,399,"1,177","1,230","1,133"
Total Assets,285,397,440,777,936,"1,722","1,897","3,560"

--- CASH FLOW ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,36,19,21,17,52,152,120,234
Cash from Investing Activity +,-3,-111,-81,-276,16,-566,-38,"-1,282"
Cash from Financing Activity +,-6,73,93,240,-2,581,-2,836
Net Cash Flow,27,-19,33,-20,66,168,80,-212
Free Cash Flow,34,14,20,13,48,148,114,230
CFO/OP,170%,-94%,315%,63%,74%,88%,91%,85%

--- RATIOS ---
,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,88,71,97,100,104,78,72,94
Inventory Days,,,,,,,,
Days Payable,,,,,,,,
Cash Conversion Cycle,88,71,97,100,104,78,72,94
Working Capital Days,-15,-14,-14,12,-4,198,227,21
ROCE %,,-4%,-6%,3%,10%,17%,17%,14%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,55.76%,55.72%,51.27%,51.25%,48.25%,48.22%,48.22%,48.17%,48.16%,48.16%,48.55%,48.77%
FIIs +,5.33%,5.42%,8.67%,10.49%,9.54%,10.21%,8.27%,7.60%,5.51%,5.49%,4.97%,5.35%
DIIs +,17.78%,17.81%,18.77%,17.31%,21.66%,20.56%,22.61%,23.00%,23.54%,21.58%,20.62%,20.86%
Public +,21.13%,21.06%,21.27%,20.89%,20.49%,20.96%,20.84%,21.16%,22.74%,24.71%,25.80%,24.96%
Others +,0.00%,0.00%,0.03%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%
No. of Shareholders,"63,387","59,795","69,427","71,332","86,940","90,105","92,639","90,468","96,390","90,199","92,599","92,900"

--- CAGR BOXES ---




