--- ABOUT ---
"Incorporated in 2008, SRM Contractors Ltd is engaged in construction of roads including bridges, tunnel works, and slope stabilisation works [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"1,124",490,652,10.1

Book Value,Dividend Yield,ROCE,ROE
162,0.00,37.1,34.3

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,103,40,108,87,108,55,95,150,228,142,206,231,446
Expenses +,89,33,93,80,95,45,80,128,194,122,177,187,371
Operating Profit,14,7,14,7,13,10,15,22,34,20,29,44,74
OPM %,13%,17%,13%,8%,12%,18%,16%,15%,15%,14%,14%,19%,17%
Other Income +,0,-0,6,2,-0,1,3,3,7,2,1,0,5
Interest,2,0,2,1,3,2,2,2,2,1,2,2,4
Depreciation,2,2,2,2,3,2,3,3,6,2,3,5,6
Profit before tax,10,4,17,5,7,6,14,21,33,18,26,37,70
Tax %,27%,24%,24%,25%,13%,24%,25%,25%,27%,30%,22%,35%,22%
Net Profit +,7,3,13,4,6,5,10,16,24,13,20,24,54
EPS in Rs,4.17,1.99,7.69,2.33,3.68,2.08,4.51,6.97,10.50,5.56,8.75,10.50,23.58
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,160,264,300,342,528,"1,026"
Expenses +,144,233,262,301,447,857
Operating Profit,17,30,38,42,82,168
OPM %,10%,11%,13%,12%,15%,16%
Other Income +,2,2,0,8,14,9
Interest,2,3,6,6,8,9
Depreciation,5,6,8,9,14,17
Profit before tax,11,23,25,35,74,151
Tax %,24%,25%,25%,22%,26%,26%
Net Profit +,8,18,19,27,55,111
EPS in Rs,543.36,"1,154.40",11.20,16.11,23.97,48.39
Dividend Payout %,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,2,17,17,23,23
Reserves,25,43,47,113,253,348
Borrowings +,32,32,47,48,41,135
Other Liabilities +,54,44,26,58,91,489
Total Liabilities,112,120,136,235,408,995
Fixed Assets +,32,31,41,46,80,252
CWIP,0,0,0,0,0,0
Investments,4,2,7,8,19,20
Other Assets +,76,87,88,181,309,722
Total Assets,112,120,136,235,408,995

--- CASH FLOW ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,14,10,21,14,1,92
Cash from Investing Activity +,-13,-6,-23,-14,-46,-182
Cash from Financing Activity +,5,-3,5,39,79,130
Net Cash Flow,5,1,4,40,34,40
Free Cash Flow,3,4,3,5,-45,-91
CFO/OP,101%,49%,56%,52%,25%,62%

--- RATIOS ---
,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,51,22,19,33,27,33
Inventory Days,15,17,17,39,82,31
Days Payable,139,54,19,46,66,197
Cash Conversion Cycle,-72,-14,17,27,43,-133
Working Capital Days,-12,18,26,45,68,29
ROCE %,,38%,33%,28%,33%,37%

--- SHAREHOLDING PATTERN ---
,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,72.92%,72.92%,72.92%,72.92%,72.48%,72.39%,72.59%,72.59%
FIIs +,2.49%,0.28%,0.09%,0.04%,0.17%,0.16%,0.05%,0.43%
DIIs +,4.81%,4.81%,4.32%,3.45%,2.42%,1.52%,1.26%,1.11%
Public +,19.78%,21.99%,22.68%,23.59%,24.93%,25.93%,26.10%,25.87%
No. of Shareholders,"29,719","19,641","18,668","17,193","20,528","22,086","20,534","20,287"

--- CAGR BOXES ---




