--- ABOUT ---
"Incorporated in 1985, Shardul Securities Ltd is engaged in Investment and Finance activities including Broking activities [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
257,29.4,58.7 / 20.1,

Book Value,Dividend Yield,ROCE,ROE
75.2,0.00,-5.88,-7.22

Face Value
2.00

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,-4,30,30,59,54,140,40,-33,-85,94,-39,-13,5
Expenses +,1,1,3,2,4,3,4,5,4,5,5,4,81
Operating Profit,-6,29,27,57,49,137,36,-38,-89,89,-44,-17,-76
OPM %,,96%,91%,97%,92%,98%,89%,,,95%,,,"-1,663%"
Other Income +,-0,0,0,0,1,0,0,0,0,0,0,0,0
Interest,0,0,0,0,0,0,0,0,1,1,4,5,5
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,-6,29,27,57,50,136,36,-38,-89,88,-48,-22,-82
Tax %,-17%,21%,34%,28%,68%,17%,19%,5%,-22%,20%,-20%,-21%,-22%
Net Profit +,-5,23,18,41,16,114,29,-40,-70,70,-38,-17,-64
EPS in Rs,-0.54,2.63,2.03,4.68,1.84,13.01,3.29,-4.56,-7.97,8.04,-4.40,-1.97,-7.29
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,12,6,6,7,7,6,24,15,13,173,63,16
Expenses +,2,3,4,3,5,14,2,3,10,10,16,64
Operating Profit,10,4,2,4,2,-8,21,13,3,163,47,-48
OPM %,84%,59%,37%,61%,27%,-151%,90%,84%,25%,94%,75%,-302%
Other Income +,3,2,0,0,0,0,0,0,0,1,0,0
Interest,1,0,1,1,1,0,0,0,0,1,2,15
Depreciation,1,1,0,0,0,0,0,0,0,0,0,1
Profit before tax,12,5,1,4,1,-9,21,12,3,163,45,-64
Tax %,17%,3%,39%,7%,51%,-29%,25%,23%,23%,40%,26%,-23%
Net Profit +,10,5,1,3,0,-6,16,10,2,98,33,-49
EPS in Rs,1.14,0.56,0.08,0.40,0.04,-0.72,1.78,1.10,0.25,11.18,3.77,-5.62
Dividend Payout %,14%,21%,154%,30%,269%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,18,18,18,18,18,18,18,18,18,18,18,18
Reserves,121,125,124,128,286,238,371,459,428,654,686,640
Borrowings +,0,0,11,0,0,0,0,0,0,10,23,274
Other Liabilities +,7,7,24,5,10,3,24,49,25,16,11,3
Total Liabilities,146,149,177,150,314,259,412,525,471,697,738,934
Fixed Assets +,21,20,20,20,18,17,17,17,16,16,16,17
CWIP,0,0,0,0,0,0,0,0,0,0,0,2
Investments,33,56,70,86,276,223,353,473,427,649,682,845
Other Assets +,92,73,87,45,20,19,43,35,28,32,41,70
