--- ABOUT ---
"Incorporated in 1995, Aditya Birla Money Ltd is a stock broker, capital market products distributor, depository participant and PMS provider [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
816,144,201,85.7

Book Value,Dividend Yield,ROCE,ROE
2.92,0.00,12.4,26.0

Face Value
1.00

--- QUARTERLY RESULTS ---
,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018
Sales +,32.39,28.46,28.42,27.50,32.79,33.04,34.38,35.90,39.26,43.13,43.82,42.14,43.11
Expenses +,30.36,27.62,26.91,28.05,30.79,27.79,29.75,33.24,34.55,37.04,36.60,34.07,32.59
Operating Profit,2.03,0.84,1.51,-0.55,2.00,5.25,4.63,2.66,4.71,6.09,7.22,8.07,10.52
OPM %,6.27%,2.95%,5.31%,-2.00%,6.10%,15.89%,13.47%,7.41%,12.00%,14.12%,16.48%,19.15%,24.40%
Other Income +,1.89,1.88,2.19,1.78,2.56,0.30,0.70,0.71,0.56,0.58,0.78,0.92,0.97
Interest,1.22,1.35,2.15,1.63,1.20,1.71,0.89,1.36,2.20,2.54,4.13,5.93,7.49
Depreciation,0.98,0.96,0.93,0.88,0.74,0.84,0.69,0.61,0.56,0.53,0.48,0.49,0.50
Profit before tax,1.72,0.41,0.62,-1.28,2.62,3.00,3.75,1.40,2.51,3.60,3.39,2.57,3.50
Tax %,0.00%,0.00%,109.68%,0.00%,0.00%,0.00%,21.60%,8.57%,42.63%,20.83%,32.45%,21.79%,32.29%
Net Profit +,1.71,0.42,-0.06,-1.28,2.61,3.00,2.95,1.28,1.45,2.85,2.29,2.02,2.36
EPS in Rs,0.31,0.08,-0.01,-0.23,0.47,0.54,0.53,0.23,0.26,0.51,0.41,0.36,0.42
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,TTM
Sales +,67,125,87,116,124,97,94,80,126,127,133,164,172
Expenses +,50,78,74,87,114,100,95,83,112,112,115,140,140
Operating Profit,17,48,13,29,10,-3,-1,-3,14,14,17,24,32
OPM %,25%,38%,15%,25%,8%,-3%,-2%,-3%,11%,11%,13%,15%,19%
Other Income +,2,0,0,1,-8,-2,-1,0,0,1,0,0,3
Interest,3,8,6,3,6,6,5,3,3,8,6,9,20
Depreciation,3,4,5,6,8,8,8,6,6,4,3,2,2
Profit before tax,13,36,2,21,-12,-19,-15,-12,6,4,8,13,13
Tax %,35%,38%,41%,38%,-30%,-7%,0%,0%,-5%,17%,10%,21%,
Net Profit +,8,22,1,13,-8,-18,-15,-12,6,3,7,10,10
EPS in Rs,1.52,3.97,0.22,2.29,-1.52,-3.22,-2.76,-2.12,1.06,0.60,1.31,1.79,1.70
Dividend Payout %,26%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,

--- BALANCE SHEET ---
,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Sep 2018
Equity Capital,6,6,6,6,6,6,6,6,6,6,6,6,6
Reserves,22,38,39,52,55,38,22,19,16,19,27,39,11
Borrowings +,43,40,5,39,33,58,62,20,79,85,45,232,269
Other Liabilities +,83,125,92,163,118,135,110,168,128,145,209,258,209
Total Liabilities,154,209,142,260,212,237,200,212,228,255,286,535,495
Fixed Assets +,24,33,36,36,42,37,28,21,8,7,7,6,6
CWIP,0,0,0,1,0,0,0,0,0,0,0,1,0
Investments,0,0,0,0,10,0,0,0,0,0,0,24,0
Other Assets +,129,175,105,222,159,200,172,190,220,248,278,504,488
Total Assets,154,209,142,260,212,237,200,212,228,255,286,535,495

--- CASH FLOW ---
,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Cash from Operating Activity +,25,56,-28,13,-5,-16,-1,-16,-21,-20,51,-174
Cash from Investing Activity +,-4,-10,-5,-31,2,-9,-11,58,-35,20,-2,-23
Cash from Financing Activity +,-15,-14,0,32,1,20,-1,-34,57,-1,-46,188
Net Cash Flow,6,33,-32,15,-3,-6,-13,8,2,-1,3,-10
Free Cash Flow,16,43,-36,6,-21,-20,-2,-16,-22,-23,48,-175
CFO/OP,169%,140%,-206%,70%,-27%,486%,65%,602%,-145%,-138%,301%,-710%

--- RATIOS ---
,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Debtor Days,288,167,118,233,109,262,202,402,265,388,407,296
Inventory Days,,,3,,,,,,,,,
Days Payable,,,"2,729",,,,,,,,,
Cash Conversion Cycle,288,167,"-2,607",233,109,262,202,402,265,388,407,296
Working Capital Days,15,-126,-135,-82,-188,-306,-342,-193,-209,-176,-193,-448
ROCE %,24%,57%,11%,32%,3%,-12%,-10%,-12%,12%,11%,15%,12%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%,73.53%
