--- ABOUT ---
"Incorporated in 1995, Aditya Birla Money Ltd is a stock broker, capital market products distributor, depository participant and PMS provider [1]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
816,144,201,85.7

Book Value,Dividend Yield,ROCE,ROE
2.92,0.00,12.4,26.0

Face Value
1.00

--- QUARTERLY RESULTS ---
,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018
FIIs +,0.10%,0.07%,0.00%,0.03%,0.91%,0.02%,0.29%,0.02%,0.03%,0.07%,0.00%,0.03%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.23%,0.05%,0.05%,0.05%,0.00%,0.00%
Public +,26.37%,26.39%,26.48%,26.45%,25.57%,26.46%,25.95%,26.40%,26.37%,26.34%,26.47%,26.44%
No. of Shareholders,"42,694","41,565","41,329","42,819","43,880","45,841","43,041","44,333","43,006","43,686","43,087","42,166"

--- CAGR BOXES ---




